38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,38:17:c3:1e:ff:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:40,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:50,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,b4:5d:50:e1:92:31,38:17:c3:1e:ff:10,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,80:8d:b7:55:39:c1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,44:48:c1:a5:82:30,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:1e:ff:11,38:17:c3:19:d7:60,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,38:17:c3:19:45:b1,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,b4:5d:50:e1:92:21,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,00:4e:35:de:e1:00,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:01,00:4e:35:de:e1:12,00:4e:35:de:e1:02,38:17:c3:1f:08:41,44:48:c1:91:95:b2,38:17:c3:1f:08:50,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:31,38:17:c3:1f:22:21,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:40,38:17:c3:1f:22:30,38:17:c3:1f:22:22,a8:bd:27:4c:bd:21,38:17:c3:19:71:90,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:19:71:81,a8:bd:27:4c:bd:22,38:17:c3:19:71:92,00:4e:35:de:d7:43,38:17:c3:1f:22:32,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:22:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a2,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,00:4e:35:df:27:00,38:17:c3:24:4f:10,00:4e:35:de:d7:42,00:4e:35:de:d7:41,38:17:c3:1f:0f:92,38:17:c3:24:4f:11,20:a6:cd:42:0b:f0,68:ff:7b:e4:af:39,72:32:b1:3e:1a:b8,38:17:c3:1f:09:90,20:a6:cd:42:0b:f2,38:17:c3:24:4f:00,32:f7:72:50:57:3b,b4:5d:50:e1:96:53,38:17:c3:1f:00:b0,00:4e:35:df:27:01,38:17:c3:1b:08:b2,38:17:c3:19:36:32,38:17:c3:1f:0f:91,38:17:c3:24:58:b2,38:17:c3:24:4f:02,38:17:c3:1f:09:92,38:17:c3:1b:08:b1,00:4e:35:df:27:12,68:ff:7b:e4:af:38,00:4e:35:df:27:02,38:17:c3:19:71:91,70:56:81:c9:91:ab,38:17:c3:1f:09:91,38:17:c3:1f:09:83,56:13:79:14:54:6d,b4:5d:50:e1:96:43,72:32:b1:3e:1a:b7,20:a6:cd:42:0b:f1,38:17:c3:24:4f:12,b4:5d:50:e1:96:51,38:17:c3:1f:0f:90,38:17:c3:24:4f:01,38:17:c3:24:58:b1,38:17:c3:1f:09:93,20:a6:cd:42:0b:f3,38:17:c3:19:36:30,44:48:c1:91:95:b3,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,x,y,label
-60,-60,-53,-54,-54,-69,-69,-71,-71,-71,-68,-68,-66,-62,-78,-78,-78,-72,-78,-71,-82,-82,-79,-79,-79,-71,-71,-71,-69,-69,-79,-79,-83,-85,-85,-89,-89,-77,-80,-88,-84,-100,-88,-80,-85,-61,-54,-69,-71,-78,-68,-62,-73,-72,-82,-79,-76,-69,-79,-82,-85,-76,-88,-92,-85,-93,-71,-62,-72,-72,-75,-76,-85,-93,-80,-72,-87,-86,-90,-90,-85,-71,-100,-94,-93,-100,-100,-97,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-91,-87,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-90,-100,-86,-91,-100,-100,-86,-88,-100,-84,-100,-100,-100,-87,-88,-100,-100,-84,-81,545.0,274.2,1.0
-61,-61,-52,-54,-55,-70,-70,-71,-71,-71,-68,-67,-66,-63,-77,-77,-78,-72,-83,-71,-81,-81,-79,-80,-80,-71,-71,-71,-69,-69,-79,-80,-84,-88,-88,-90,-90,-81,-81,-87,-84,-100,-90,-81,-85,-61,-54,-70,-71,-77,-68,-63,-73,-71,-81,-80,-76,-69,-80,-84,-85,-81,-89,-95,-85,-93,-72,-63,-72,-72,-75,-76,-82,-90,-80,-72,-83,-82,-91,-93,-85,-71,-100,-97,-96,-96,-97,-97,-100,-100,-100,-100,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-93,-87,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,274.2,1.0
-60,-60,-54,-54,-54,-69,-69,-70,-70,-70,-67,-67,-66,-70,-78,-78,-78,-73,-78,-70,-81,-81,-79,-79,-79,-71,-71,-70,-70,-70,-80,-80,-83,-88,-85,-96,-93,-77,-81,-84,-81,-100,-88,-81,-88,-60,-54,-69,-70,-77,-67,-70,-73,-71,-81,-79,-80,-70,-80,-84,-85,-77,-89,-95,-85,-97,-71,-63,-73,-73,-75,-75,-85,-89,-76,-73,-80,-85,-93,-93,-88,-71,-100,-100,-93,-96,-96,-91,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-93,-92,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-94,-100,-92,-91,-100,-100,-87,-93,-100,-83,-100,-100,-100,-87,-89,-100,-100,-83,-82,545.0,288.4,2.0
-59,-59,-54,-54,-54,-68,-68,-71,-70,-71,-67,-67,-65,-70,-78,-78,-78,-73,-78,-71,-81,-81,-79,-79,-79,-71,-71,-71,-70,-70,-80,-80,-83,-88,-85,-93,-93,-77,-81,-88,-84,-100,-88,-81,-88,-59,-54,-69,-71,-78,-67,-70,-73,-71,-81,-79,-80,-70,-80,-84,-85,-77,-89,-95,-85,-94,-71,-63,-73,-73,-75,-75,-81,-89,-76,-73,-84,-82,-93,-93,-88,-71,-100,-97,-96,-96,-96,-94,-96,-100,-100,-100,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-93,-92,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-94,-100,-92,-91,-100,-100,-87,-93,-100,-83,-100,-100,-100,-87,-89,-100,-100,-83,-82,545.0,288.4,2.0
-59,-59,-54,-54,-54,-68,-68,-71,-70,-71,-67,-67,-65,-70,-78,-78,-78,-73,-78,-70,-81,-81,-79,-79,-79,-71,-71,-70,-70,-70,-80,-80,-79,-88,-85,-93,-90,-77,-81,-88,-85,-100,-88,-81,-88,-60,-54,-69,-71,-78,-67,-70,-73,-71,-81,-79,-81,-70,-80,-84,-86,-77,-85,-93,-85,-94,-70,-63,-73,-73,-75,-76,-85,-92,-77,-73,-84,-85,-90,-90,-88,-70,-100,-97,-93,-96,-96,-91,-96,-100,-100,-100,-100,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-93,-92,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-94,-100,-92,-91,-100,-100,-87,-93,-100,-83,-100,-100,-100,-87,-89,-100,-100,-83,-82,545.0,288.4,2.0
-58,-58,-54,-53,-53,-68,-68,-70,-70,-70,-66,-66,-65,-70,-78,-78,-77,-73,-77,-70,-81,-81,-79,-79,-79,-71,-71,-70,-71,-71,-80,-84,-79,-91,-85,-90,-91,-78,-82,-88,-88,-97,-87,-82,-88,-58,-53,-68,-71,-78,-66,-70,-72,-71,-81,-79,-80,-71,-80,-85,-86,-82,-86,-92,-85,-94,-70,-63,-74,-74,-74,-75,-81,-89,-77,-74,-84,-81,-91,-91,-91,-70,-97,-97,-94,-96,-93,-94,-96,-100,-97,-97,-97,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-93,-92,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-94,-100,-92,-91,-100,-100,-86,-93,-100,-83,-100,-100,-100,-87,-89,-100,-100,-83,-82,545.0,288.4,2.0
-59,-59,-53,-54,-54,-68,-68,-71,-70,-71,-67,-67,-65,-69,-78,-78,-77,-73,-77,-70,-81,-81,-79,-79,-79,-71,-71,-70,-70,-70,-79,-80,-79,-88,-85,-89,-89,-77,-81,-88,-85,-100,-88,-81,-88,-59,-54,-68,-71,-78,-67,-69,-72,-71,-81,-79,-81,-70,-79,-83,-85,-77,-85,-92,-85,-91,-70,-62,-73,-73,-75,-75,-85,-92,-81,-73,-88,-85,-90,-90,-88,-70,-100,-94,-93,-96,-96,-94,-96,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-97,-84,-93,-92,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-91,-100,-94,-100,-92,-91,-100,-100,-87,-93,-100,-83,-100,-100,-100,-87,-89,-100,-100,-83,-82,545.0,288.4,2.0
-60,-60,-53,-67,-60,-66,-66,-68,-67,-68,-65,-65,-66,-63,-76,-76,-96,-71,-100,-72,-77,-76,-80,-80,-80,-72,-72,-72,-79,-79,-80,-81,-76,-84,-84,-85,-85,-95,-85,-84,-84,-86,-85,-84,-92,-60,-60,-66,-68,-76,-65,-64,-100,-72,-85,-80,-71,-79,-80,-84,-85,-83,-85,-86,-87,-87,-62,-64,-69,-69,-71,-71,-77,-78,-95,-69,-84,-78,-87,-84,-88,-77,-100,-92,-87,-100,-100,-92,-100,-100,-100,-96,-96,-85,-97,-92,-86,-93,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,288.4,2.0
-59,-59,-53,-58,-58,-67,-67,-68,-68,-68,-66,-66,-66,-65,-75,-75,-82,-70,-82,-71,-78,-78,-81,-81,-80,-71,-71,-71,-75,-75,-81,-81,-76,-84,-84,-84,-85,-87,-83,-92,-85,-92,-87,-82,-86,-59,-58,-67,-68,-76,-66,-66,-82,-71,-83,-81,-72,-75,-81,-84,-85,-78,-83,-87,-86,-87,-65,-72,-72,-72,-72,-72,-80,-83,-90,-72,-88,-83,-90,-90,-86,-76,-92,-89,-93,-96,-92,-92,-96,-100,-100,-100,-100,-89,-94,-92,-94,-98,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-59,-59,-53,-67,-59,-67,-67,-67,-67,-67,-66,-66,-66,-65,-75,-75,-88,-70,-88,-71,-77,-77,-81,-81,-80,-71,-71,-71,-74,-74,-81,-81,-76,-84,-84,-85,-85,-91,-84,-88,-81,-89,-86,-83,-89,-59,-59,-67,-67,-75,-66,-66,-87,-72,-81,-81,-71,-74,-81,-85,-85,-83,-84,-87,-86,-87,-64,-72,-71,-71,-71,-71,-79,-79,-95,-71,-84,-83,-90,-90,-86,-76,-92,-92,-90,-96,-92,-92,-96,-100,-100,-100,-100,-88,-94,-92,-91,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-59,-59,-53,-57,-58,-68,-68,-68,-68,-68,-66,-66,-66,-65,-75,-75,-76,-70,-76,-70,-79,-79,-81,-81,-81,-77,-77,-70,-76,-76,-81,-81,-76,-84,-84,-84,-85,-82,-82,-96,-85,-94,-90,-82,-85,-59,-57,-68,-68,-76,-66,-66,-76,-71,-83,-81,-72,-76,-81,-84,-84,-78,-82,-90,-86,-88,-66,-72,-72,-72,-72,-72,-80,-84,-86,-72,-92,-84,-89,-89,-85,-76,-92,-93,-92,-96,-92,-96,-96,-100,-100,-100,-100,-93,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-58,-58,-53,-58,-58,-68,-68,-67,-67,-67,-66,-66,-66,-67,-73,-74,-75,-70,-75,-70,-78,-78,-81,-81,-81,-77,-77,-70,-77,-77,-82,-82,-75,-83,-83,-85,-85,-82,-82,-96,-81,-94,-89,-82,-85,-59,-58,-68,-67,-74,-66,-68,-75,-71,-83,-81,-71,-77,-82,-85,-83,-78,-86,-90,-86,-88,-66,-74,-73,-73,-71,-72,-80,-80,-86,-73,-89,-83,-92,-88,-85,-76,-92,-96,-88,-96,-92,-96,-92,-100,-100,-100,-100,-96,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-59,-59,-53,-57,-58,-68,-68,-68,-68,-68,-66,-66,-66,-65,-75,-75,-76,-70,-76,-70,-79,-79,-81,-81,-81,-77,-77,-70,-76,-76,-81,-81,-76,-84,-84,-84,-85,-82,-82,-96,-85,-94,-90,-82,-85,-59,-57,-68,-68,-76,-66,-66,-76,-71,-83,-81,-72,-76,-81,-84,-84,-78,-82,-90,-86,-88,-66,-72,-72,-72,-72,-72,-80,-84,-86,-72,-92,-84,-89,-89,-85,-76,-92,-93,-92,-96,-92,-96,-96,-100,-100,-100,-100,-93,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-59,-59,-53,-67,-59,-67,-67,-67,-67,-67,-66,-66,-66,-65,-75,-75,-88,-70,-88,-71,-77,-77,-81,-81,-80,-71,-71,-71,-74,-74,-81,-81,-76,-84,-84,-85,-85,-91,-84,-88,-81,-89,-86,-83,-89,-59,-59,-67,-67,-75,-66,-66,-87,-72,-81,-81,-71,-74,-81,-85,-85,-83,-84,-87,-86,-87,-64,-72,-71,-71,-71,-71,-79,-79,-95,-71,-84,-83,-90,-90,-86,-76,-92,-92,-90,-96,-92,-92,-96,-100,-100,-100,-100,-88,-94,-92,-91,-96,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,302.6,3.0
-58,-58,-53,-58,-58,-68,-68,-67,-67,-67,-66,-66,-66,-67,-73,-74,-75,-70,-75,-70,-78,-78,-81,-81,-81,-77,-77,-70,-77,-77,-82,-82,-75,-83,-83,-85,-85,-82,-82,-96,-81,-94,-89,-82,-85,-59,-58,-68,-67,-74,-66,-68,-75,-71,-83,-81,-71,-77,-82,-85,-83,-78,-86,-90,-86,-88,-66,-74,-73,-73,-71,-72,-80,-80,-86,-73,-89,-83,-92,-88,-85,-76,-92,-96,-88,-96,-92,-96,-92,-100,-100,-100,-100,-96,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,316.79999999999995,4.0
-58,-58,-53,-58,-58,-68,-68,-67,-67,-67,-66,-66,-66,-67,-73,-74,-75,-70,-75,-70,-78,-78,-81,-81,-81,-77,-77,-70,-77,-77,-82,-82,-75,-83,-83,-85,-85,-82,-82,-96,-81,-94,-89,-82,-85,-59,-58,-68,-67,-74,-66,-68,-75,-71,-83,-81,-71,-77,-82,-85,-83,-78,-86,-90,-86,-88,-66,-74,-73,-73,-71,-72,-80,-80,-86,-73,-89,-83,-92,-88,-85,-76,-92,-96,-88,-96,-92,-96,-92,-100,-100,-100,-100,-96,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,316.79999999999995,4.0
-58,-58,-53,-58,-58,-68,-68,-67,-67,-67,-66,-66,-66,-67,-73,-74,-75,-70,-75,-70,-78,-78,-81,-81,-81,-77,-77,-70,-77,-77,-82,-82,-75,-83,-83,-85,-85,-82,-82,-96,-81,-94,-89,-82,-85,-59,-58,-68,-67,-74,-66,-68,-75,-71,-83,-81,-71,-77,-82,-85,-83,-78,-86,-90,-86,-88,-66,-74,-73,-73,-71,-72,-80,-80,-86,-73,-89,-83,-92,-88,-85,-76,-92,-96,-88,-96,-92,-96,-92,-100,-100,-100,-100,-96,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,316.79999999999995,4.0
-58,-58,-53,-58,-58,-68,-68,-67,-67,-67,-66,-66,-66,-67,-73,-74,-75,-70,-75,-70,-78,-78,-81,-81,-81,-77,-77,-70,-77,-77,-82,-82,-75,-83,-83,-85,-85,-82,-82,-96,-81,-94,-89,-82,-85,-59,-58,-68,-67,-74,-66,-68,-75,-71,-83,-81,-71,-77,-82,-85,-83,-78,-86,-90,-86,-88,-66,-74,-73,-73,-71,-72,-80,-80,-86,-73,-89,-83,-92,-88,-85,-76,-92,-96,-88,-96,-92,-96,-92,-100,-100,-100,-100,-96,-94,-96,-97,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-97,-84,-91,-87,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-91,-100,-92,-100,-86,-91,-100,-100,-85,-90,-100,-84,-100,-100,-100,-87,-88,-100,-100,-83,-81,545.0,316.79999999999995,4.0
