44:48:c1:a5:82:30,b0:be:76:f8:30:5e,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:39:d1,38:17:c3:1f:01:91,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,38:17:c3:1f:0e:01,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,80:8d:b7:55:35:01,38:17:c3:1f:01:82,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,ac:e2:d3:c4:08:e6,72:32:b1:3e:1a:b7,00:4e:35:df:06:51,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:ff:02,44:48:c1:a5:82:22,38:17:c3:1e:ff:01,44:48:c1:a5:82:21,68:ff:7b:e4:af:38,00:4e:35:df:06:41,38:17:c3:1e:ff:11,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,b4:5d:50:e1:92:33,38:17:c3:19:55:51,38:17:c3:19:55:52,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:92:22,38:17:c3:1f:22:32,b4:5d:50:e1:92:23,38:17:c3:19:71:92,38:17:c3:1f:22:31,38:17:c3:1f:0e:10,38:17:c3:1f:01:90,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:0e:00,80:8d:b7:55:25:f0,80:8d:b7:55:3a:50,80:8d:b7:55:39:c0,00:4e:35:df:06:52,38:17:c3:1e:ff:00,44:48:c1:a5:82:20,38:17:c3:1e:ff:10,00:4e:35:df:06:42,b4:5d:50:e1:96:50,38:17:c3:19:55:50,b4:5d:50:e1:92:31,38:17:c3:1f:22:30,66:2a:2f:53:7c:99,80:8d:b7:55:35:02,80:8d:b7:55:35:03,38:17:c3:19:d7:72,60:32:b1:3e:1a:b7,80:8d:b7:55:25:e1,38:17:c3:19:45:b2,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,38:17:c3:1e:ff:12,00:4e:35:df:06:40,00:4e:35:de:e1:10,60:32:b1:3e:1a:b8,38:17:c3:1f:09:93,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,80:8d:b7:55:25:e0,38:17:c3:19:d7:60,38:17:c3:19:d7:71,38:17:c3:19:45:b1,00:4e:35:df:06:50,72:32:b1:3e:1a:b8,80:8d:b7:55:35:00,38:17:c3:1f:01:81,38:17:c3:1f:01:80,20:a6:cd:50:24:a2,80:8d:b7:55:3a:41,80:8d:b7:55:3a:42,b4:5d:50:e1:92:20,38:17:c3:19:45:b0,80:8d:b7:55:3a:40,00:4e:35:de:e1:12,b4:5d:50:e1:92:21,20:a6:cd:50:24:a1,38:17:c3:1f:09:83,20:a6:cd:50:24:a0,00:4e:35:de:e1:02,00:4e:35:de:e1:11,68:ff:7b:e4:af:39,38:17:c3:19:71:91,20:a6:cd:42:0b:f0,38:17:c3:19:71:90,20:a6:cd:42:0b:f3,38:17:c3:19:45:a2,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:1f:09:91,00:4e:35:de:e1:00,20:a6:cd:42:0b:e3,38:17:c3:1f:09:90,00:4e:35:de:e1:01,b4:5d:50:e1:96:43,38:17:c3:1f:08:50,20:a6:cd:42:0b:e2,38:17:c3:1f:22:22,00:4e:35:df:0e:10,38:17:c3:19:55:41,38:17:c3:19:71:80,38:17:c3:19:55:40,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,38:17:c3:1f:00:b0,38:17:c3:1f:09:82,38:17:c3:1f:09:80,38:17:c3:1f:00:b1,38:17:c3:1f:09:81,38:17:c3:19:55:42,38:17:c3:1f:22:20,38:17:c3:1f:22:21,9c:d6:43:60:92:e0,00:4e:35:df:0e:12,00:4e:35:de:d7:53,38:17:c3:1f:08:51,00:4e:35:de:d7:52,38:17:c3:1f:08:52,44:48:c1:91:95:b0,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,00:4e:35:de:d7:50,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:de:d7:51,00:4e:35:df:0e:11,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:40,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:22,00:4e:35:de:d7:43,00:4e:35:de:d7:42,a8:bd:27:4c:bd:20,00:4e:35:de:d7:41,38:17:c3:19:36:30,38:17:c3:19:36:31,38:17:c3:19:36:32,38:17:c3:19:36:21,38:17:c3:19:36:22,38:17:c3:19:36:20,32:f7:72:50:57:3b,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:30,00:4e:35:df:0e:02,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,20:4e:7f:c2:ff:e8,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:01,38:17:c3:24:4f:02,38:17:c3:24:4f:00,00:4e:35:df:27:12,38:17:c3:1b:08:b0,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,00:4e:35:df:27:01,00:4e:35:df:27:02,00:4e:35:df:27:10,00:4e:35:df:27:11,00:4e:35:df:27:00,38:17:c3:1b:08:a2,38:17:c3:1b:08:b1,x,y,label
-100,-48,-100,-100,-83,-100,-83,-100,-100,-100,-100,-84,-85,-85,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-87,-100,-60,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-88,-88,-86,-87,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-83,-100,-100,-85,-82,-100,-60,-100,-100,-100,-61,-100,-87,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-75,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-81,-81,-100,-100,-80,-75,-100,-100,-100,-100,-100,-75,-85,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-86,-79,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-79,-77,-100,-42,-42,-88,-100,-41,-100,-100,-100,-100,-100,-100,-100,-100,-46,-46,-46,-81,-100,-100,-100,-80,-84,-100,-100,-100,-100,-79,-82,-100,-100,-100,-100,-88,-82,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-86,-86,-86,-87,-87,-87,-86,-100,-100,403.0,799.6000000000007,48.0
-100,-52,-100,-100,-83,-100,-84,-100,-100,-100,-100,-84,-85,-85,-100,-100,-100,-100,-100,-100,-100,-82,-81,-100,-100,-100,-100,-87,-100,-59,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-88,-88,-86,-87,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-83,-100,-100,-84,-82,-100,-59,-100,-100,-100,-61,-100,-87,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-75,-100,-100,-100,-100,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-80,-81,-100,-100,-80,-75,-100,-100,-100,-100,-100,-75,-85,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-86,-79,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-79,-79,-100,-41,-41,-88,-100,-41,-100,-100,-100,-100,-100,-100,-100,-100,-46,-46,-46,-82,-100,-100,-100,-80,-83,-100,-100,-100,-100,-79,-81,-100,-100,-100,-100,-88,-82,-82,-100,-100,-100,-100,-100,-100,-100,-87,-100,-86,-86,-86,-87,-87,-87,-86,-85,-100,403.0,799.6000000000007,48.0
-100,-51,-100,-100,-83,-100,-83,-100,-100,-100,-100,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-87,-100,-61,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-88,-88,-86,-87,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-83,-100,-100,-86,-81,-100,-61,-100,-100,-100,-61,-100,-87,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-71,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-79,-80,-100,-100,-80,-76,-100,-100,-100,-100,-100,-76,-85,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-86,-79,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-79,-100,-41,-41,-88,-100,-41,-100,-100,-100,-100,-100,-100,-100,-100,-46,-46,-46,-82,-100,-100,-100,-80,-83,-100,-100,-100,-100,-79,-81,-100,-100,-100,-100,-88,-82,-82,-100,-100,-100,-100,-100,-100,-100,-89,-100,-86,-86,-86,-87,-87,-87,-86,-85,-100,403.0,799.6000000000007,48.0
-100,-53,-100,-100,-81,-100,-82,-100,-100,-100,-100,-90,-84,-84,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-89,-89,-86,-86,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-89,-80,-100,-64,-100,-100,-100,-61,-100,-86,-88,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-69,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-79,-80,-100,-100,-80,-69,-100,-100,-100,-100,-100,-69,-100,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-79,-79,-100,-49,-49,-87,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-45,-82,-100,-100,-100,-82,-83,-100,-100,-100,-100,-75,-83,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,388.8,799.6000000000007,49.0
-100,-45,-100,-100,-83,-100,-83,-100,-100,-100,-100,-90,-84,-84,-100,-100,-100,-100,-100,-100,-100,-79,-79,-84,-85,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-89,-89,-86,-86,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-83,-100,-100,-89,-80,-100,-63,-100,-100,-100,-62,-100,-86,-88,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-70,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-80,-79,-100,-100,-80,-70,-100,-100,-100,-100,-100,-70,-100,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-79,-79,-100,-48,-48,-87,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-83,-100,-100,-100,-82,-83,-100,-100,-100,-100,-75,-82,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,388.8,799.6000000000007,49.0
-100,-46,-100,-100,-83,-100,-83,-100,-88,-100,-100,-89,-84,-89,-100,-100,-100,-100,-100,-100,-100,-80,-80,-86,-86,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-89,-89,-86,-86,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-88,-100,-89,-81,-85,-64,-100,-100,-100,-62,-100,-86,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-69,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-80,-79,-100,-100,-80,-69,-100,-100,-100,-100,-100,-69,-100,-84,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-78,-78,-100,-46,-46,-87,-100,-46,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-45,-83,-100,-100,-100,-82,-83,-100,-100,-100,-100,-75,-84,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,388.8,799.6000000000007,49.0
-100,-45,-100,-100,-82,-100,-82,-100,-88,-100,-100,-89,-84,-89,-100,-100,-100,-100,-100,-100,-100,-79,-80,-85,-86,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-89,-89,-85,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-82,-88,-100,-89,-79,-85,-64,-100,-100,-100,-62,-100,-84,-89,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-69,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-80,-79,-100,-100,-79,-68,-100,-100,-100,-100,-100,-69,-100,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-78,-79,-100,-47,-47,-87,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-45,-45,-45,-83,-100,-100,-100,-83,-79,-100,-100,-100,-100,-72,-83,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-88,-100,-84,-84,-100,-100,-100,-100,-100,-84,-100,388.8,799.6000000000007,49.0
-100,-46,-100,-100,-83,-100,-83,-100,-88,-100,-100,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-79,-79,-86,-83,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-89,-89,-85,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-82,-88,-100,-89,-79,-85,-64,-100,-100,-100,-62,-100,-84,-89,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-64,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-81,-79,-100,-100,-79,-69,-100,-100,-100,-100,-100,-69,-100,-85,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-78,-79,-100,-47,-47,-87,-100,-47,-100,-100,-100,-100,-100,-100,-100,-100,-44,-44,-44,-83,-100,-100,-100,-83,-84,-100,-100,-100,-100,-72,-83,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-84,-84,-100,-100,-100,-100,-100,-84,-100,388.8,799.6000000000007,49.0
-100,-45,-100,-100,-85,-100,-85,-100,-88,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-82,-82,-86,-83,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-62,-100,-100,-89,-89,-85,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-88,-100,-88,-82,-85,-68,-100,-100,-100,-62,-100,-84,-89,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-72,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-79,-79,-100,-100,-80,-72,-100,-100,-100,-100,-100,-72,-100,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-79,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-79,-79,-100,-47,-47,-87,-100,-48,-100,-100,-100,-100,-100,-100,-100,-89,-44,-44,-44,-82,-100,-100,-100,-83,-81,-100,-100,-100,-100,-77,-81,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-84,-84,-100,-100,-100,-100,-100,-84,-100,388.8,799.6000000000007,49.0
-100,-48,-100,-100,-86,-100,-85,-100,-100,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-83,-83,-86,-83,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-88,-82,-85,-68,-100,-100,-100,-64,-100,-88,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-72,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-79,-82,-100,-100,-83,-72,-100,-100,-100,-100,-100,-72,-100,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-79,-79,-100,-55,-55,-87,-100,-55,-100,-100,-100,-100,-100,-100,-100,-89,-45,-45,-45,-84,-100,-100,-100,-85,-84,-100,-100,-100,-100,-77,-81,-100,-100,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,374.6,799.6000000000007,50.0
-100,-47,-100,-100,-83,-100,-83,-100,-90,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-82,-82,-86,-85,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-89,-100,-88,-82,-86,-67,-100,-100,-100,-65,-100,-88,-87,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-68,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-79,-82,-100,-100,-83,-69,-100,-100,-100,-100,-100,-69,-100,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-79,-79,-100,-50,-50,-86,-100,-51,-100,-100,-100,-100,-100,-100,-100,-89,-46,-46,-46,-84,-100,-100,-100,-85,-84,-100,-100,-100,-100,-77,-81,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-86,-100,-100,-86,-100,-100,374.6,799.6000000000007,50.0
-100,-47,-100,-100,-85,-100,-84,-100,-90,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-81,-82,-86,-85,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-84,-89,-100,-88,-82,-86,-67,-100,-100,-100,-65,-100,-88,-87,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-69,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-81,-81,-100,-100,-83,-69,-100,-100,-100,-100,-100,-69,-100,-85,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-81,-81,-100,-50,-50,-86,-100,-50,-100,-100,-100,-100,-100,-100,-100,-89,-45,-45,-45,-83,-100,-100,-100,-83,-84,-100,-100,-100,-100,-77,-82,-100,-100,-100,-100,-90,-81,-82,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-86,-100,-100,-86,-100,-100,374.6,799.6000000000007,50.0
-100,-49,-100,-100,-83,-100,-84,-100,-90,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-82,-81,-86,-85,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-85,-89,-100,-88,-82,-86,-70,-100,-100,-100,-65,-100,-88,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-81,-81,-100,-100,-83,-69,-100,-100,-100,-100,-100,-69,-100,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-82,-81,-100,-51,-51,-86,-100,-51,-100,-100,-100,-100,-100,-100,-100,-89,-46,-46,-46,-83,-100,-100,-100,-84,-84,-100,-100,-100,-100,-77,-81,-100,-100,-100,-100,-90,-81,-82,-100,-100,-100,-100,-100,-100,-100,-89,-100,-87,-87,-100,-86,-100,-100,-86,-100,-100,374.6,799.6000000000007,50.0
-100,-49,-100,-100,-84,-100,-84,-100,-90,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-81,-81,-86,-85,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-83,-89,-100,-88,-82,-86,-69,-100,-100,-100,-65,-100,-88,-88,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-70,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-81,-82,-100,-100,-82,-69,-100,-100,-100,-100,-100,-70,-100,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-81,-81,-100,-51,-51,-86,-100,-51,-100,-100,-100,-100,-100,-100,-100,-89,-46,-46,-46,-84,-100,-100,-100,-84,-85,-100,-100,-100,-100,-77,-81,-100,-100,-100,-100,-90,-81,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-86,-86,-100,-86,-100,-100,-86,-87,-100,374.6,799.6000000000007,50.0
-100,-49,-100,-100,-84,-100,-85,-100,-90,-100,-100,-88,-88,-88,-100,-100,-100,-100,-100,-100,-100,-81,-81,-86,-85,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-84,-89,-100,-88,-81,-86,-70,-100,-100,-100,-65,-100,-88,-89,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-67,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-82,-81,-100,-100,-81,-68,-100,-100,-100,-100,-100,-68,-100,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-81,-100,-51,-51,-87,-100,-50,-100,-100,-100,-100,-100,-100,-100,-89,-45,-45,-46,-82,-100,-100,-100,-84,-83,-100,-100,-100,-100,-78,-82,-100,-100,-100,-100,-90,-81,-82,-100,-100,-100,-100,-100,-100,-100,-88,-100,-86,-86,-100,-86,-100,-100,-86,-87,-100,374.6,799.6000000000007,50.0
-100,-50,-100,-100,-84,-100,-82,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-85,-84,-100,-100,-87,-100,-71,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-89,-100,-100,-82,-85,-71,-100,-100,-100,-68,-100,-100,-89,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-67,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-82,-82,-100,-100,-81,-67,-100,-100,-100,-100,-100,-67,-100,-83,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-78,-100,-56,-55,-88,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-47,-47,-47,-83,-100,-100,-100,-83,-84,-100,-100,-100,-100,-77,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-83,-85,-84,-84,-100,-100,-83,-85,-100,360.40000000000003,799.6000000000007,51.0
