60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:b0,38:17:c3:1f:00:b1,38:17:c3:1f:00:b2,b4:5d:50:e1:96:43,b4:5d:50:e1:96:50,b4:5d:50:e1:96:52,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,44:48:c1:91:d0:10,44:48:c1:91:d0:11,44:48:c1:91:d0:12,44:48:c1:91:d0:14,20:a6:cd:42:0a:d1,20:a6:cd:42:0a:d2,20:a6:cd:42:0a:d3,38:17:c3:1f:00:a1,20:a6:cd:42:0a:d0,38:17:c3:1f:00:a2,9c:d6:43:60:92:e0,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,b4:5d:50:e1:96:40,44:48:c1:91:d0:01,38:17:c3:19:45:b0,38:17:c3:19:45:b2,44:48:c1:91:d0:00,20:a6:cd:42:0a:c3,44:48:c1:91:95:a3,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c2,a8:bd:27:4c:aa:92,20:a6:cd:42:0a:c0,a8:bd:27:4c:aa:90,a8:bd:27:4c:aa:91,a8:bd:27:4c:aa:93,38:17:c3:24:47:51,38:17:c3:1f:14:10,38:17:c3:1f:14:12,44:48:c1:91:95:b0,44:48:c1:91:95:b2,44:48:c1:91:95:b3,38:17:c3:24:47:52,44:48:c1:91:95:b1,38:17:c3:19:45:a1,38:17:c3:1f:19:d0,38:17:c3:1f:19:d1,38:17:c3:1f:19:d2,38:17:c3:24:47:50,38:17:c3:1f:09:93,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:1f:09:92,38:17:c3:1f:19:c1,20:a6:cd:42:13:f0,60:32:b1:3e:1a:b8,38:17:c3:1f:00:a0,44:48:c1:91:d0:04,38:17:c3:1f:14:00,38:17:c3:1f:14:01,38:17:c3:1f:14:02,38:17:c3:19:45:b1,38:17:c3:1f:09:81,38:17:c3:1f:14:11,44:48:c1:91:d0:02,38:17:c3:1f:09:80,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:1f:19:c0,38:17:c3:1f:19:c2,38:17:c3:19:45:a0,38:17:c3:19:d7:70,86:0d:8e:aa:25:a4,38:17:c3:19:45:a2,a8:bd:27:4c:aa:83,44:48:c1:91:95:a2,a8:bd:27:4c:aa:82,38:17:c3:24:56:50,44:48:c1:91:95:a1,20:a6:cd:42:13:f2,38:17:c3:22:5e:f0,a8:bd:27:4c:aa:80,a8:bd:27:4c:aa:81,ac:e2:d3:c4:08:e6,b6:e6:2d:69:d5:58,66:2a:2f:53:7c:99,44:48:c1:91:95:a0,20:a6:cd:42:0b:e3,38:17:c3:1f:19:f1,38:17:c3:1f:19:f0,38:17:c3:1f:19:f2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:60,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e0,80:8d:b7:55:25:e3,38:17:c3:19:d7:61,38:17:c3:19:36:32,38:17:c3:19:36:30,80:8d:b7:55:35:03,38:17:c3:19:36:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:35:10,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:51,68:ff:7b:e4:af:39,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,b0:be:76:f8:30:5e,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,38:17:c3:19:71:90,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,ea:9e:b4:53:24:54,38:17:c3:19:71:92,38:17:c3:19:71:91,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,80:8d:b7:55:3a:40,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:29:d0,80:8d:b7:55:29:d1,80:8d:b7:55:29:d2,38:17:c3:1e:ff:02,20:a6:cd:50:24:a0,80:8d:b7:55:29:c2,80:8d:b7:55:29:c0,80:8d:b7:55:29:c1,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,20:a6:cd:50:24:b0,20:a6:cd:50:24:b1,80:8d:b7:55:39:c2,20:a6:cd:50:24:b2,80:8d:b7:55:39:c1,38:17:c3:1f:22:30,80:8d:b7:55:39:c0,38:17:c3:1f:0e:10,00:4e:35:de:e1:12,00:4e:35:df:06:52,00:4e:35:df:06:40,38:17:c3:1f:22:32,38:17:c3:1f:22:31,00:4e:35:df:06:41,00:4e:35:df:06:42,00:4e:35:df:06:50,68:ff:7b:e4:af:38,00:4e:35:de:e1:10,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,38:17:c3:1f:22:21,38:17:c3:1f:0e:02,x,y,label
-100,-100,-100,-63,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-70,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-91,-100,-100,-69,-100,-87,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-86,-100,-70,-100,-100,-100,-72,-71,-80,-80,-71,-70,-73,-73,-73,-73,-74,-86,-81,-100,-100,-100,-100,-89,-88,-92,-100,-100,-93,-100,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,622,124,24
-100,-100,-100,-68,-67,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-76,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-76,-100,-100,-100,-100,-69,-100,-87,-100,-100,-100,-100,-100,-100,-74,-73,-100,-74,-89,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-86,-100,-70,-100,-100,-100,-70,-71,-100,-100,-71,-71,-73,-73,-72,-72,-74,-85,-100,-100,-100,-100,-100,-89,-89,-100,-87,-100,-93,-100,-100,-90,-89,-100,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,622,124,24
-100,-100,-100,-68,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-70,-100,-89,-100,-100,-100,-100,-100,-100,-75,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-87,-100,-100,-100,-100,-100,-73,-74,-100,-100,-73,-73,-72,-72,-74,-74,-73,-85,-100,-100,-100,-100,-100,-89,-88,-100,-89,-88,-100,-100,-100,-88,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,622,124,24
-100,-100,-100,-65,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-100,-100,-100,-100,-100,-70,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-70,-100,-80,-100,-100,-100,-100,-100,-100,-80,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-86,-100,-100,-100,-100,-100,-72,-71,-73,-75,-71,-72,-80,-80,-71,-72,-80,-100,-73,-100,-100,-100,-100,-87,-86,-91,-87,-87,-90,-90,-92,-100,-100,-100,-100,-100,-100,-84,-88,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-100,-100,-65,-65,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-71,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-71,-100,-81,-100,-100,-100,-100,-100,-100,-80,-72,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-87,-100,-100,-100,-100,-100,-74,-73,-73,-75,-74,-74,-78,-77,-72,-72,-78,-100,-73,-100,-100,-100,-100,-100,-100,-90,-100,-100,-90,-91,-90,-92,-100,-100,-100,-100,-100,-100,-100,-100,-89,-89,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-100,-100,-64,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-72,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-70,-100,-80,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-87,-100,-100,-100,-100,-100,-72,-72,-75,-76,-73,-72,-100,-77,-70,-69,-77,-100,-74,-100,-100,-84,-100,-87,-87,-89,-87,-87,-89,-88,-91,-100,-100,-100,-100,-100,-100,-84,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-92,-100,-65,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-70,-100,-80,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-86,-100,-74,-100,-100,-100,-73,-72,-100,-100,-73,-72,-100,-76,-72,-72,-100,-100,-100,-100,-100,-86,-100,-87,-87,-90,-87,-87,-91,-91,-91,-92,-100,-100,-100,-100,-100,-100,-88,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-100,-100,-65,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-71,-100,-100,-100,-100,-100,-70,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-90,-70,-100,-80,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-74,-100,-100,-100,-72,-73,-74,-74,-73,-72,-100,-78,-71,-71,-100,-100,-73,-100,-100,-100,-100,-88,-87,-91,-87,-88,-90,-90,-91,-100,-100,-100,-100,-100,-100,-100,-89,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-92,-83,-65,-65,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-70,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-92,-100,-71,-100,-80,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-88,-100,-75,-100,-100,-100,-73,-72,-74,-74,-71,-73,-100,-77,-73,-73,-100,-87,-74,-100,-100,-100,-100,-88,-88,-90,-89,-87,-89,-90,-91,-100,-100,-100,-100,-100,-100,-100,-91,-91,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,639,124,25
-100,-100,-100,-70,-70,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-100,-100,-100,-72,-72,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-90,-100,-89,-73,-100,-86,-100,-100,-100,-100,-100,-100,-74,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-86,-100,-100,-100,-100,-100,-72,-73,-77,-77,-72,-73,-77,-100,-72,-72,-78,-100,-77,-100,-100,-100,-100,-83,-83,-100,-84,-83,-100,-100,-100,-91,-100,-100,-100,-85,-100,-100,-91,-100,-90,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-100,-100,-69,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-73,-100,-85,-100,-100,-100,-100,-100,-100,-74,-72,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-86,-100,-100,-100,-100,-100,-74,-73,-78,-78,-75,-73,-80,-80,-75,-72,-80,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-92,-85,-100,-100,-100,-100,-100,-100,-92,-89,-89,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-92,-100,-70,-72,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-88,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-78,-100,-100,-100,-100,-72,-100,-88,-100,-100,-100,-100,-100,-100,-75,-72,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-73,-73,-79,-100,-73,-74,-78,-78,-72,-72,-79,-85,-78,-100,-100,-100,-100,-84,-85,-100,-84,-85,-100,-100,-100,-91,-100,-85,-84,-85,-100,-100,-100,-100,-90,-100,-90,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-91,-100,-69,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-74,-100,-84,-100,-100,-100,-100,-100,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-77,-73,-72,-82,-83,-72,-72,-82,-100,-100,-100,-100,-83,-100,-84,-84,-100,-84,-85,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-90,-100,-69,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-74,-72,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-86,-100,-100,-100,-100,-100,-74,-75,-78,-77,-74,-74,-80,-82,-72,-72,-80,-80,-76,-100,-100,-84,-100,-86,-85,-100,-85,-84,-100,-100,-100,-91,-92,-85,-100,-100,-91,-100,-100,-100,-92,-100,-100,-100,-91,-89,-87,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-93,-100,-68,-69,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-84,-100,-100,-100,-100,-100,-100,-72,-72,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-86,-100,-100,-100,-100,-100,-73,-74,-78,-79,-74,-74,-100,-80,-71,-71,-80,-84,-78,-100,-100,-100,-100,-85,-85,-100,-84,-84,-100,-100,-100,-89,-90,-85,-100,-85,-89,-100,-92,-100,-92,-100,-100,-100,-100,-88,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,656,124,26
-100,-100,-84,-69,-69,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-77,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-76,-100,-82,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-85,-100,-81,-100,-100,-100,-81,-81,-71,-71,-81,-81,-83,-83,-73,-72,-83,-100,-71,-100,-91,-87,-100,-84,-84,-88,-84,-84,-87,-87,-88,-88,-88,-100,-100,-100,-88,-100,-91,-91,-90,-86,-87,-100,-90,-88,-88,-86,-93,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,673,124,27
-100,-100,-100,-68,-68,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-93,-100,-100,-75,-100,-81,-100,-100,-100,-100,-100,-100,-100,-73,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-84,-100,-77,-100,-100,-100,-83,-83,-73,-100,-83,-83,-82,-82,-73,-73,-82,-100,-73,-100,-93,-85,-100,-86,-85,-90,-85,-86,-89,-88,-89,-88,-87,-100,-100,-100,-89,-100,-92,-91,-92,-100,-100,-100,-91,-87,-88,-88,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,673,124,27
-100,-100,-100,-69,-69,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-74,-100,-83,-100,-100,-100,-100,-100,-100,-82,-72,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-84,-100,-100,-100,-100,-100,-82,-82,-100,-71,-81,-82,-82,-81,-72,-72,-100,-100,-71,-100,-92,-100,-100,-85,-85,-91,-84,-84,-89,-89,-89,-87,-87,-87,-86,-86,-87,-100,-91,-92,-92,-100,-100,-100,-92,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,673,124,27
-100,-100,-100,-70,-70,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-82,-100,-77,-100,-100,-100,-86,-86,-72,-73,-88,-87,-81,-81,-71,-71,-81,-100,-72,-100,-100,-100,-100,-85,-85,-89,-84,-84,-88,-89,-89,-88,-87,-100,-100,-100,-88,-100,-100,-100,-92,-100,-100,-100,-92,-88,-89,-90,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,673,124,27
-100,-100,-100,-69,-69,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-78,-100,-83,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-81,-100,-100,-100,-100,-100,-83,-83,-72,-72,-83,-82,-82,-82,-70,-69,-82,-100,-71,-100,-90,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-83,-82,-83,-88,-100,-100,-91,-91,-100,-100,-100,-91,-100,-88,-100,-100,-90,-92,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,673,124,27
