ea:9e:b4:53:24:54,38:17:c3:1f:0e:10,38:17:c3:1f:0e:11,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:00,38:17:c3:1f:0e:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:39:d0,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:90,44:48:c1:a5:82:30,b0:be:76:f8:30:5e,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:39:c1,80:8d:b7:55:25:e3,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,38:17:c3:19:d7:72,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:20,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:25:e2,80:8d:b7:55:25:e1,20:a6:cd:50:24:b0,20:a6:cd:50:24:b2,80:8d:b7:55:3a:52,80:8d:b7:55:25:e0,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,38:17:c3:19:d7:60,38:17:c3:19:d7:61,2a:16:ad:ec:da:ab,38:17:c3:19:d7:62,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,38:17:c3:1e:ff:11,20:a6:cd:50:24:a1,38:17:c3:19:45:b0,66:2a:2f:53:7c:99,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:42,b4:5d:50:e1:92:33,b4:5d:50:e1:92:23,80:8d:b7:55:35:03,80:8d:b7:55:35:00,80:8d:b7:55:35:01,80:8d:b7:55:35:02,38:17:c3:19:d7:71,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a0,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b8,00:4e:35:df:06:41,38:17:c3:1f:09:90,b4:5d:50:e1:92:31,00:4e:35:df:06:40,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,80:8d:b7:55:3a:40,68:ff:7b:e4:af:39,b4:5d:50:e1:92:30,38:17:c3:19:55:52,20:a6:cd:42:0b:e3,38:17:c3:1f:22:30,b4:5d:50:e1:92:32,60:32:b1:3e:1a:b8,38:17:c3:1f:09:83,b4:5d:50:e1:96:53,38:17:c3:19:55:51,38:17:c3:19:55:50,72:32:b1:3e:1a:b7,38:17:c3:19:45:a2,38:17:c3:19:71:90,38:17:c3:1f:22:31,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,20:a6:cd:42:0b:f3,60:32:b1:3e:1a:b7,00:4e:35:de:e1:12,68:ff:7b:e4:af:38,38:17:c3:1f:22:32,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,00:4e:35:de:e1:11,38:17:c3:19:71:91,38:17:c3:1f:08:50,38:17:c3:1e:ff:00,00:4e:35:de:e1:10,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,b4:5d:50:e1:92:22,a8:bd:27:4c:bd:30,38:17:c3:19:45:a1,38:17:c3:19:45:a0,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:21,38:17:c3:19:55:40,44:48:c1:91:95:b2,44:48:c1:91:95:b3,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:22,44:48:c1:91:95:b0,38:17:c3:19:55:42,38:17:c3:1f:08:51,38:17:c3:19:55:41,00:4e:35:de:d7:53,00:4e:35:de:d7:52,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,00:4e:35:de:e1:00,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:d7:42,38:17:c3:19:71:92,00:4e:35:de:d7:41,00:4e:35:de:d7:40,00:4e:35:de:d7:43,38:17:c3:1f:08:52,38:17:c3:1f:22:20,00:4e:35:df:0e:12,38:17:c3:1f:08:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b0,00:4e:35:df:0e:11,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:10,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:19:71:81,38:17:c3:19:71:82,38:17:c3:1b:08:b0,00:4e:35:df:0e:02,38:17:c3:1b:08:a2,38:17:c3:1b:08:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:1b:08:a0,38:17:c3:19:71:80,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,00:4e:35:df:0e:10,x,y,label
-87,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-85,-85,-84,-100,-100,-100,-93,-50,-100,-100,-84,-84,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-76,-100,-100,-77,-70,-70,-72,-85,-100,-100,-75,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-83,-100,-100,-100,-84,-100,-100,-100,-65,-100,-100,-100,-100,-70,-100,-100,-100,-71,-69,-100,-78,-100,-79,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-86,-100,-100,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-91,-87,-100,-100,-100,-100,-100,-100,-59,-100,-100,-82,-82,-81,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-84,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-72,-100,-100,-72,-77,-78,-71,-84,-83,-100,-75,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-81,-100,-100,-100,-83,-100,-100,-100,-63,-100,-100,-86,-86,-69,-77,-100,-100,-68,-69,-100,-77,-100,-76,-100,-100,-62,-62,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-88,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-84,-92,-100,-100,-100,-100,-100,-100,-100,-91,-100,-85,-85,-84,-100,-100,-100,-91,-48,-90,-90,-85,-85,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-81,-100,-83,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-75,-100,-100,-75,-74,-74,-73,-83,-100,-100,-74,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-100,-85,-100,-100,-100,-59,-100,-100,-88,-89,-65,-78,-100,-100,-64,-65,-100,-100,-100,-77,-100,-100,-63,-63,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-84,-92,-100,-100,-92,-100,-100,-100,-100,-100,-100,-84,-85,-84,-100,-100,-100,-94,-49,-100,-100,-86,-86,-86,-85,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-82,-88,-84,-100,-82,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-73,-100,-100,-82,-76,-77,-76,-85,-100,-100,-76,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-85,-100,-100,-100,-84,-100,-100,-100,-61,-100,-100,-86,-88,-66,-100,-100,-100,-66,-66,-100,-80,-100,-100,-100,-100,-62,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,742.8000000000005,34
-100,-93,-92,-100,-100,-100,-100,-93,-100,-92,-100,-85,-86,-86,-100,-100,-100,-92,-45,-92,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-79,-100,-82,-100,-80,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-81,-100,-100,-82,-75,-75,-75,-81,-100,-100,-76,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-66,-100,-100,-100,-100,-71,-78,-100,-100,-70,-70,-100,-78,-100,-78,-100,-100,-62,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-100,-100,-100,-100,-100,-100,-90,-100,-92,-91,-85,-85,-85,-100,-100,-100,-92,-42,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-77,-100,-100,-100,-79,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-76,-76,-76,-100,-85,-100,-77,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-65,-100,-100,-100,-100,-72,-79,-100,-100,-71,-72,-100,-80,-100,-100,-100,-100,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-100,-100,-100,-100,-100,-100,-91,-91,-91,-90,-86,-85,-85,-100,-100,-100,-91,-46,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-76,-100,-80,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-81,-100,-100,-80,-76,-76,-76,-81,-100,-100,-77,-100,-100,-100,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-92,-100,-100,-100,-91,-100,-100,-100,-65,-100,-100,-100,-90,-71,-79,-100,-100,-71,-72,-100,-79,-100,-79,-100,-100,-67,-68,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-86,-87,-87,-100,-100,-100,-92,-44,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-79,-75,-76,-75,-100,-100,-100,-76,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-100,-100,-65,-100,-100,-100,-100,-71,-80,-100,-100,-72,-71,-100,-79,-100,-81,-100,-100,-67,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-100,-100,-100,-100,-100,-100,-100,-91,-91,-92,-100,-100,-100,-100,-100,-100,-92,-45,-100,-100,-100,-90,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-77,-90,-81,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-100,-78,-76,-77,-81,-100,-100,-76,-100,-100,-100,-100,-100,-100,-77,-76,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,-100,-65,-100,-100,-100,-89,-72,-80,-100,-100,-72,-71,-100,-81,-100,-80,-100,-100,-67,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-100,-100,-100,-100,-100,-100,-90,-91,-89,-91,-85,-85,-85,-100,-100,-100,-93,-45,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-80,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-80,-77,-77,-77,-100,-84,-100,-77,-100,-100,-100,-100,-100,-100,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-100,-65,-100,-100,-90,-90,-100,-78,-100,-100,-71,-100,-100,-80,-100,-79,-100,-100,-68,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,757.0000000000006,35
-100,-90,-100,-100,-100,-100,-100,-100,-100,-92,-93,-86,-86,-86,-100,-100,-100,-100,-41,-100,-100,-82,-82,-81,-82,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-100,-100,-77,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-78,-75,-74,-75,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,-100,-67,-100,-100,-100,-100,-70,-82,-100,-100,-69,-69,-100,-82,-100,-82,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-91,-86,-85,-85,-100,-100,-100,-93,-41,-100,-100,-85,-84,-85,-84,-90,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-80,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-74,-73,-73,-79,-100,-100,-78,-100,-100,-100,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-91,-100,-100,-100,-91,-100,-100,-100,-68,-100,-100,-100,-93,-70,-100,-100,-100,-69,-69,-100,-100,-100,-100,-100,-100,-70,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-92,-100,-100,-100,-100,-100,-100,-100,-95,-94,-86,-85,-85,-100,-100,-100,-100,-43,-100,-100,-85,-84,-85,-84,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-79,-74,-73,-74,-80,-100,-100,-77,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-91,-100,-100,-100,-90,-100,-100,-100,-67,-100,-100,-91,-100,-69,-82,-100,-100,-69,-69,-100,-83,-100,-83,-100,-100,-68,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-86,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-92,-100,-100,-100,-100,-100,-100,-100,-91,-92,-85,-86,-85,-100,-100,-100,-100,-42,-100,-100,-82,-82,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-80,-100,-78,-100,-100,-77,-74,-74,-74,-80,-100,-100,-77,-100,-100,-100,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-69,-100,-100,-100,-92,-69,-82,-100,-100,-68,-68,-100,-83,-100,-82,-100,-100,-73,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-85,-85,-100,-100,-100,-100,-41,-100,-100,-82,-81,-82,-81,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-88,-100,-100,-77,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-74,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-90,-100,-100,-100,-91,-100,-100,-100,-69,-100,-100,-100,-100,-68,-100,-100,-100,-71,-68,-100,-83,-100,-82,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-92,-100,-100,-100,-100,-100,-100,-100,-92,-100,-85,-85,-86,-100,-100,-100,-94,-42,-100,-100,-82,-82,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-77,-100,-80,-100,-78,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-78,-100,-100,-77,-72,-72,-71,-79,-100,-100,-77,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-100,-100,-69,-100,-100,-100,-92,-68,-83,-100,-100,-68,-67,-100,-82,-100,-83,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-87,-87,-100,-100,-100,-92,-44,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-78,-100,-89,-100,-78,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-72,-72,-72,-100,-85,-100,-82,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-61,-100,-100,-100,-100,-100,-85,-100,-100,-68,-100,-100,-85,-100,-85,-100,-100,-65,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-92,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-78,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-83,-75,-75,-75,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-60,-100,-100,-100,-100,-68,-100,-100,-100,-69,-67,-100,-86,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-86,-86,-77,-88,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-88,-89,-100,-100,-100,-100,-44,-100,-100,-100,-86,-86,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-80,-100,-88,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-83,-100,-100,-100,-74,-74,-74,-88,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-69,-100,-100,-100,-69,-69,-100,-100,-100,-84,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-86,-85,-78,-90,-100,-100,-100,-93,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-89,-100,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-75,-74,-75,-100,-85,-100,-80,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-61,-100,-100,-100,-100,-68,-100,-100,-100,-69,-70,-100,-100,-100,-100,-100,-100,-65,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-85,-86,-78,-89,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-88,-89,-100,-100,-100,-100,-44,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-79,-100,-88,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-83,-100,-100,-100,-76,-75,-75,-100,-86,-100,-81,-100,-100,-100,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-89,-100,-100,-100,-90,-100,-100,-100,-61,-100,-100,-100,-100,-68,-100,-100,-100,-69,-68,-100,-85,-100,-85,-100,-100,-65,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-86,-85,-78,-89,-100,-100,-100,-92,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
