38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a2,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:55:50,38:17:c3:1e:fc:a1,b0:be:76:f8:30:5e,32:f7:72:50:57:3b,38:17:c3:24:58:b0,00:4e:35:df:06:42,00:4e:35:df:06:52,38:17:c3:24:58:b1,38:17:c3:24:58:b2,00:4e:35:df:06:41,00:4e:35:df:06:40,00:4e:35:df:06:51,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,00:4e:35:df:06:50,80:8d:b7:55:3a:50,64:e5:99:c3:13:3c,68:ff:7b:e4:af:39,68:ff:7b:e4:af:38,70:56:81:c9:91:ab,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:12,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:0e:00,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:10,80:8d:b7:55:35:12,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:01,80:8d:b7:55:35:03,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:39:d0,80:8d:b7:55:25:f1,38:17:c3:1f:01:81,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:72,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,38:17:c3:1f:01:92,38:17:c3:19:d7:70,38:17:c3:19:d7:71,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,80:8d:b7:55:3a:40,38:17:c3:1f:01:90,38:17:c3:1f:01:91,44:48:c1:a5:82:22,60:32:b1:3e:1a:b8,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,44:48:c1:a5:82:32,38:17:c3:1e:ff:11,44:48:c1:a5:82:31,44:48:c1:a5:82:30,20:a6:cd:50:24:a2,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,38:17:c3:1f:01:82,80:8d:b7:55:25:e0,38:17:c3:1f:01:80,44:48:c1:a5:82:21,38:17:c3:19:45:b0,80:8d:b7:55:25:e2,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,80:8d:b7:55:25:e3,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,38:17:c3:19:45:b1,72:32:b1:3e:1a:b7,38:17:c3:19:45:b2,44:48:c1:a5:82:20,60:32:b1:3e:1a:b7,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,66:2a:2f:53:7c:99,38:17:c3:19:45:a1,38:17:c3:19:45:a2,20:a6:cd:50:24:b2,20:a6:cd:50:24:b0,72:32:b1:3e:1a:b8,20:a6:cd:50:24:b1,b4:5d:50:e1:92:22,00:4e:35:de:e1:10,00:4e:35:de:e1:12,38:17:c3:1f:09:90,00:4e:35:de:e1:11,b4:5d:50:e1:92:33,b4:5d:50:e1:92:31,b4:5d:50:e1:92:32,00:4e:35:de:e1:02,b4:5d:50:e1:92:30,38:17:c3:1f:08:50,00:4e:35:de:e1:00,b4:5d:50:e1:92:21,b4:5d:50:e1:92:20,38:17:c3:1f:08:52,38:17:c3:1f:08:51,00:4e:35:de:e1:01,00:4e:35:de:d7:52,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,38:17:c3:19:71:90,38:17:c3:19:71:92,00:4e:35:de:d7:41,a8:bd:27:4c:bd:30,38:17:c3:19:71:80,00:4e:35:de:d7:42,38:17:c3:1f:22:30,38:17:c3:19:71:91,38:17:c3:1f:22:31,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:1f:22:32,38:17:c3:1f:08:40,38:17:c3:1f:08:41,00:4e:35:de:d7:43,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,00:4e:35:df:0e:12,00:4e:35:df:0e:11,00:4e:35:df:0e:10,00:4e:35:df:0e:02,00:4e:35:df:0e:00,00:4e:35:df:0e:01,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1b:08:b0,00:4e:35:de:d7:40,x,y,label
-100,-100,-100,-100,-100,-100,-100,-88,-100,-68,-100,-100,-81,-83,-100,-100,-82,-100,-83,-100,-100,-100,-83,-73,-100,-100,-100,-100,-77,-66,-77,-78,-74,-72,-73,-77,-78,-77,-78,-76,-75,-76,-74,-64,-63,-64,-82,-100,-81,-81,-82,-87,-100,-100,-81,-89,-73,-73,-100,-88,-100,-70,-71,-100,-90,-100,-66,-91,-100,-91,-66,-100,-67,-67,-100,-64,-64,-64,-100,-100,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-67,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-85,-86,-85,-100,-85,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-100,-100,-100,-100,-100,-100,-100,-88,-100,-72,-100,-100,-81,-80,-100,-100,-82,-100,-80,-100,-100,-100,-81,-73,-100,-100,-100,-100,-75,-66,-76,-75,-71,-71,-71,-77,-74,-75,-75,-76,-100,-76,-74,-63,-63,-62,-78,-100,-78,-79,-80,-85,-100,-100,-82,-88,-73,-73,-100,-87,-88,-70,-71,-100,-89,-91,-68,-92,-100,-91,-70,-100,-70,-70,-100,-64,-62,-63,-100,-81,-100,-68,-100,-81,-100,-100,-100,-81,-82,-100,-100,-88,-100,-68,-100,-100,-81,-91,-100,-100,-100,-100,-100,-100,-86,-100,-91,-100,-100,-100,-100,-100,-100,-100,-91,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-100,-100,-81,-82,-100,-100,-81,-82,-82,-100,-100,-100,-82,-74,-100,-100,-100,-100,-83,-67,-84,-84,-100,-100,-100,-74,-73,-74,-74,-75,-75,-100,-75,-100,-100,-100,-83,-100,-82,-84,-84,-100,-100,-100,-82,-84,-73,-74,-100,-85,-83,-100,-74,-75,-100,-100,-66,-88,-100,-91,-61,-100,-62,-62,-100,-60,-61,-60,-100,-100,-100,-67,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-64,-88,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-87,-90,-89,-100,-100,-100,-87,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-81,-82,-100,-100,-81,-79,-82,-100,-100,-100,-83,-76,-100,-100,-100,-100,-77,-63,-77,-78,-100,-100,-100,-74,-74,-74,-74,-77,-75,-78,-75,-65,-65,-65,-82,-100,-81,-81,-82,-100,-82,-100,-85,-84,-76,-78,-100,-85,-85,-100,-77,-75,-100,-100,-64,-88,-100,-91,-61,-100,-62,-61,-100,-60,-60,-60,-100,-100,-100,-64,-100,-100,-100,-100,-100,-77,-100,-100,-100,-90,-100,-64,-88,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-86,-88,-89,-100,-100,-100,-89,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-100,-100,-80,-80,-100,-100,-80,-79,-81,-100,-100,-100,-81,-73,-100,-100,-100,-100,-77,-69,-73,-73,-100,-100,-100,-74,-74,-74,-74,-77,-79,-78,-100,-65,-65,-65,-82,-100,-82,-82,-82,-100,-82,-100,-89,-84,-72,-73,-100,-85,-85,-72,-73,-71,-100,-100,-63,-100,-100,-100,-67,-100,-66,-67,-100,-64,-64,-64,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-62,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-88,-100,-86,-85,-85,-85,-100,-85,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-100,-89,-89,-100,-70,-100,-100,-80,-80,-100,-100,-80,-81,-81,-100,-100,-100,-81,-72,-100,-100,-100,-100,-72,-66,-72,-72,-73,-73,-72,-74,-74,-74,-74,-100,-79,-79,-77,-63,-64,-64,-82,-100,-82,-82,-83,-100,-100,-100,-89,-100,-72,-72,-100,-100,-100,-72,-73,-71,-100,-100,-63,-100,-100,-100,-69,-100,-69,-68,-100,-67,-66,-65,-100,-79,-100,-63,-100,-78,-100,-100,-100,-100,-100,-100,-100,-89,-100,-63,-89,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-85,-85,-85,-100,-85,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-100,-89,-89,-100,-71,-100,-100,-80,-85,-100,-100,-80,-81,-85,-100,-100,-100,-83,-72,-100,-100,-100,-100,-73,-66,-72,-72,-71,-71,-71,-75,-75,-74,-74,-76,-76,-77,-76,-67,-67,-68,-82,-100,-82,-82,-82,-100,-100,-100,-100,-100,-71,-72,-100,-100,-100,-71,-71,-71,-100,-100,-61,-100,-100,-100,-70,-100,-70,-70,-100,-65,-64,-63,-100,-79,-100,-62,-100,-78,-100,-100,-100,-100,-85,-100,-100,-89,-100,-62,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-84,-100,-83,-91,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-100,-89,-89,-100,-73,-100,-100,-80,-83,-100,-100,-100,-100,-82,-100,-100,-100,-82,-72,-100,-100,-100,-100,-73,-59,-72,-73,-71,-71,-71,-76,-75,-75,-75,-77,-75,-75,-74,-67,-67,-68,-81,-100,-81,-82,-82,-100,-100,-100,-85,-100,-72,-72,-100,-100,-100,-71,-71,-72,-100,-100,-59,-100,-100,-100,-70,-100,-70,-70,-100,-65,-63,-65,-100,-80,-100,-60,-100,-80,-100,-100,-100,-84,-83,-100,-100,-90,-100,-60,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-84,-100,-83,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-100,-100,-100,-100,-100,-88,-89,-89,-100,-70,-100,-100,-77,-79,-100,-100,-100,-76,-79,-100,-100,-100,-100,-71,-100,-100,-100,-100,-75,-59,-76,-75,-72,-72,-71,-74,-75,-75,-75,-76,-100,-100,-75,-63,-64,-64,-84,-100,-85,-84,-84,-100,-100,-100,-87,-86,-70,-70,-100,-87,-88,-71,-71,-100,-100,-100,-59,-87,-100,-100,-60,-100,-60,-60,-100,-63,-64,-63,-86,-100,-100,-59,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-85,-100,-84,-86,-87,-85,-83,-86,-100,-100,-100,-100,-100,-100,-85,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-100,-88,-89,-89,-100,-76,-100,-100,-77,-75,-100,-100,-77,-76,-74,-100,-100,-100,-74,-71,-100,-100,-100,-100,-75,-64,-75,-75,-72,-72,-71,-77,-76,-76,-78,-76,-100,-77,-77,-63,-62,-62,-85,-100,-86,-84,-85,-100,-85,-88,-82,-88,-70,-71,-100,-87,-88,-71,-72,-72,-100,-100,-56,-91,-100,-100,-58,-100,-58,-58,-100,-63,-64,-63,-86,-100,-100,-57,-100,-83,-100,-100,-100,-100,-89,-100,-100,-100,-100,-56,-91,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-85,-87,-86,-86,-83,-87,-100,-100,-100,-100,-100,-100,-82,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-100,-86,-100,-100,-100,-69,-100,-100,-76,-74,-100,-100,-75,-76,-75,-100,-100,-100,-74,-71,-100,-100,-100,-100,-74,-62,-74,-75,-70,-69,-100,-77,-80,-80,-81,-78,-79,-77,-78,-63,-62,-62,-85,-84,-86,-100,-85,-100,-85,-88,-100,-88,-70,-71,-100,-90,-90,-71,-72,-72,-100,-100,-57,-91,-100,-100,-58,-100,-58,-58,-100,-61,-63,-63,-85,-100,-100,-57,-100,-83,-100,-100,-100,-100,-87,-100,-100,-100,-100,-57,-91,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-85,-84,-86,-87,-82,-86,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-100,-86,-100,-100,-100,-65,-100,-100,-76,-78,-100,-100,-77,-77,-79,-100,-100,-100,-74,-71,-100,-100,-100,-100,-74,-59,-74,-74,-70,-69,-100,-77,-77,-79,-78,-79,-79,-79,-76,-63,-62,-62,-82,-84,-82,-83,-83,-100,-100,-100,-100,-100,-71,-71,-100,-90,-90,-70,-70,-69,-100,-100,-61,-100,-100,-91,-64,-100,-62,-62,-100,-57,-58,-59,-85,-100,-100,-61,-100,-80,-100,-100,-100,-79,-87,-100,-100,-100,-100,-61,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-85,-90,-100,-85,-86,-86,-87,-82,-87,-100,-100,-100,-100,-100,-100,-82,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-84,-100,-100,-100,-100,-100,-100,-68,-100,-100,-81,-80,-100,-100,-80,-80,-79,-100,-100,-100,-81,-75,-100,-100,-100,-100,-74,-67,-75,-74,-77,-100,-100,-75,-75,-76,-78,-79,-78,-77,-74,-65,-64,-65,-78,-100,-78,-79,-79,-86,-100,-100,-100,-100,-74,-74,-100,-88,-87,-71,-70,-71,-100,-100,-55,-100,-100,-93,-62,-100,-62,-62,-100,-57,-57,-56,-100,-100,-100,-54,-100,-80,-100,-100,-100,-79,-86,-100,-100,-100,-100,-55,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-88,-100,-84,-100,-83,-86,-86,-87,-82,-87,-100,-100,-100,-100,-100,-100,-82,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-82,-100,-84,-100,-100,-100,-100,-100,-100,-68,-100,-100,-80,-76,-100,-100,-79,-80,-78,-100,-100,-100,-77,-73,-100,-100,-100,-100,-74,-59,-74,-74,-77,-100,-100,-72,-72,-72,-72,-79,-77,-77,-74,-64,-64,-64,-82,-100,-82,-82,-81,-86,-86,-87,-100,-100,-74,-73,-100,-89,-87,-72,-72,-72,-91,-100,-60,-100,-89,-90,-67,-100,-67,-67,-100,-61,-61,-56,-100,-100,-100,-59,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-59,-100,-100,-100,-93,-100,-100,-100,-89,-100,-89,-88,-84,-84,-100,-83,-86,-87,-87,-100,-88,-100,-100,-87,-100,-100,-100,-100,-91,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-100,-100,-100,-100,-100,-87,-100,-100,-100,-71,-100,-100,-77,-79,-100,-100,-78,-100,-81,-100,-100,-100,-80,-88,-100,-82,-100,-100,-100,-66,-78,-77,-100,-100,-100,-75,-74,-75,-74,-100,-100,-100,-78,-66,-66,-66,-81,-100,-80,-81,-82,-100,-100,-100,-100,-88,-77,-76,-100,-100,-100,-69,-70,-100,-100,-100,-66,-89,-100,-100,-64,-100,-64,-64,-100,-69,-70,-70,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-87,-100,-100,-100,-92,-100,-100,-100,-82,-82,-100,-82,-89,-90,-100,-89,-100,-89,-100,-100,-100,-100,-100,-100,-86,-85,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-84,-86,-83,-100,-100,-86,-100,-100,-100,-69,-100,-100,-76,-80,-100,-100,-76,-76,-81,-100,-100,-100,-80,-77,-100,-82,-89,-100,-78,-75,-78,-77,-100,-100,-80,-76,-75,-75,-75,-77,-77,-77,-76,-68,-68,-68,-81,-100,-80,-81,-80,-100,-100,-100,-100,-88,-74,-75,-100,-91,-100,-72,-71,-100,-100,-100,-66,-89,-100,-100,-61,-100,-61,-61,-100,-65,-65,-66,-100,-80,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-65,-100,-100,-80,-85,-100,-100,-100,-92,-100,-100,-100,-82,-80,-100,-81,-87,-88,-87,-89,-89,-89,-100,-100,-100,-100,-100,-100,-82,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-84,-86,-83,-100,-100,-86,-86,-88,-100,-67,-100,-100,-76,-83,-100,-100,-76,-75,-83,-100,-100,-100,-83,-75,-100,-100,-89,-100,-78,-72,-77,-77,-100,-100,-80,-76,-77,-76,-77,-77,-77,-80,-79,-69,-70,-70,-79,-100,-80,-80,-80,-100,-100,-100,-100,-100,-74,-75,-100,-91,-100,-70,-71,-100,-100,-100,-65,-85,-100,-100,-61,-100,-61,-61,-100,-63,-62,-63,-100,-80,-100,-66,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-65,-100,-100,-80,-89,-100,-100,-100,-100,-100,-100,-100,-81,-80,-100,-81,-87,-88,-87,-100,-86,-100,-100,-100,-100,-100,-100,-100,-86,-85,-85,-84,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-100,-86,-86,-88,-100,-69,-100,-100,-76,-83,-100,-100,-76,-75,-83,-100,-100,-100,-83,-75,-100,-100,-100,-100,-78,-83,-77,-78,-100,-100,-100,-79,-77,-77,-78,-80,-79,-80,-79,-71,-71,-72,-79,-100,-80,-80,-80,-100,-100,-100,-84,-100,-74,-75,-100,-100,-100,-70,-100,-100,-100,-100,-65,-88,-100,-100,-60,-100,-60,-60,-100,-65,-65,-65,-100,-80,-100,-65,-100,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-64,-100,-100,-81,-89,-100,-100,-100,-100,-100,-100,-100,-82,-82,-100,-82,-84,-86,-85,-100,-85,-100,-100,-100,-87,-100,-100,-100,-86,-86,-85,-86,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-84,-82,-85,-100,-100,-100,-100,-88,-100,-68,-100,-100,-76,-83,-100,-100,-76,-75,-82,-100,-100,-100,-83,-74,-100,-100,-100,-100,-78,-74,-78,-78,-100,-100,-100,-78,-77,-78,-78,-80,-79,-100,-76,-71,-72,-72,-79,-100,-80,-80,-80,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-72,-100,-100,-100,-63,-88,-100,-100,-61,-100,-61,-61,-100,-62,-64,-64,-100,-80,-100,-63,-100,-81,-100,-100,-100,-80,-100,-100,-100,-100,-100,-64,-100,-100,-81,-100,-100,-100,-100,-90,-100,-100,-100,-82,-82,-100,-82,-85,-87,-85,-100,-85,-100,-100,-86,-87,-100,-100,-100,-83,-84,-85,-84,-89,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-84,-84,-85,-100,-100,-100,-100,-100,-100,-68,-100,-100,-76,-84,-100,-100,-77,-76,-84,-100,-100,-100,-84,-74,-100,-100,-100,-100,-78,-84,-78,-77,-100,-100,-100,-79,-76,-77,-78,-78,-78,-100,-76,-71,-72,-72,-80,-100,-80,-80,-80,-100,-100,-100,-85,-100,-73,-74,-100,-100,-100,-100,-71,-100,-100,-100,-63,-87,-100,-100,-61,-100,-61,-61,-100,-62,-64,-63,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-83,-82,-100,-82,-85,-86,-86,-89,-86,-100,-89,-86,-100,-100,-100,-100,-83,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,444.59999999999985,13
-100,-100,-100,-100,-100,-84,-100,-100,-100,-68,-100,-100,-76,-71,-100,-100,-77,-100,-71,-100,-100,-100,-71,-71,-100,-100,-100,-100,-80,-69,-100,-100,-82,-82,-83,-75,-73,-74,-100,-100,-81,-100,-76,-64,-65,-64,-83,-100,-82,-81,-83,-87,-87,-100,-100,-100,-71,-71,-100,-88,-88,-70,-100,-100,-100,-100,-66,-100,-100,-100,-67,-100,-67,-66,-100,-67,-67,-67,-100,-100,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-65,-86,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-79,-79,-100,-80,-84,-84,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-100,-84,-100,-100,-100,-66,-100,-100,-76,-74,-100,-100,-77,-100,-73,-100,-100,-100,-73,-71,-100,-100,-100,-100,-80,-66,-81,-100,-82,-82,-83,-74,-73,-74,-74,-100,-81,-100,-76,-65,-65,-65,-83,-100,-84,-85,-85,-87,-87,-100,-88,-100,-70,-70,-100,-88,-88,-70,-70,-70,-100,-100,-65,-83,-100,-100,-67,-100,-67,-66,-100,-66,-65,-65,-100,-100,-100,-65,-100,-83,-100,-100,-100,-100,-100,-100,-100,-87,-100,-64,-86,-100,-81,-85,-100,-100,-100,-100,-88,-100,-100,-82,-80,-100,-80,-84,-84,-84,-87,-86,-100,-100,-100,-100,-100,-100,-86,-88,-87,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-100,-100,-100,-100,-100,-66,-100,-100,-77,-73,-100,-100,-77,-77,-73,-100,-100,-100,-73,-72,-100,-100,-100,-100,-80,-68,-81,-81,-100,-100,-100,-74,-73,-74,-74,-100,-100,-100,-79,-65,-66,-65,-83,-100,-84,-85,-85,-100,-100,-100,-87,-100,-72,-72,-100,-87,-100,-70,-71,-70,-100,-100,-67,-83,-100,-100,-67,-100,-67,-67,-100,-67,-65,-65,-100,-82,-100,-67,-100,-81,-100,-100,-100,-80,-100,-100,-100,-87,-100,-67,-87,-100,-81,-84,-100,-100,-100,-100,-88,-100,-100,-80,-80,-100,-80,-84,-85,-84,-85,-86,-93,-100,-100,-100,-100,-100,-86,-88,-87,-88,-89,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-100,-100,-77,-73,-100,-100,-77,-77,-72,-100,-100,-100,-72,-72,-100,-100,-100,-100,-80,-65,-81,-81,-100,-100,-100,-74,-73,-73,-73,-100,-80,-100,-79,-67,-66,-66,-84,-100,-85,-85,-84,-100,-100,-100,-88,-100,-72,-73,-100,-87,-100,-70,-71,-70,-100,-100,-67,-86,-100,-100,-67,-100,-67,-66,-100,-67,-67,-67,-100,-80,-100,-67,-100,-80,-100,-100,-100,-80,-100,-100,-100,-87,-100,-67,-87,-100,-81,-84,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-80,-85,-84,-86,-85,-85,-93,-100,-100,-100,-100,-100,-86,-87,-88,-88,-88,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,458.79999999999984,14
