b0:be:76:f8:30:5e,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,00:4e:35:df:06:50,b8:27:eb:9f:6b:77,80:8d:b7:55:3a:41,ea:9e:b4:53:24:54,80:8d:b7:55:25:e3,80:8d:b7:55:25:e1,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,80:8d:b7:55:35:11,44:48:c1:a5:82:31,80:8d:b7:55:35:01,80:8d:b7:55:3a:50,00:4e:35:df:06:52,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,44:48:c1:a5:82:30,44:48:c1:a5:82:20,66:2a:2f:53:7c:99,80:8d:b7:55:35:03,38:17:c3:1f:0e:10,80:8d:b7:55:35:00,44:48:c1:a5:82:22,44:48:c1:a5:82:21,80:8d:b7:55:35:12,38:17:c3:1f:0e:00,38:17:c3:1f:22:30,38:17:c3:19:71:90,80:8d:b7:55:35:13,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:35:02,80:8d:b7:55:25:f2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,38:17:c3:1e:ff:11,38:17:c3:1e:ff:12,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:19:45:b1,38:17:c3:19:45:b2,38:17:c3:1f:22:32,ac:e2:d3:c4:08:e6,80:8d:b7:55:25:f0,38:17:c3:1f:01:90,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,38:17:c3:19:45:b0,38:17:c3:1e:ff:00,00:4e:35:df:06:51,20:a6:cd:50:24:b2,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,b4:5d:50:e1:92:23,b4:5d:50:e1:92:22,60:32:b1:3e:1a:b8,20:a6:cd:42:0b:e3,38:17:c3:1f:01:80,20:a6:cd:50:24:b0,b4:5d:50:e1:92:21,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:39:c1,80:8d:b7:55:3a:42,b4:5d:50:e1:92:32,38:17:c3:19:55:51,72:32:b1:3e:1a:b8,b4:5d:50:e1:92:30,38:17:c3:19:55:52,38:17:c3:1f:09:83,38:17:c3:19:d7:70,80:8d:b7:55:39:c0,80:8d:b7:55:3a:40,b4:5d:50:e1:92:31,38:17:c3:19:55:50,80:8d:b7:55:39:c2,68:ff:7b:e4:af:39,00:4e:35:de:e1:12,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:01,38:17:c3:1f:09:93,38:17:c3:19:71:91,38:17:c3:1f:09:90,80:8d:b7:55:25:e2,38:17:c3:1e:ff:02,38:17:c3:19:71:92,38:17:c3:1f:09:91,b4:5d:50:e1:96:43,80:8d:b7:55:25:e0,60:32:b1:3e:1a:b7,38:17:c3:19:45:a2,38:17:c3:19:45:a1,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:55:41,38:17:c3:19:55:42,20:a6:cd:50:24:a0,38:17:c3:19:45:a0,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,00:4e:35:de:e1:10,38:17:c3:19:55:40,00:4e:35:df:06:42,00:4e:35:df:06:40,00:4e:35:df:06:41,00:4e:35:de:e1:01,00:4e:35:de:e1:02,38:17:c3:1f:22:31,00:4e:35:de:e1:11,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,38:17:c3:1f:09:92,38:17:c3:1f:00:b0,b4:5d:50:e1:96:53,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,38:17:c3:1f:08:50,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:31,44:48:c1:91:95:b3,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,38:17:c3:1f:08:52,44:48:c1:91:95:b1,44:48:c1:91:95:b0,38:17:c3:1f:08:51,00:4e:35:de:d7:53,00:4e:35:de:d7:52,38:17:c3:1f:22:22,38:17:c3:1f:08:41,38:17:c3:1f:08:40,38:17:c3:1f:08:42,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:df:0e:12,00:4e:35:de:d7:50,00:4e:35:de:d7:51,00:4e:35:de:d7:42,38:17:c3:19:71:82,38:17:c3:19:71:81,38:17:c3:19:71:80,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:21,00:4e:35:de:d7:43,38:17:c3:19:36:31,00:4e:35:de:d7:41,38:17:c3:19:36:30,00:4e:35:de:d7:40,38:17:c3:19:36:32,a8:bd:27:4c:bd:22,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:1b:08:b0,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:12,38:17:c3:24:4f:11,00:4e:35:df:27:01,38:17:c3:1b:08:b1,00:4e:35:df:27:00,38:17:c3:24:58:a1,38:17:c3:24:4f:01,38:17:c3:24:58:a0,38:17:c3:24:58:a2,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:1b:08:b2,x,y,label
-47,-75,-74,-70,-26,-81,-100,-87,-100,-88,-87,-86,-87,-85,-100,-74,-69,-87,-86,-86,-100,-91,-100,-100,-100,-100,-100,-85,-100,-100,-100,-85,-100,-100,-100,-100,-100,-81,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-74,-100,-100,-75,-100,-100,-100,-81,-100,-75,-86,-85,-84,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-80,-100,-100,-100,-100,-86,-79,-73,-72,-73,-88,-87,-100,-81,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-68,-69,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-71,-100,-100,-100,-100,-100,-100,-71,-100,-88,-100,-100,-89,-85,-87,-100,-100,-86,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-44,-74,-74,-69,-29,-83,-100,-87,-100,-87,-88,-87,-87,-86,-100,-74,-68,-87,-87,-86,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-82,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-74,-100,-100,-75,-100,-100,-86,-81,-100,-76,-85,-84,-87,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-78,-100,-100,-100,-100,-85,-79,-81,-80,-73,-88,-87,-100,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-69,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-71,-100,-88,-100,-100,-89,-85,-87,-100,-100,-86,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,771.2000000000006,36
-44,-74,-74,-69,-27,-82,-84,-83,-81,-81,-81,-86,-83,-86,-100,-74,-69,-81,-83,-86,-100,-87,-90,-87,-100,-100,-100,-83,-100,-100,-100,-83,-87,-87,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-81,-100,-75,-100,-100,-75,-100,-100,-87,-81,-100,-76,-87,-81,-84,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-79,-79,-100,-100,-100,-100,-100,-78,-72,-74,-72,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-73,-100,-100,-100,-100,-100,-100,-72,-100,-87,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-40,-74,-74,-72,-29,-84,-86,-85,-100,-85,-86,-86,-83,-86,-100,-74,-72,-86,-82,-86,-100,-87,-91,-100,-100,-100,-100,-84,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-83,-100,-77,-100,-100,-77,-100,-100,-87,-85,-100,-100,-87,-100,-87,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-81,-72,-72,-72,-100,-89,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-72,-100,-90,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-87,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-44,-76,-76,-69,-29,-100,-85,-82,-84,-84,-83,-87,-85,-87,-100,-76,-69,-83,-86,-86,-89,-88,-100,-88,-100,-100,-100,-86,-100,-100,-100,-87,-89,-89,-100,-100,-100,-100,-100,-100,-89,-88,-100,-100,-100,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-100,-100,-84,-100,-75,-100,-83,-89,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-85,-82,-72,-72,-72,-87,-87,-100,-85,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-100,-100,-100,-100,-100,-100,-71,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-87,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-43,-76,-76,-69,-30,-83,-84,-83,-83,-83,-83,-86,-85,-87,-100,-76,-69,-83,-84,-86,-87,-83,-90,-100,-100,-100,-87,-85,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-77,-100,-100,-77,-100,-100,-87,-83,-100,-77,-100,-88,-90,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-71,-71,-100,-88,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-72,-100,-100,-100,-100,-100,-100,-71,-100,-88,-100,-100,-88,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-46,-75,-75,-73,-28,-82,-82,-84,-100,-83,-83,-86,-87,-86,-100,-75,-72,-84,-84,-85,-87,-82,-100,-100,-100,-87,-87,-84,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-100,-100,-80,-100,-100,-100,-81,-100,-74,-100,-88,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-85,-81,-74,-73,-73,-87,-88,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-70,-70,-100,-100,-100,-100,-100,-100,-70,-100,-87,-100,-100,-87,-100,-100,-100,-100,-86,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-44,-78,-78,-72,-28,-82,-83,-74,-100,-85,-85,-87,-86,-87,-100,-78,-72,-85,-85,-87,-100,-82,-90,-89,-100,-100,-100,-85,-100,-100,-100,-100,-89,-90,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-81,-100,-74,-100,-100,-75,-100,-100,-100,-81,-100,-74,-100,-86,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-100,-100,-85,-80,-72,-71,-71,-100,-87,-100,-85,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-63,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-100,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-87,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-42,-79,-79,-73,-29,-100,-83,-89,-100,-81,-81,-87,-85,-87,-100,-79,-73,-80,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-75,-100,-100,-86,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-79,-100,-100,-100,-89,-85,-79,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-62,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-58,-100,-85,-100,-100,-85,-100,-100,-100,-100,-87,-100,-79,-87,-88,-88,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-45,-84,-84,-68,-29,-80,-77,-86,-87,-86,-86,-90,-88,-91,-100,-83,-68,-86,-89,-89,-100,-81,-100,-100,-100,-86,-100,-88,-87,-100,-100,-100,-100,-100,-87,-88,-100,-86,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-79,-100,-100,-100,-80,-100,-80,-86,-87,-87,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-80,-79,-100,-100,-100,-89,-85,-79,-100,-100,-100,-100,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-60,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-100,-100,-100,-100,-59,-100,-86,-100,-100,-85,-100,-100,-100,-100,-86,-100,-79,-84,-83,-84,-90,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-52,-84,-85,-69,-29,-80,-81,-86,-90,-83,-83,-89,-87,-88,-100,-83,-68,-83,-87,-88,-100,-86,-100,-91,-100,-86,-100,-87,-87,-100,-100,-88,-91,-90,-87,-88,-100,-86,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-100,-100,-83,-100,-100,-100,-80,-100,-80,-86,-87,-84,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-76,-76,-76,-100,-88,-100,-84,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-59,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-58,-100,-100,-100,-100,-100,-100,-59,-100,-81,-100,-100,-82,-100,-100,-100,-100,-82,-100,-80,-82,-82,-82,-100,-90,-89,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-53,-82,-82,-70,-27,-100,-80,-87,-89,-83,-84,-87,-87,-89,-100,-80,-70,-84,-88,-88,-89,-87,-100,-91,-100,-87,-100,-87,-100,-100,-100,-86,-91,-90,-100,-100,-100,-86,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-75,-100,-100,-75,-100,-100,-100,-100,-100,-76,-100,-83,-85,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-75,-75,-75,-83,-88,-100,-85,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-57,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-60,-100,-83,-100,-100,-83,-100,-100,-100,-100,-84,-100,-80,-84,-84,-86,-100,-89,-88,-88,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-49,-81,-81,-69,-28,-100,-78,-87,-89,-84,-83,-88,-86,-88,-100,-81,-69,-84,-86,-89,-89,-87,-100,-100,-100,-87,-87,-85,-100,-100,-100,-86,-100,-100,-100,-100,-100,-87,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-77,-100,-100,-100,-100,-100,-77,-100,-83,-86,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-74,-75,-75,-83,-86,-100,-86,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-59,-100,-84,-100,-100,-84,-100,-100,-100,-100,-84,-100,-100,-83,-83,-84,-100,-89,-88,-89,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-50,-83,-83,-69,-28,-100,-78,-87,-88,-86,-85,-89,-85,-88,-100,-82,-70,-85,-86,-89,-100,-89,-100,-100,-100,-87,-87,-85,-100,-100,-100,-85,-100,-100,-100,-100,-100,-85,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-78,-100,-100,-78,-100,-100,-83,-100,-100,-78,-82,-100,-82,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-74,-74,-74,-100,-86,-100,-82,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-59,-59,-100,-100,-59,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-61,-100,-100,-100,-100,-100,-100,-61,-100,-85,-100,-100,-85,-100,-100,-100,-100,-85,-100,-82,-85,-85,-84,-89,-92,-100,-89,-90,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-42,-83,-84,-74,-28,-100,-100,-85,-83,-100,-100,-100,-100,-100,-100,-85,-74,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-84,-100,-100,-100,-84,-100,-84,-100,-100,-87,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-76,-76,-76,-87,-100,-100,-88,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-57,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-55,-100,-100,-100,-100,-100,-100,-40,-100,-84,-100,-100,-83,-100,-100,-100,-100,-84,-100,-80,-81,-81,-81,-100,-88,-100,-88,-87,-79,-100,-79,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-43,-86,-86,-74,-28,-100,-100,-91,-83,-100,-100,-100,-100,-100,-100,-86,-74,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-83,-100,-100,-100,-84,-100,-83,-100,-87,-88,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-76,-77,-77,-100,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-57,-57,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-56,-100,-100,-100,-100,-100,-100,-55,-100,-83,-100,-100,-83,-100,-100,-100,-100,-84,-100,-79,-81,-81,-80,-100,-88,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-39,-83,-83,-73,-28,-100,-87,-91,-100,-100,-100,-100,-100,-100,-100,-84,-73,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-88,-100,-77,-76,-77,-82,-84,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-56,-100,-100,-57,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-55,-100,-100,-100,-100,-100,-100,-55,-100,-84,-100,-100,-84,-100,-100,-100,-100,-84,-100,-81,-80,-81,-81,-100,-89,-100,-88,-88,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-43,-83,-83,-74,-28,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-84,-74,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-90,-89,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-90,-87,-100,-76,-76,-76,-85,-85,-100,-88,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-56,-56,-100,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-55,-55,-100,-100,-100,-100,-100,-100,-55,-100,-83,-100,-100,-84,-100,-100,-100,-100,-84,-100,-81,-79,-80,-81,-100,-88,-100,-87,-87,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
