b0:be:76:f8:30:5e,00:4e:35:df:06:51,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,00:4e:35:df:06:52,00:4e:35:de:e1:12,80:8d:b7:55:25:f0,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:39:c0,80:8d:b7:55:35:10,38:17:c3:1f:0e:10,38:17:c3:19:d7:70,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:01,38:17:c3:19:d7:62,80:8d:b7:55:35:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1f:01:91,00:4e:35:df:06:50,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:19:d7:60,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,00:4e:35:de:e1:11,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,b4:5d:50:e1:92:33,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a2,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:19:d7:61,80:8d:b7:55:3a:42,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1e:ff:01,b4:5d:50:e1:92:32,68:ff:7b:e4:af:39,b4:5d:50:e1:96:43,80:8d:b7:55:3a:40,20:a6:cd:50:24:b0,38:17:c3:1f:22:30,b4:5d:50:e1:92:31,38:17:c3:1e:ff:00,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:21,44:48:c1:a5:82:22,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:45:a1,38:17:c3:1f:01:80,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:41,38:17:c3:1e:ff:02,b4:5d:50:e1:92:23,80:8d:b7:55:25:e0,38:17:c3:19:45:b0,00:4e:35:df:06:42,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,38:17:c3:19:71:90,b4:5d:50:e1:92:30,b4:5d:50:e1:96:53,b4:5d:50:e1:92:22,b4:5d:50:e1:96:50,00:4e:35:df:06:40,72:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:71:91,00:4e:35:de:e1:00,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:1f:09:93,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:71:92,20:a6:cd:42:0b:e3,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,00:4e:35:de:d7:43,00:4e:35:de:e1:02,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b0,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:e1:01,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:19:36:30,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,label
-69,-75,-75,-76,-76,-67,-67,-57,-57,-74,-85,-76,-67,-57,-60,-60,-69,-68,-69,-64,-73,-73,-81,-80,-61,-69,-73,-81,-100,-89,-72,-73,-72,-87,-72,-100,-100,-100,-100,-75,-74,-100,-100,-100,-91,-86,-100,-80,-80,-88,-100,-62,-100,-100,-69,-69,-86,-100,-70,-84,-86,-100,-88,-87,-100,-100,-84,-100,-100,-88,-100,-80,-100,-100,-100,-62,-62,-84,-82,-82,-100,-100,-100,-100,-100,-100,-79,-100,-79,-100,-100,-79,-100,-100,-100,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-100,-93,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-75,-79,-75,-76,-76,-67,-67,-56,-56,-80,-86,-74,-67,-56,-60,-60,-69,-69,-69,-65,-74,-74,-81,-81,-60,-69,-74,-81,-100,-87,-72,-73,-72,-87,-74,-73,-100,-85,-87,-79,-74,-86,-100,-100,-89,-86,-100,-81,-79,-78,-100,-60,-100,-100,-70,-69,-86,-88,-70,-84,-86,-69,-86,-85,-100,-79,-84,-100,-69,-86,-100,-79,-100,-100,-100,-60,-60,-84,-82,-82,-100,-100,-69,-85,-100,-100,-80,-100,-79,-100,-100,-80,-100,-88,-100,-100,-79,-100,-80,-100,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-82,-100,-100,-93,-88,-100,-100,-100,-100,-90,-100,-90,-100,-100,-100,-87,-90,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-73,-76,-77,-76,-76,-67,-67,-56,-56,-76,-83,-76,-67,-56,-59,-59,-70,-70,-70,-64,-73,-74,-80,-81,-60,-70,-74,-81,-100,-86,-73,-72,-73,-100,-73,-72,-73,-85,-87,-76,-73,-86,-100,-100,-90,-84,-100,-73,-79,-85,-100,-62,-100,-100,-69,-68,-85,-88,-68,-82,-100,-69,-88,-86,-100,-80,-88,-100,-69,-87,-100,-79,-100,-100,-100,-61,-61,-84,-82,-81,-100,-100,-70,-85,-100,-100,-81,-100,-82,-100,-100,-81,-100,-88,-100,-100,-80,-100,-83,-100,-80,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-91,-100,-100,-100,-100,-100,-90,-100,-90,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-72,-77,-77,-76,-77,-67,-68,-56,-56,-77,-84,-77,-68,-56,-59,-59,-70,-70,-70,-64,-73,-73,-81,-81,-59,-70,-74,-80,-100,-86,-74,-74,-73,-100,-74,-73,-73,-85,-86,-77,-73,-100,-100,-100,-87,-83,-100,-79,-80,-77,-100,-61,-100,-100,-69,-69,-85,-100,-69,-82,-100,-100,-87,-86,-100,-80,-88,-100,-100,-86,-100,-79,-100,-100,-100,-62,-61,-83,-82,-82,-100,-100,-70,-100,-100,-100,-81,-100,-82,-100,-100,-80,-100,-100,-100,-100,-80,-100,-82,-100,-80,-100,-100,-100,-100,-100,-100,-79,-82,-100,-100,-100,-100,-100,-100,-81,-82,-83,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-100,-88,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-71,-73,-76,-76,-77,-67,-67,-56,-56,-74,-81,-77,-67,-56,-60,-60,-70,-70,-70,-64,-73,-73,-80,-80,-59,-70,-74,-80,-100,-87,-74,-71,-74,-100,-74,-73,-73,-85,-86,-73,-73,-100,-100,-100,-90,-81,-100,-78,-79,-82,-100,-62,-100,-100,-68,-69,-85,-87,-69,-82,-100,-100,-87,-87,-100,-100,-100,-100,-100,-86,-100,-80,-100,-100,-100,-62,-62,-82,-81,-81,-100,-100,-100,-100,-100,-100,-80,-100,-82,-100,-100,-80,-100,-100,-100,-100,-100,-100,-84,-100,-80,-100,-100,-100,-100,-100,-100,-79,-82,-100,-100,-100,-100,-100,-100,-81,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-90,-91,-100,-89,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-71,-80,-76,-76,-76,-68,-68,-56,-56,-80,-83,-76,-68,-57,-60,-60,-69,-70,-70,-66,-75,-75,-81,-80,-60,-70,-74,-80,-100,-88,-74,-74,-72,-88,-74,-72,-72,-100,-100,-80,-72,-100,-100,-100,-90,-81,-100,-79,-79,-86,-100,-63,-100,-100,-69,-69,-85,-93,-69,-82,-90,-100,-87,-87,-100,-80,-100,-100,-100,-100,-100,-79,-100,-100,-100,-63,-63,-82,-81,-81,-100,-100,-100,-100,-100,-100,-80,-100,-80,-84,-100,-79,-100,-100,-100,-100,-79,-100,-81,-100,-80,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-88,-100,-100,-90,-100,-100,-100,-100,-100,-90,-89,-100,-89,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,387.7999999999999,9
-67,-73,-78,-78,-77,-64,-64,-59,-59,-73,-83,-77,-64,-59,-60,-60,-71,-71,-72,-68,-74,-74,-100,-100,-61,-71,-74,-87,-88,-88,-74,-73,-74,-100,-75,-73,-73,-100,-100,-73,-73,-100,-100,-100,-92,-85,-100,-83,-81,-100,-100,-60,-100,-100,-68,-69,-84,-87,-69,-85,-84,-100,-88,-87,-100,-100,-100,-100,-100,-88,-100,-82,-100,-100,-100,-60,-60,-100,-84,-84,-100,-100,-100,-100,-100,-100,-81,-100,-81,-100,-100,-81,-100,-88,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-84,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-67,-73,-77,-77,-77,-64,-64,-59,-59,-72,-80,-77,-65,-60,-61,-60,-71,-71,-71,-69,-74,-74,-100,-88,-61,-71,-74,-87,-88,-88,-74,-74,-73,-100,-75,-73,-73,-87,-87,-67,-73,-87,-85,-100,-92,-80,-100,-85,-82,-100,-100,-61,-100,-100,-69,-69,-83,-87,-69,-85,-83,-69,-87,-87,-100,-81,-100,-100,-69,-88,-100,-82,-100,-100,-100,-61,-61,-100,-84,-84,-100,-100,-69,-84,-100,-100,-82,-100,-81,-100,-100,-82,-100,-88,-100,-100,-82,-100,-100,-100,-82,-84,-100,-100,-84,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-91,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-67,-73,-77,-77,-78,-65,-64,-60,-60,-73,-80,-78,-65,-60,-61,-61,-71,-71,-71,-67,-74,-74,-100,-88,-61,-71,-74,-87,-100,-87,-74,-74,-74,-85,-74,-100,-100,-87,-87,-73,-100,-87,-85,-100,-93,-79,-100,-85,-81,-100,-100,-61,-100,-100,-69,-69,-84,-87,-69,-84,-83,-69,-87,-88,-100,-81,-100,-100,-69,-88,-100,-81,-100,-100,-100,-61,-61,-81,-83,-84,-100,-100,-69,-84,-100,-100,-83,-100,-100,-100,-100,-82,-100,-100,-100,-100,-82,-100,-100,-100,-82,-87,-100,-100,-84,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-84,-91,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-65,-72,-78,-78,-78,-64,-65,-60,-60,-72,-80,-78,-65,-60,-60,-61,-71,-71,-71,-72,-74,-73,-100,-100,-60,-71,-74,-87,-87,-88,-74,-74,-74,-85,-75,-100,-100,-86,-86,-72,-100,-86,-100,-100,-91,-79,-81,-81,-80,-100,-100,-61,-100,-79,-69,-69,-83,-89,-69,-84,-85,-69,-87,-88,-100,-81,-100,-100,-69,-88,-100,-80,-100,-100,-100,-61,-61,-79,-83,-84,-100,-100,-69,-85,-100,-100,-82,-100,-79,-79,-100,-81,-100,-87,-100,-100,-81,-100,-100,-100,-82,-91,-100,-100,-84,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-83,-84,-100,-100,-85,-91,-100,-86,-86,-87,-86,-87,-85,-85,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-67,-73,-77,-77,-77,-65,-65,-60,-60,-73,-79,-77,-65,-60,-60,-61,-71,-70,-71,-68,-73,-73,-100,-100,-60,-71,-73,-89,-87,-88,-74,-73,-74,-85,-74,-100,-100,-86,-86,-72,-100,-87,-100,-100,-91,-79,-81,-80,-80,-100,-100,-61,-100,-82,-69,-69,-84,-89,-69,-100,-85,-69,-88,-88,-100,-86,-100,-100,-69,-89,-100,-81,-100,-100,-100,-61,-61,-79,-84,-100,-100,-100,-69,-85,-100,-100,-82,-100,-82,-81,-100,-82,-100,-87,-100,-100,-81,-100,-83,-100,-81,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-84,-100,-88,-86,-86,-87,-86,-87,-86,-85,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-67,-71,-77,-77,-78,-65,-65,-60,-60,-72,-79,-77,-65,-61,-61,-61,-71,-71,-71,-67,-74,-74,-100,-100,-61,-71,-74,-87,-87,-88,-74,-73,-74,-85,-74,-100,-100,-87,-87,-72,-100,-86,-86,-100,-93,-79,-82,-80,-81,-100,-100,-61,-100,-82,-69,-69,-84,-100,-69,-100,-86,-69,-87,-88,-100,-86,-100,-100,-69,-88,-100,-81,-100,-100,-100,-61,-61,-79,-84,-100,-100,-100,-69,-84,-100,-100,-82,-100,-81,-83,-100,-84,-100,-100,-100,-100,-81,-100,-83,-100,-81,-87,-100,-100,-83,-100,-100,-82,-81,-100,-100,-100,-100,-100,-100,-100,-83,-83,-100,-83,-100,-88,-86,-87,-86,-86,-87,-86,-85,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,401.9999999999999,10
-68,-74,-80,-80,-81,-61,-61,-64,-64,-75,-80,-80,-61,-64,-58,-58,-69,-69,-68,-65,-72,-72,-84,-83,-58,-69,-72,-85,-100,-100,-100,-75,-100,-86,-100,-77,-77,-100,-100,-75,-78,-100,-85,-100,-87,-80,-100,-81,-83,-100,-100,-53,-100,-100,-68,-68,-88,-86,-68,-100,-85,-70,-100,-100,-100,-100,-100,-100,-70,-90,-89,-82,-100,-100,-100,-53,-53,-79,-100,-100,-100,-100,-70,-100,-100,-100,-76,-100,-84,-83,-100,-75,-100,-100,-100,-88,-100,-100,-84,-100,-76,-100,-100,-100,-100,-100,-100,-82,-79,-100,-100,-100,-100,-100,-100,-79,-83,-84,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-70,-74,-81,-79,-80,-61,-61,-65,-64,-74,-80,-82,-61,-64,-58,-58,-69,-69,-69,-66,-72,-72,-84,-84,-58,-69,-71,-84,-100,-100,-77,-76,-77,-86,-77,-77,-77,-100,-100,-74,-77,-100,-85,-100,-80,-80,-100,-81,-84,-100,-100,-52,-100,-100,-69,-69,-88,-86,-69,-100,-86,-70,-100,-100,-100,-100,-87,-100,-70,-92,-89,-83,-100,-100,-100,-52,-52,-80,-100,-85,-100,-100,-70,-100,-100,-100,-75,-100,-84,-83,-100,-76,-100,-100,-100,-88,-100,-100,-83,-100,-76,-100,-100,-100,-86,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-82,-83,-84,-100,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-69,-76,-81,-80,-80,-61,-61,-63,-63,-76,-80,-80,-62,-63,-58,-58,-69,-69,-69,-65,-71,-72,-83,-84,-58,-69,-72,-84,-100,-100,-77,-76,-77,-86,-77,-78,-78,-100,-100,-76,-78,-100,-86,-100,-87,-80,-82,-81,-83,-86,-100,-52,-100,-82,-69,-70,-87,-100,-70,-100,-86,-69,-100,-100,-100,-82,-87,-100,-69,-89,-89,-82,-100,-100,-100,-52,-52,-80,-100,-85,-100,-100,-69,-100,-100,-100,-75,-100,-84,-82,-100,-75,-100,-100,-100,-100,-82,-100,-84,-100,-71,-100,-100,-100,-86,-100,-100,-82,-81,-100,-100,-100,-100,-94,-100,-81,-85,-83,-100,-86,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-71,-74,-80,-80,-80,-62,-63,-62,-62,-74,-79,-80,-63,-62,-58,-58,-69,-69,-69,-64,-72,-73,-84,-84,-58,-69,-72,-85,-100,-100,-77,-75,-78,-86,-77,-78,-78,-100,-100,-73,-78,-100,-86,-100,-86,-80,-83,-82,-82,-86,-100,-52,-100,-81,-69,-69,-87,-100,-70,-100,-86,-69,-90,-100,-100,-82,-89,-100,-69,-91,-89,-82,-100,-100,-100,-52,-52,-80,-100,-87,-100,-100,-69,-100,-100,-100,-76,-100,-84,-82,-100,-75,-100,-100,-100,-100,-82,-100,-84,-100,-76,-90,-100,-100,-86,-100,-100,-83,-82,-100,-100,-100,-100,-94,-100,-82,-85,-83,-100,-86,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-69,-74,-80,-80,-80,-62,-62,-62,-62,-74,-79,-80,-62,-62,-58,-57,-69,-69,-69,-64,-72,-72,-83,-84,-58,-70,-72,-85,-100,-100,-78,-77,-77,-87,-78,-78,-78,-100,-100,-69,-78,-100,-86,-100,-88,-80,-83,-81,-83,-86,-100,-52,-100,-83,-69,-70,-88,-86,-69,-86,-87,-69,-90,-100,-100,-82,-89,-100,-69,-91,-100,-82,-100,-100,-100,-52,-52,-80,-85,-87,-100,-100,-69,-100,-100,-100,-75,-100,-83,-82,-100,-75,-100,-100,-100,-100,-100,-100,-83,-100,-71,-90,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-82,-85,-84,-100,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-69,-100,-79,-79,-80,-62,-62,-62,-62,-73,-80,-80,-63,-62,-58,-57,-69,-69,-69,-64,-72,-72,-83,-85,-57,-69,-72,-84,-100,-100,-78,-77,-77,-87,-78,-77,-78,-100,-100,-73,-77,-100,-86,-100,-86,-79,-82,-83,-82,-86,-100,-52,-100,-83,-69,-70,-88,-86,-70,-86,-87,-69,-100,-92,-100,-80,-100,-100,-69,-91,-89,-83,-100,-100,-100,-52,-52,-80,-85,-100,-100,-100,-69,-100,-100,-100,-76,-100,-84,-82,-100,-76,-100,-100,-100,-100,-100,-100,-83,-100,-71,-100,-100,-100,-87,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-82,-83,-83,-91,-86,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,416.1999999999999,11
-70,-100,-80,-79,-81,-59,-59,-62,-62,-100,-81,-100,-59,-62,-57,-58,-69,-69,-69,-55,-73,-73,-84,-84,-57,-69,-73,-100,-100,-100,-76,-76,-77,-87,-77,-76,-74,-100,-100,-100,-100,-100,-87,-100,-68,-81,-82,-78,-83,-100,-100,-53,-100,-82,-70,-70,-100,-91,-70,-85,-87,-100,-100,-100,-100,-84,-100,-100,-100,-91,-100,-83,-100,-100,-100,-53,-53,-81,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-83,-82,-100,-76,-87,-100,-100,-89,-84,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-81,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
-70,-74,-80,-80,-81,-63,-63,-62,-63,-75,-82,-80,-63,-63,-57,-57,-69,-69,-69,-65,-72,-72,-84,-84,-56,-69,-72,-100,-100,-90,-76,-75,-76,-87,-76,-76,-77,-100,-100,-75,-77,-89,-86,-100,-87,-82,-83,-82,-82,-100,-100,-52,-100,-83,-69,-69,-100,-91,-69,-87,-87,-69,-100,-100,-100,-82,-100,-100,-68,-90,-89,-82,-100,-100,-100,-52,-52,-82,-87,-87,-100,-100,-69,-87,-100,-100,-75,-100,-82,-83,-100,-75,-87,-100,-100,-90,-82,-100,-100,-100,-75,-90,-100,-100,-86,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-81,-84,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-87,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,430.39999999999986,12
