38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,38:17:c3:1f:01:91,38:17:c3:1f:01:92,38:17:c3:1f:01:82,80:8d:b7:55:25:e3,38:17:c3:1f:01:81,38:17:c3:19:d7:62,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f1,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:d7:61,44:48:c1:a5:82:21,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,ac:e2:d3:c4:08:e6,38:17:c3:19:55:52,38:17:c3:19:55:51,00:4e:35:df:06:51,00:4e:35:df:06:50,38:17:c3:1e:ff:01,20:a6:cd:50:24:b2,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,20:a6:cd:50:24:b1,38:17:c3:1e:ff:12,2a:16:ad:ec:da:ab,38:17:c3:1f:0e:10,38:17:c3:1f:0e:00,80:8d:b7:55:39:d0,80:8d:b7:55:35:10,38:17:c3:1f:01:90,80:8d:b7:55:35:00,80:8d:b7:55:39:c0,38:17:c3:1f:01:80,80:8d:b7:55:25:e0,38:17:c3:19:d7:70,80:8d:b7:55:25:f0,80:8d:b7:55:3a:40,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,00:4e:35:df:06:52,38:17:c3:19:55:50,38:17:c3:1e:ff:00,20:a6:cd:50:24:b0,b4:5d:50:e1:92:31,38:17:c3:1e:ff:10,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,80:8d:b7:55:39:c1,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,00:4e:35:df:06:40,00:4e:35:df:06:41,38:17:c3:1e:ff:02,44:48:c1:a5:82:30,20:a6:cd:50:24:a0,00:4e:35:df:06:42,38:17:c3:19:45:b0,38:17:c3:19:45:b2,38:17:c3:1e:ff:11,38:17:c3:19:d7:60,60:32:b1:3e:1a:b8,b4:5d:50:e1:92:22,38:17:c3:19:45:b1,38:17:c3:19:45:a1,38:17:c3:19:45:a0,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,b4:5d:50:e1:92:21,20:a6:cd:42:0b:e3,b4:5d:50:e1:92:20,b4:5d:50:e1:92:30,a8:bd:27:4c:bd:30,00:4e:35:de:e1:00,00:4e:35:de:e1:11,00:4e:35:de:e1:10,00:4e:35:de:e1:01,00:4e:35:de:e1:12,00:4e:35:de:e1:02,38:17:c3:1f:08:41,44:48:c1:91:95:b2,38:17:c3:1f:08:50,38:17:c3:1f:08:42,38:17:c3:1f:08:40,a8:bd:27:4c:bd:31,38:17:c3:1f:22:21,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:de:d7:40,38:17:c3:1f:22:30,38:17:c3:1f:22:22,a8:bd:27:4c:bd:21,38:17:c3:19:71:90,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:32,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:19:71:81,a8:bd:27:4c:bd:22,38:17:c3:19:71:92,00:4e:35:de:d7:43,38:17:c3:1f:22:32,38:17:c3:1f:08:52,38:17:c3:1f:08:51,38:17:c3:1f:22:31,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,64:e5:99:c3:13:3c,38:17:c3:24:58:a2,38:17:c3:24:58:b0,38:17:c3:24:58:a1,38:17:c3:24:58:a0,38:17:c3:1b:08:b0,00:4e:35:df:27:00,38:17:c3:24:4f:10,00:4e:35:de:d7:42,00:4e:35:de:d7:41,x,y,timestamp
-78,-77,-68,-77,-78,-73,-73,-81,-80,-80,-100,-72,-72,-55,-100,-100,-100,-72,-100,-100,-100,-100,-85,-85,-100,-75,-100,-100,-56,-56,-72,-72,-100,-75,-76,-79,-78,-100,-100,-100,-100,-82,-82,-100,-100,-100,-78,-78,-73,-80,-100,-100,-56,-100,-100,-100,-85,-67,-56,-72,-78,-73,-100,-100,-82,-100,-78,-62,-55,-58,-58,-67,-67,-72,-72,-100,-58,-100,-71,-100,-100,-100,-100,-85,-81,-100,-100,-100,-100,-100,-90,-100,-100,-100,-80,-100,-100,-81,-100,-80,-85,-85,-81,-85,-79,-100,-100,-100,-100,-100,-100,-100,-91,-100,-88,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,514,1729546251717
-80,-80,-69,-100,-100,-67,-67,-76,-75,-75,-71,-72,-72,-55,-100,-100,-100,-73,-100,-100,-87,-100,-84,-84,-84,-74,-74,-100,-56,-56,-74,-73,-100,-76,-76,-79,-79,-100,-100,-100,-100,-82,-83,-100,-100,-100,-81,-100,-67,-75,-100,-71,-55,-100,-100,-88,-84,-66,-55,-74,-79,-73,-100,-100,-82,-100,-79,-70,-55,-57,-57,-66,-66,-72,-72,-100,-57,-100,-71,-100,-100,-100,-100,-85,-81,-100,-100,-100,-82,-100,-87,-100,-100,-100,-80,-100,-100,-82,-100,-82,-85,-85,-100,-85,-82,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-100,-100,-100,-100,-85,-90,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,514,1733209863948
-78,-80,-72,-100,-81,-68,-68,-77,-77,-77,-71,-71,-70,-59,-100,-100,-100,-73,-100,-82,-87,-100,-84,-84,-85,-73,-73,-100,-58,-58,-73,-73,-100,-77,-77,-77,-76,-100,-100,-100,-100,-83,-84,-100,-100,-100,-81,-81,-68,-78,-100,-71,-59,-100,-100,-88,-84,-69,-57,-73,-76,-77,-100,-100,-84,-100,-77,-65,-59,-59,-59,-69,-68,-72,-72,-100,-59,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-88,-100,-100,-100,-100,-100,-100,-82,-88,-82,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-88,-100,-89,-100,-89,-100,-88,-100,-100,-100,-85,-90,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,514,1736999328179
-82,-81,-72,-100,-81,-69,-69,-77,-77,-77,-72,-72,-70,-56,-100,-100,-100,-73,-100,-81,-100,-100,-85,-85,-85,-72,-73,-100,-59,-59,-74,-74,-100,-77,-77,-77,-77,-100,-100,-100,-100,-83,-83,-100,-100,-100,-82,-81,-69,-77,-100,-72,-56,-100,-73,-100,-86,-67,-58,-74,-77,-77,-100,-100,-83,-100,-77,-74,-55,-62,-62,-67,-67,-71,-71,-100,-62,-100,-72,-100,-100,-100,-100,-80,-79,-100,-100,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-83,-88,-100,-84,-84,-82,-84,-82,-100,-100,-100,-100,-100,-88,-100,-88,-100,-88,-100,-88,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,514,1740595079641
-100,-76,-71,-100,-100,-67,-67,-79,-79,-79,-100,-74,-73,-62,-100,-100,-100,-76,-100,-83,-100,-100,-100,-84,-100,-78,-78,-82,-58,-58,-74,-74,-100,-77,-78,-75,-75,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-67,-79,-89,-100,-62,-100,-100,-100,-84,-65,-58,-74,-75,-78,-100,-100,-81,-100,-80,-69,-62,-64,-64,-65,-65,-100,-72,-100,-65,-100,-71,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-89,-100,-79,-79,-82,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1795006705644
-100,-76,-70,-76,-76,-67,-67,-78,-78,-78,-71,-71,-72,-60,-100,-100,-100,-76,-100,-83,-100,-100,-83,-84,-84,-78,-78,-82,-58,-58,-74,-74,-84,-78,-78,-75,-75,-100,-100,-100,-100,-81,-81,-100,-100,-100,-76,-76,-67,-78,-89,-100,-60,-100,-79,-100,-84,-67,-58,-74,-75,-78,-100,-100,-81,-100,-82,-65,-60,-63,-63,-67,-67,-71,-71,-100,-63,-100,-71,-100,-100,-100,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-89,-100,-79,-79,-82,-79,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1798639111337
-76,-100,-69,-75,-75,-67,-67,-78,-80,-79,-71,-71,-71,-59,-100,-100,-100,-78,-100,-82,-100,-100,-81,-82,-81,-78,-79,-82,-58,-59,-70,-71,-83,-78,-78,-76,-76,-100,-100,-100,-100,-82,-81,-100,-100,-100,-76,-75,-67,-79,-100,-100,-60,-100,-79,-100,-81,-67,-60,-71,-76,-78,-100,-100,-81,-100,-82,-67,-59,-63,-63,-67,-67,-71,-71,-100,-62,-100,-100,-100,-100,-100,-82,-85,-80,-100,-100,-100,-80,-100,-100,-100,-100,-100,-80,-100,-80,-82,-87,-100,-82,-81,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-88,-87,-88,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1802317049568
-79,-100,-70,-77,-75,-67,-68,-80,-79,-80,-72,-71,-71,-61,-100,-100,-100,-74,-100,-82,-100,-100,-84,-84,-84,-76,-76,-82,-59,-59,-73,-73,-88,-81,-81,-74,-74,-100,-100,-100,-100,-81,-81,-100,-100,-100,-79,-75,-68,-80,-100,-72,-62,-100,-77,-100,-84,-100,-60,-73,-74,-81,-100,-100,-81,-100,-80,-70,-62,-67,-67,-64,-64,-70,-70,-100,-67,-100,-70,-100,-100,-100,-82,-81,-80,-100,-100,-100,-80,-100,-100,-100,-100,-100,-80,-100,-80,-81,-87,-100,-86,-86,-82,-86,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-86,-86,-87,-100,-100,-100,-100,-89,-100,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1805991467414
-77,-77,-72,-77,-100,-67,-67,-80,-79,-80,-71,-71,-71,-63,-100,-100,-100,-73,-100,-81,-100,-100,-84,-83,-84,-76,-76,-81,-60,-60,-78,-79,-88,-82,-82,-77,-77,-100,-100,-100,-100,-81,-81,-100,-100,-100,-74,-100,-67,-80,-100,-71,-63,-100,-77,-100,-82,-64,-60,-79,-77,-82,-100,-100,-81,-100,-80,-70,-62,-64,-65,-64,-64,-70,-70,-100,-65,-100,-71,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-81,-88,-100,-86,-86,-82,-85,-100,-100,-100,-100,-100,-100,-100,-100,-90,-100,-90,-86,-87,-87,-100,-100,-100,-91,-100,-87,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1809765338722
-79,-77,-74,-77,-76,-67,-67,-78,-78,-79,-71,-71,-71,-63,-100,-100,-100,-73,-100,-81,-100,-100,-85,-85,-84,-100,-100,-81,-60,-60,-75,-75,-100,-82,-82,-74,-74,-100,-100,-100,-100,-80,-81,-100,-100,-100,-74,-77,-67,-79,-100,-71,-62,-100,-76,-100,-84,-64,-60,-75,-73,-82,-100,-100,-81,-100,-80,-69,-62,-67,-67,-65,-64,-71,-71,-100,-67,-100,-71,-100,-100,-100,-80,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-81,-88,-100,-86,-87,-81,-87,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-85,-86,-86,-87,-100,-100,-100,-91,-100,-87,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,499,1813487691953
-72,-72,-65,-72,-72,-70,-70,-83,-82,-83,-71,-71,-66,-60,-87,-88,-100,-72,-100,-83,-100,-100,-84,-84,-84,-73,-73,-84,-68,-68,-69,-69,-100,-76,-76,-81,-81,-100,-100,-100,-100,-84,-84,-100,-100,-100,-72,-73,-70,-82,-88,-71,-61,-100,-73,-100,-84,-64,-68,-70,-81,-76,-100,-90,-85,-100,-82,-63,-60,-74,-74,-63,-64,-72,-73,-100,-74,-100,-72,-100,-100,-100,-83,-83,-82,-100,-100,-100,-78,-100,-100,-78,-78,-78,-100,-100,-100,-85,-100,-81,-86,-85,-79,-85,-79,-100,-100,-100,-100,-100,-100,-100,-88,-100,-88,-89,-89,-100,-100,-82,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1858727109725
-79,-79,-69,-73,-73,-68,-68,-78,-78,-78,-69,-68,-64,-62,-87,-88,-100,-75,-100,-83,-100,-100,-82,-83,-83,-74,-74,-84,-66,-67,-70,-70,-100,-75,-76,-76,-76,-100,-100,-100,-100,-84,-84,-100,-100,-100,-79,-73,-68,-78,-88,-69,-61,-100,-74,-100,-84,-62,-67,-70,-76,-73,-100,-100,-83,-100,-85,-57,-62,-70,-70,-62,-62,-73,-74,-100,-70,-100,-73,-100,-100,-100,-83,-83,-82,-100,-100,-100,-100,-100,-100,-77,-78,-77,-100,-100,-100,-83,-100,-81,-84,-85,-79,-85,-81,-100,-100,-100,-100,-100,-100,-100,-88,-100,-88,-89,-89,-100,-100,-82,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1862478718187
-81,-81,-68,-72,-71,-66,-66,-80,-80,-80,-68,-68,-64,-63,-100,-100,-100,-72,-100,-100,-100,-100,-80,-79,-79,-73,-73,-100,-67,-67,-70,-69,-100,-75,-75,-76,-76,-100,-100,-100,-100,-85,-85,-100,-100,-100,-82,-73,-66,-80,-100,-68,-63,-100,-74,-100,-79,-64,-67,-69,-76,-75,-100,-91,-85,-100,-82,-69,-63,-69,-69,-64,-64,-72,-72,-100,-69,-100,-73,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-100,-100,-85,-100,-81,-85,-85,-100,-85,-81,-100,-100,-100,-100,-100,-100,-82,-89,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1866263427495
-81,-81,-67,-72,-71,-67,-67,-80,-80,-80,-69,-69,-64,-63,-100,-100,-100,-72,-100,-100,-100,-100,-81,-81,-80,-73,-73,-100,-68,-68,-67,-67,-100,-75,-75,-77,-77,-100,-100,-100,-100,-85,-85,-100,-100,-100,-82,-100,-67,-80,-100,-68,-63,-100,-100,-100,-80,-64,-68,-67,-77,-75,-100,-91,-85,-100,-82,-67,-63,-68,-68,-64,-64,-72,-72,-100,-68,-100,-73,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-78,-78,-78,-100,-100,-100,-85,-86,-81,-84,-84,-81,-84,-81,-100,-100,-100,-100,-100,-86,-82,-89,-81,-89,-100,-100,-100,-90,-81,-100,-100,-100,-86,-83,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1870041163264
-81,-82,-68,-100,-100,-66,-66,-80,-80,-80,-69,-68,-69,-62,-100,-100,-100,-72,-100,-82,-87,-88,-81,-81,-81,-74,-74,-83,-67,-68,-67,-67,-100,-74,-74,-76,-76,-100,-100,-100,-100,-85,-85,-100,-100,-100,-82,-72,-66,-80,-100,-68,-61,-100,-74,-86,-81,-64,-68,-67,-76,-74,-100,-100,-85,-100,-81,-67,-61,-68,-68,-63,-63,-73,-73,-100,-68,-100,-73,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-85,-85,-81,-85,-81,-100,-100,-100,-100,-100,-86,-100,-100,-81,-100,-100,-100,-100,-90,-81,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1873848733803
-82,-82,-67,-100,-100,-66,-66,-80,-80,-80,-69,-69,-70,-60,-100,-100,-100,-72,-100,-82,-87,-88,-82,-82,-82,-74,-74,-84,-68,-68,-68,-68,-100,-74,-74,-78,-78,-100,-100,-100,-100,-85,-84,-100,-100,-100,-81,-72,-66,-80,-100,-69,-61,-100,-74,-87,-82,-64,-68,-68,-78,-74,-100,-100,-85,-100,-83,-67,-61,-68,-68,-64,-64,-73,-73,-100,-68,-100,-73,-100,-100,-100,-82,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-88,-81,-86,-87,-81,-86,-82,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1877651142265
-82,-82,-66,-100,-100,-68,-68,-78,-79,-79,-68,-69,-70,-59,-100,-100,-100,-77,-100,-100,-100,-100,-83,-82,-83,-74,-74,-100,-66,-66,-69,-69,-100,-100,-100,-100,-82,-100,-100,-100,-100,-83,-84,-100,-100,-100,-82,-100,-68,-79,-100,-69,-59,-100,-74,-100,-82,-61,-66,-69,-100,-75,-100,-100,-84,-100,-86,-68,-59,-69,-69,-62,-63,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-88,-81,-87,-87,-88,-100,-100,-81,-100,-100,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1910165838651
-83,-82,-68,-73,-73,-69,-68,-78,-78,-78,-69,-69,-70,-59,-100,-100,-100,-72,-100,-100,-100,-100,-84,-83,-84,-74,-74,-100,-66,-66,-69,-69,-100,-75,-75,-78,-78,-100,-100,-100,-100,-85,-84,-100,-100,-100,-82,-73,-68,-78,-100,-69,-61,-100,-74,-100,-84,-63,-66,-69,-78,-75,-100,-100,-84,-100,-85,-71,-59,-69,-69,-62,-63,-74,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-85,-85,-80,-84,-100,-100,-100,-91,-100,-100,-100,-81,-83,-81,-83,-83,-83,-100,-100,-81,-100,-100,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1913879517344
-81,-82,-68,-73,-73,-69,-69,-79,-79,-79,-69,-69,-67,-60,-100,-100,-100,-72,-100,-83,-100,-100,-83,-82,-82,-74,-74,-83,-66,-66,-68,-68,-100,-75,-75,-77,-76,-100,-100,-100,-100,-84,-84,-100,-100,-100,-82,-73,-69,-79,-100,-69,-60,-100,-74,-88,-82,-64,-66,-68,-77,-75,-100,-100,-85,-100,-80,-71,-60,-69,-69,-64,-64,-73,-73,-100,-69,-100,-73,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-87,-100,-84,-84,-80,-84,-100,-100,-100,-91,-100,-100,-86,-81,-87,-81,-88,-88,-87,-100,-100,-81,-100,-100,-100,-87,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1917604998959
-82,-82,-67,-100,-73,-68,-68,-79,-79,-79,-69,-69,-67,-59,-100,-100,-100,-72,-100,-83,-100,-100,-83,-83,-83,-100,-100,-83,-63,-66,-68,-68,-100,-75,-75,-78,-78,-100,-100,-100,-100,-84,-84,-100,-100,-100,-82,-100,-68,-79,-100,-69,-59,-100,-74,-88,-83,-63,-66,-68,-77,-75,-100,-100,-84,-100,-85,-71,-59,-69,-69,-63,-63,-73,-73,-100,-69,-100,-73,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-79,-79,-79,-100,-100,-100,-84,-87,-82,-85,-86,-100,-85,-100,-100,-100,-100,-100,-100,-87,-81,-85,-81,-86,-86,-86,-100,-100,-81,-84,-100,-100,-87,-100,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1921370740498
-82,-82,-66,-73,-74,-67,-67,-79,-79,-79,-69,-69,-71,-59,-100,-100,-100,-75,-100,-100,-100,-100,-82,-83,-83,-74,-74,-100,-66,-66,-68,-68,-100,-75,-75,-77,-77,-100,-100,-100,-100,-85,-85,-100,-100,-100,-82,-73,-68,-79,-100,-69,-59,-100,-74,-100,-82,-64,-66,-68,-78,-75,-100,-100,-85,-100,-80,-70,-59,-69,-69,-64,-63,-74,-100,-100,-69,-100,-72,-100,-100,-100,-100,-83,-100,-100,-100,-100,-83,-100,-100,-79,-79,-79,-100,-100,-100,-85,-100,-82,-85,-86,-100,-87,-100,-100,-100,-91,-100,-100,-86,-81,-86,-81,-86,-86,-86,-100,-100,-81,-84,-100,-100,-86,-100,-84,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1925161528498
-82,-82,-66,-73,-73,-67,-67,-80,-79,-79,-69,-69,-71,-59,-100,-100,-100,-76,-100,-100,-87,-100,-83,-83,-82,-74,-74,-100,-66,-66,-67,-67,-100,-74,-74,-80,-79,-100,-100,-100,-100,-86,-85,-100,-100,-100,-82,-73,-67,-80,-100,-69,-59,-100,-74,-100,-83,-63,-66,-67,-79,-74,-100,-100,-85,-100,-79,-71,-59,-68,-69,-63,-63,-73,-73,-100,-69,-100,-73,-100,-100,-100,-82,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-88,-88,-100,-88,-100,-100,-100,-91,-100,-100,-86,-81,-86,-100,-86,-86,-87,-100,-92,-81,-100,-100,-100,-86,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,484,1928953426191
-100,-81,-70,-77,-77,-67,-67,-100,-79,-79,-71,-71,-100,-58,-100,-100,-100,-71,-100,-82,-100,-100,-80,-81,-80,-75,-100,-82,-64,-64,-68,-68,-100,-74,-74,-76,-76,-100,-100,-100,-100,-88,-87,-100,-100,-100,-100,-78,-67,-79,-100,-72,-59,-100,-74,-100,-81,-64,-64,-68,-76,-74,-100,-100,-100,-100,-76,-58,-58,-73,-73,-64,-64,-100,-72,-100,-73,-100,-72,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-78,-100,-100,-100,-100,-88,-78,-86,-85,-79,-85,-78,-81,-100,-100,-100,-81,-100,-83,-89,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-87,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,469,1975241908040
-78,-79,-71,-77,-77,-66,-66,-78,-78,-78,-70,-70,-69,-58,-100,-100,-100,-71,-100,-82,-88,-88,-81,-81,-80,-75,-75,-82,-66,-66,-67,-67,-100,-80,-80,-76,-81,-100,-100,-100,-100,-88,-89,-100,-100,-100,-79,-78,-66,-78,-100,-70,-59,-100,-76,-100,-81,-64,-66,-67,-81,-80,-100,-100,-89,-100,-75,-60,-58,-70,-70,-64,-64,-71,-70,-100,-70,-100,-71,-100,-100,-100,-82,-100,-85,-100,-100,-100,-100,-100,-100,-75,-75,-75,-84,-100,-84,-100,-88,-82,-84,-84,-82,-85,-82,-81,-100,-100,-100,-81,-100,-83,-88,-100,-88,-100,-100,-100,-100,-100,-100,-89,-100,-87,-82,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,259,469,1978927372117
