80:8d:b7:55:39:c0,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,80:8d:b7:55:35:12,80:8d:b7:55:35:11,80:8d:b7:55:35:13,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,38:17:c3:1f:01:92,38:17:c3:1f:01:91,44:48:c1:a5:82:31,b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,44:48:c1:a5:82:32,80:8d:b7:55:35:03,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:25:f2,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:50:24:b1,20:a6:cd:50:24:b2,00:4e:35:df:06:50,80:8d:b7:55:3a:52,00:4e:35:df:06:51,80:8d:b7:55:3a:51,80:8d:b7:55:25:e3,60:32:b1:3e:1a:b7,38:17:c3:19:45:b2,38:17:c3:19:45:b1,38:17:c3:1e:ff:12,38:17:c3:19:55:52,ac:e2:d3:c4:08:e6,38:17:c3:19:d7:61,38:17:c3:1e:ff:11,20:a6:cd:50:24:a1,38:17:c3:1e:ff:01,38:17:c3:19:55:51,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:32,38:17:c3:1f:09:93,b4:5d:50:e1:92:30,b4:5d:50:e1:92:33,20:a6:cd:42:0b:e3,38:17:c3:1f:0e:10,80:8d:b7:55:35:10,80:8d:b7:55:39:d0,38:17:c3:1f:01:90,38:17:c3:1f:0e:00,44:48:c1:a5:82:30,80:8d:b7:55:25:f0,80:8d:b7:55:35:00,38:17:c3:19:d7:70,20:a6:cd:50:24:b0,00:4e:35:df:06:52,80:8d:b7:55:3a:50,38:17:c3:19:45:b0,38:17:c3:1e:ff:10,38:17:c3:19:d7:60,38:17:c3:19:55:50,20:a6:cd:50:24:a0,a8:bd:27:4c:bd:30,b4:5d:50:e1:92:31,38:17:c3:1f:09:90,38:17:c3:1f:22:30,b4:5d:50:e1:92:21,66:2a:2f:53:7c:99,b0:be:76:f8:30:5e,38:17:c3:1f:01:81,80:8d:b7:55:3a:42,00:4e:35:df:06:41,00:4e:35:df:06:40,20:a6:cd:50:24:a2,38:17:c3:1e:ff:02,b4:5d:50:e1:92:32,60:32:b1:3e:1a:b8,00:4e:35:df:06:42,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,80:8d:b7:55:25:e2,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,b4:5d:50:e1:92:23,38:17:c3:19:45:a2,b4:5d:50:e1:92:22,b4:5d:50:e1:96:51,b4:5d:50:e1:96:53,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,80:8d:b7:55:3a:40,38:17:c3:1f:01:82,68:ff:7b:e4:af:39,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,72:32:b1:3e:1a:b7,00:4e:35:de:e1:11,00:4e:35:de:e1:10,38:17:c3:1f:22:32,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f1,38:17:c3:19:71:90,20:a6:cd:42:0b:f0,44:48:c1:a5:82:22,44:48:c1:a5:82:21,44:48:c1:a5:82:20,b4:5d:50:e1:96:52,68:ff:7b:e4:af:38,38:17:c3:1f:22:31,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,38:17:c3:19:71:91,38:17:c3:19:71:92,38:17:c3:1f:09:92,38:17:c3:1f:09:91,38:17:c3:1f:09:83,38:17:c3:1f:22:20,20:a6:cd:42:0b:f2,00:4e:35:de:e1:02,38:17:c3:1f:08:50,38:17:c3:1f:00:b0,38:17:c3:1f:09:82,38:17:c3:1f:08:51,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:45:a1,38:17:c3:19:55:40,38:17:c3:19:45:a0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,44:48:c1:91:95:b2,44:48:c1:91:95:b0,00:4e:35:de:d7:51,44:48:c1:91:95:b1,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:08:41,38:17:c3:1f:08:42,38:17:c3:1f:08:40,38:17:c3:1f:22:22,38:17:c3:1f:08:52,00:4e:35:de:d7:50,38:17:c3:1f:22:21,00:4e:35:df:0e:12,00:4e:35:de:d7:42,38:17:c3:19:71:82,a8:bd:27:4c:bd:22,38:17:c3:19:71:81,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:19:36:30,00:4e:35:de:d7:43,38:17:c3:19:71:80,00:4e:35:de:d7:41,38:17:c3:1e:fc:b2,00:4e:35:de:d7:40,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1f:0f:92,38:17:c3:1f:0f:91,38:17:c3:24:4f:10,38:17:c3:1f:0f:90,38:17:c3:24:58:a2,38:17:c3:1b:08:a1,38:17:c3:1b:08:b0,00:4e:35:df:27:02,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:1b:08:a2,38:17:c3:24:4f:01,00:4e:35:df:27:12,38:17:c3:1b:08:b1,38:17:c3:1b:08:b2,38:17:c3:1b:08:a0,00:4e:35:df:27:11,00:4e:35:df:27:10,00:4e:35:df:27:00,38:17:c3:19:36:21,38:17:c3:19:36:20,x,y,label
-82,-84,-84,-83,-81,-82,-80,-80,-100,-100,-88,-21,-71,-100,-100,-86,-86,-100,-100,-84,-82,-85,-82,-81,-100,-100,-100,-100,-69,-79,-69,-79,-79,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-74,-53,-53,-100,-100,-100,-100,-84,-81,-80,-100,-100,-87,-83,-100,-100,-100,-66,-79,-100,-100,-100,-76,-100,-53,-100,-100,-100,-100,-81,-41,-100,-79,-66,-65,-100,-100,-100,-100,-65,-100,-82,-100,-82,-77,-100,-100,-100,-100,-100,-100,-100,-84,-84,-78,-100,-78,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-85,-100,-100,-100,-100,-100,-100,-74,-79,-78,-78,-82,-82,-84,-84,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-86,-85,-83,-82,-82,-81,-80,-100,-100,-88,-21,-71,-100,-100,-87,-100,-100,-100,-100,-85,-84,-100,-100,-100,-100,-100,-100,-71,-79,-71,-79,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-75,-53,-53,-100,-100,-100,-100,-87,-82,-81,-100,-100,-86,-86,-100,-100,-100,-69,-79,-100,-100,-100,-76,-100,-53,-100,-100,-100,-100,-80,-41,-100,-79,-65,-65,-100,-100,-100,-100,-65,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-78,-100,-78,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-64,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-63,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-82,-80,-78,-82,-82,-84,-84,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-86,-85,-82,-82,-81,-81,-81,-100,-100,-87,-20,-74,-100,-100,-87,-100,-100,-100,-100,-85,-82,-100,-100,-100,-100,-100,-100,-69,-76,-69,-76,-100,-100,-100,-100,-100,-75,-100,-100,-100,-100,-100,-74,-53,-53,-100,-100,-100,-100,-87,-82,-81,-100,-100,-87,-86,-100,-100,-100,-69,-76,-100,-100,-100,-73,-100,-53,-100,-100,-100,-100,-76,-42,-100,-77,-67,-68,-100,-100,-100,-100,-67,-100,-83,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-84,-84,-75,-100,-78,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-84,-100,-84,-85,-100,-100,-100,-100,-100,-100,-77,-80,-80,-81,-83,-83,-84,-84,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,785.4000000000007,37
-100,-86,-85,-84,-84,-83,-83,-82,-100,-100,-83,-22,-74,-100,-100,-84,-86,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-69,-81,-69,-81,-84,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-74,-52,-52,-100,-100,-100,-100,-87,-83,-83,-100,-100,-83,-88,-100,-100,-100,-69,-81,-100,-100,-100,-73,-100,-52,-100,-100,-100,-100,-80,-38,-100,-77,-68,-68,-100,-100,-100,-100,-68,-100,-81,-100,-100,-76,-100,-100,-100,-100,-100,-100,-100,-81,-82,-75,-100,-81,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-61,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-80,-100,-79,-80,-100,-100,-85,-100,-100,-100,-71,-83,-84,-83,-83,-83,-84,-84,-82,-84,-80,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-100,-100,-84,-85,-85,-83,-82,-100,-100,-83,-21,-81,-100,-100,-84,-85,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-71,-81,-72,-81,-84,-100,-100,-100,-100,-72,-100,-100,-100,-100,-100,-71,-52,-53,-100,-100,-100,-100,-100,-83,-83,-100,-100,-83,-88,-100,-100,-100,-69,-81,-100,-100,-100,-72,-100,-53,-100,-100,-100,-100,-79,-42,-100,-100,-68,-68,-100,-100,-100,-100,-68,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-75,-100,-81,-100,-100,-100,-81,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-78,-100,-78,-79,-100,-100,-85,-100,-100,-100,-72,-83,-83,-82,-84,-85,-100,-100,-84,-100,-80,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-100,-100,-84,-84,-84,-85,-84,-100,-100,-85,-22,-81,-100,-100,-85,-85,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-74,-82,-73,-82,-84,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-73,-52,-52,-100,-100,-100,-100,-100,-84,-85,-100,-100,-85,-88,-100,-100,-100,-72,-83,-100,-100,-100,-73,-100,-52,-100,-100,-100,-100,-84,-43,-100,-100,-70,-69,-100,-100,-100,-100,-70,-100,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-80,-81,-75,-100,-81,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-79,-100,-77,-79,-100,-100,-85,-100,-100,-100,-72,-83,-83,-82,-84,-84,-100,-100,-85,-100,-80,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-80,-80,-100,-84,-84,-84,-84,-100,-100,-84,-21,-86,-100,-100,-84,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-82,-72,-81,-84,-100,-100,-100,-100,-74,-100,-100,-100,-100,-100,-74,-52,-52,-100,-100,-100,-100,-80,-84,-84,-100,-82,-84,-100,-100,-100,-100,-73,-81,-100,-100,-100,-74,-100,-53,-100,-100,-100,-100,-83,-39,-100,-100,-68,-68,-100,-100,-100,-100,-68,-100,-84,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-80,-81,-75,-100,-100,-100,-100,-100,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-72,-83,-83,-84,-84,-84,-100,-100,-85,-100,-100,-100,-88,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-80,-80,-84,-84,-84,-83,-83,-100,-100,-83,-22,-78,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-82,-71,-81,-82,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-72,-53,-53,-100,-100,-100,-100,-80,-83,-83,-100,-82,-83,-100,-100,-100,-100,-71,-81,-100,-100,-100,-72,-100,-53,-100,-100,-100,-100,-82,-42,-100,-100,-68,-68,-100,-100,-100,-100,-69,-100,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-80,-81,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-54,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-78,-100,-79,-78,-100,-100,-100,-100,-100,-100,-100,-82,-82,-82,-84,-84,-100,-100,-84,-100,-100,-100,-88,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-80,-80,-84,-84,-84,-84,-83,-100,-100,-83,-22,-81,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-83,-69,-82,-81,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-73,-52,-52,-100,-100,-100,-100,-80,-85,-83,-100,-82,-83,-100,-100,-100,-100,-69,-83,-100,-100,-100,-73,-100,-52,-100,-100,-100,-100,-82,-42,-100,-74,-69,-68,-100,-100,-100,-100,-70,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-79,-100,-100,-100,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-73,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-55,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-76,-83,-82,-83,-87,-86,-100,-100,-87,-100,-100,-100,-88,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,799.6000000000007,38
-100,-100,-100,-84,-84,-84,-84,-83,-100,-100,-83,-22,-81,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-72,-83,-72,-83,-81,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-82,-48,-48,-100,-100,-100,-100,-100,-85,-83,-100,-100,-83,-100,-100,-100,-100,-71,-83,-100,-100,-100,-82,-100,-48,-100,-100,-100,-100,-83,-35,-100,-74,-69,-68,-100,-100,-100,-100,-70,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-73,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-55,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-81,-100,-100,-100,-100,-100,-100,-76,-82,-82,-82,-87,-86,-100,-100,-87,-100,-100,-100,-89,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-21,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-73,-83,-73,-84,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-83,-49,-49,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-71,-85,-100,-100,-100,-83,-100,-49,-100,-100,-100,-100,-84,-36,-100,-100,-73,-73,-100,-100,-100,-100,-73,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-69,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-79,-100,-100,-100,-100,-100,-100,-100,-84,-83,-83,-89,-89,-100,-100,-89,-100,-100,-100,-88,-100,-84,-83,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-21,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-74,-83,-74,-84,-85,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-81,-49,-49,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-69,-84,-100,-100,-100,-81,-100,-50,-100,-100,-100,-100,-84,-36,-100,-79,-73,-73,-100,-100,-100,-100,-73,-100,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-81,-81,-78,-100,-83,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-82,-83,-82,-89,-89,-100,-100,-89,-100,-100,-100,-88,-100,-84,-82,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-21,-84,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-71,-85,-72,-84,-81,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-81,-49,-49,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-68,-84,-100,-100,-100,-81,-100,-50,-100,-100,-100,-100,-83,-36,-100,-79,-73,-73,-100,-100,-100,-100,-73,-100,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-80,-100,-78,-100,-78,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-79,-100,-79,-80,-100,-100,-100,-100,-100,-100,-100,-81,-82,-81,-88,-89,-100,-100,-89,-100,-100,-100,-88,-100,-84,-82,-85,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-70,-84,-70,-83,-81,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-80,-47,-47,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-86,-100,-100,-100,-70,-83,-100,-100,-100,-80,-100,-48,-100,-100,-100,-100,-85,-36,-100,-79,-71,-72,-100,-100,-100,-100,-72,-100,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-75,-100,-78,-100,-78,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-80,-100,-80,-80,-100,-100,-100,-100,-100,-100,-100,-83,-84,-85,-88,-88,-100,-100,-88,-100,-100,-100,-88,-100,-100,-82,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-71,-84,-71,-85,-81,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-77,-49,-48,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-86,-100,-100,-100,-70,-85,-100,-100,-100,-78,-100,-49,-100,-100,-100,-100,-85,-35,-100,-100,-74,-74,-100,-100,-100,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-82,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-81,-82,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-80,-100,-80,-100,-100,-100,-100,-100,-83,-84,-85,-88,-88,-100,-100,-88,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,530.8,799.6000000000007,39
-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-21,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-69,-82,-69,-82,-84,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-85,-46,-44,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,-100,-100,-67,-83,-100,-100,-100,-86,-100,-44,-100,-100,-100,-100,-86,-36,-100,-100,-69,-69,-100,-100,-100,-100,-69,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-81,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-84,-83,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-77,-82,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-52,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-81,-100,-82,-80,-100,-80,-100,-100,-100,-100,-100,-83,-82,-83,-88,-88,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,516.5999999999999,799.6000000000007,40
-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-22,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-69,-82,-69,-82,-84,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-82,-46,-44,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-86,-100,-100,-100,-68,-81,-100,-100,-100,-82,-100,-44,-100,-100,-100,-100,-86,-38,-100,-100,-71,-71,-100,-100,-100,-100,-71,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-81,-100,-100,-100,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-75,-81,-81,-82,-88,-100,-100,-100,-87,-89,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,516.5999999999999,799.6000000000007,40
-100,-100,-100,-100,-100,-100,-85,-85,-100,-100,-100,-21,-100,-100,-100,-100,-100,-100,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-70,-83,-70,-82,-84,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-86,-44,-46,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-86,-100,-100,-100,-67,-83,-100,-100,-100,-85,-100,-46,-100,-100,-100,-100,-84,-40,-100,-100,-70,-69,-100,-100,-100,-100,-69,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-52,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-52,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-86,-100,-100,-100,-81,-100,-100,-75,-82,-82,-82,-87,-87,-100,-100,-87,-89,-80,-100,-100,-100,-100,-87,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,516.5999999999999,799.6000000000007,40
