b0:be:76:f8:30:5e,00:4e:35:df:06:51,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,44:48:c1:a5:82:32,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,00:4e:35:df:06:52,00:4e:35:de:e1:12,80:8d:b7:55:25:f0,44:48:c1:a5:82:30,80:8d:b7:55:39:d0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c2,80:8d:b7:55:35:13,80:8d:b7:55:35:11,80:8d:b7:55:35:12,ea:9e:b4:53:24:54,38:17:c3:1f:0e:11,38:17:c3:1f:0e:12,38:17:c3:19:d7:72,38:17:c3:19:d7:71,80:8d:b7:55:39:c0,80:8d:b7:55:35:10,38:17:c3:1f:0e:10,38:17:c3:19:d7:70,38:17:c3:1e:ff:12,38:17:c3:1e:ff:10,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:35:01,38:17:c3:19:d7:62,80:8d:b7:55:35:00,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1f:01:91,00:4e:35:df:06:50,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,38:17:c3:19:d7:60,20:a6:cd:50:24:a1,66:2a:2f:53:7c:99,00:4e:35:de:e1:11,80:8d:b7:55:25:e2,80:8d:b7:55:25:e3,b4:5d:50:e1:92:33,ac:e2:d3:c4:08:e6,20:a6:cd:50:24:a2,44:48:c1:a5:82:20,20:a6:cd:50:24:a0,80:8d:b7:55:25:e1,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,80:8d:b7:55:3a:50,38:17:c3:19:55:50,38:17:c3:19:d7:61,80:8d:b7:55:3a:42,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1e:ff:01,b4:5d:50:e1:92:32,68:ff:7b:e4:af:39,b4:5d:50:e1:96:43,80:8d:b7:55:3a:40,20:a6:cd:50:24:b0,38:17:c3:1f:22:30,b4:5d:50:e1:92:31,38:17:c3:1e:ff:00,38:17:c3:1f:01:81,38:17:c3:1f:01:82,44:48:c1:a5:82:21,44:48:c1:a5:82:22,00:4e:35:de:e1:10,38:17:c3:19:55:52,38:17:c3:19:55:51,38:17:c3:19:45:a1,38:17:c3:1f:01:80,80:8d:b7:55:3a:41,72:32:b1:3e:1a:b7,38:17:c3:19:45:b1,38:17:c3:19:45:b2,00:4e:35:df:06:41,38:17:c3:1e:ff:02,b4:5d:50:e1:92:23,80:8d:b7:55:25:e0,38:17:c3:19:45:b0,00:4e:35:df:06:42,68:ff:7b:e4:af:38,38:17:c3:1e:ff:11,38:17:c3:1f:09:83,38:17:c3:19:71:90,b4:5d:50:e1:92:30,b4:5d:50:e1:96:53,b4:5d:50:e1:92:22,b4:5d:50:e1:96:50,00:4e:35:df:06:40,72:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:71:91,00:4e:35:de:e1:00,38:17:c3:1f:22:31,38:17:c3:1f:22:32,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:1f:09:93,38:17:c3:19:45:a0,20:a6:cd:42:0b:f0,38:17:c3:19:71:92,20:a6:cd:42:0b:e3,38:17:c3:1f:09:90,38:17:c3:19:55:40,b4:5d:50:e1:92:20,b4:5d:50:e1:92:21,00:4e:35:de:d7:43,00:4e:35:de:e1:02,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b0,38:17:c3:1f:08:42,38:17:c3:1f:08:41,38:17:c3:1f:08:40,44:48:c1:91:95:b3,44:48:c1:91:95:b1,44:48:c1:91:95:b2,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:53,00:4e:35:de:d7:52,00:4e:35:de:e1:01,38:17:c3:1f:22:22,38:17:c3:1f:22:21,38:17:c3:1f:22:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:19:71:81,38:17:c3:19:71:80,38:17:c3:19:71:82,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:40,00:4e:35:de:d7:41,00:4e:35:de:d7:42,38:17:c3:19:36:30,00:4e:35:df:0e:12,00:4e:35:df:0e:10,00:4e:35:df:0e:11,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b2,00:4e:35:df:0e:01,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:a1,00:4e:35:df:0e:00,38:17:c3:1e:fc:a0,00:4e:35:df:0e:02,38:17:c3:1e:fc:a2,64:e5:99:c3:13:3c,38:17:c3:24:58:b1,38:17:c3:24:58:b2,38:17:c3:24:58:b0,38:17:c3:24:4f:12,38:17:c3:24:4f:11,38:17:c3:24:58:a2,38:17:c3:24:58:a1,38:17:c3:1f:0f:90,38:17:c3:24:4f:10,38:17:c3:24:58:a0,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,9c:d6:43:60:92:e0,x,y,timestamp
-79,-80,-72,-72,-72,-79,-80,-74,-74,-81,-88,-72,-80,-74,-70,-69,-64,-64,-64,-49,-54,-54,-80,-80,-69,-64,-54,-81,-81,-81,-71,-72,-71,-82,-71,-56,-56,-74,-74,-80,-56,-74,-81,-100,-81,-100,-75,-74,-92,-82,-85,-78,-100,-75,-78,-77,-100,-89,-78,-100,-81,-80,-86,-86,-82,-100,-89,-100,-79,-86,-90,-91,-84,-72,-71,-77,-78,-100,-100,-100,-100,-71,-80,-87,-86,-88,-100,-82,-89,-75,-87,-87,-100,-81,-92,-89,-100,-91,-100,-90,-87,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,845104806082
-79,-80,-72,-72,-72,-79,-80,-73,-74,-81,-91,-72,-80,-74,-68,-69,-63,-63,-63,-48,-54,-54,-80,-80,-70,-63,-54,-81,-82,-81,-71,-76,-71,-81,-71,-56,-56,-73,-73,-80,-56,-73,-81,-100,-91,-100,-75,-82,-91,-73,-100,-77,-100,-75,-78,-77,-86,-88,-81,-91,-80,-80,-85,-86,-100,-100,-100,-100,-81,-85,-88,-100,-84,-72,-73,-78,-77,-100,-100,-100,-100,-72,-79,-87,-86,-100,-100,-83,-100,-75,-87,-100,-100,-81,-100,-89,-100,-90,-100,-90,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,702,849858365924
-76,-83,-70,-70,-70,-77,-77,-70,-70,-83,-100,-70,-77,-70,-68,-69,-59,-59,-60,-56,-59,-59,-74,-74,-68,-60,-59,-74,-82,-83,-65,-67,-65,-76,-65,-60,-60,-73,-72,-82,-60,-73,-100,-83,-90,-100,-100,-76,-91,-80,-83,-100,-83,-100,-75,-74,-86,-100,-75,-85,-77,-100,-85,-85,-100,-100,-100,-100,-100,-85,-88,-100,-100,-75,-100,-100,-100,-100,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,892923487574
-75,-81,-69,-69,-69,-75,-75,-71,-71,-82,-89,-70,-76,-71,-70,-69,-59,-60,-60,-59,-59,-59,-74,-74,-70,-60,-58,-74,-82,-81,-64,-65,-64,-75,-65,-60,-59,-72,-72,-82,-60,-72,-77,-83,-88,-100,-100,-77,-89,-82,-82,-100,-82,-75,-75,-75,-86,-100,-75,-86,-76,-100,-85,-85,-100,-100,-100,-100,-100,-85,-88,-100,-100,-75,-100,-100,-100,-100,-85,-85,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-84,-100,-83,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,897280764187
-76,-85,-70,-69,-70,-76,-75,-71,-71,-84,-89,-69,-76,-71,-69,-69,-60,-59,-60,-58,-59,-59,-74,-74,-69,-60,-59,-74,-82,-82,-65,-65,-65,-76,-65,-60,-60,-72,-72,-80,-60,-72,-76,-83,-76,-100,-100,-76,-89,-75,-82,-77,-82,-75,-75,-75,-100,-100,-75,-86,-76,-76,-85,-85,-100,-100,-100,-100,-77,-85,-90,-90,-100,-75,-100,-77,-78,-100,-85,-85,-100,-100,-77,-100,-85,-85,-84,-100,-100,-100,-87,-84,-100,-82,-96,-88,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,901737077050
-75,-83,-70,-69,-70,-76,-76,-71,-71,-84,-100,-70,-76,-71,-69,-69,-60,-60,-60,-56,-59,-59,-75,-74,-69,-60,-59,-74,-82,-81,-65,-63,-65,-76,-65,-60,-61,-72,-73,-80,-60,-72,-76,-82,-92,-100,-100,-55,-90,-80,-83,-78,-83,-100,-76,-76,-100,-100,-76,-100,-77,-76,-86,-86,-100,-100,-100,-100,-77,-86,-90,-89,-83,-75,-100,-78,-78,-100,-100,-100,-100,-100,-77,-86,-86,-86,-85,-100,-86,-100,-86,-85,-100,-82,-92,-87,-100,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,906296523298
-76,-82,-69,-70,-70,-76,-76,-71,-71,-83,-86,-69,-76,-72,-69,-69,-60,-60,-60,-55,-59,-59,-74,-74,-69,-60,-58,-74,-83,-81,-65,-66,-65,-76,-65,-57,-60,-72,-72,-83,-60,-72,-76,-83,-92,-88,-75,-78,-90,-82,-82,-77,-83,-76,-76,-76,-100,-100,-75,-100,-76,-77,-85,-86,-100,-100,-100,-100,-77,-85,-100,-91,-83,-75,-75,-78,-78,-88,-100,-100,-100,-78,-76,-87,-86,-87,-85,-100,-86,-79,-86,-85,-100,-83,-92,-87,-100,-100,-100,-100,-100,-89,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,910759612203
-76,-80,-69,-70,-69,-76,-76,-71,-71,-83,-86,-70,-76,-71,-69,-69,-59,-59,-59,-55,-58,-59,-74,-74,-69,-60,-58,-74,-82,-82,-64,-64,-65,-76,-65,-60,-60,-72,-72,-80,-61,-72,-76,-82,-92,-87,-75,-75,-90,-78,-83,-77,-83,-75,-75,-75,-100,-85,-76,-100,-76,-76,-84,-84,-100,-100,-100,-100,-77,-86,-100,-90,-100,-75,-75,-78,-78,-85,-100,-100,-100,-78,-76,-86,-85,-85,-85,-100,-89,-75,-87,-84,-100,-82,-100,-87,-100,-100,-100,-100,-84,-89,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,680,915462621732
-71,-81,-72,-72,-72,-76,-76,-71,-71,-81,-100,-72,-75,-71,-67,-67,-62,-61,-62,-56,-58,-58,-76,-75,-67,-62,-58,-76,-81,-82,-65,-66,-65,-76,-66,-61,-61,-75,-74,-80,-61,-75,-76,-83,-90,-100,-100,-76,-100,-79,-100,-100,-100,-100,-74,-74,-85,-100,-74,-89,-76,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-76,-76,-100,-72,-100,-88,-87,-100,-100,-100,-100,-100,-100,-83,-100,-90,-74,-100,-83,-100,-81,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,946330238283
-77,-82,-72,-72,-72,-75,-75,-72,-71,-83,-100,-72,-76,-72,-69,-69,-65,-65,-65,-55,-59,-59,-75,-76,-69,-65,-59,-76,-82,-82,-65,-67,-65,-76,-66,-60,-60,-75,-74,-83,-60,-75,-76,-83,-89,-100,-100,-75,-90,-84,-84,-72,-100,-100,-75,-75,-86,-100,-75,-86,-76,-78,-100,-100,-100,-100,-86,-100,-100,-100,-87,-89,-100,-77,-74,-72,-72,-100,-86,-86,-100,-75,-100,-100,-100,-100,-84,-100,-90,-74,-100,-83,-100,-82,-93,-100,-100,-100,-100,-100,-79,-100,-100,-100,-84,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,950638736042
-76,-83,-72,-72,-72,-78,-77,-72,-72,-83,-100,-72,-77,-71,-67,-68,-61,-60,-61,-56,-60,-60,-75,-75,-69,-61,-60,-75,-82,-82,-66,-65,-66,-75,-66,-61,-60,-76,-76,-83,-60,-76,-76,-100,-92,-100,-74,-77,-90,-83,-84,-72,-100,-74,-74,-74,-85,-86,-74,-86,-75,-77,-83,-100,-100,-100,-100,-100,-77,-100,-87,-89,-100,-77,-74,-72,-72,-100,-86,-86,-100,-75,-77,-100,-100,-100,-84,-100,-100,-74,-100,-83,-88,-82,-100,-88,-100,-100,-100,-100,-84,-85,-100,-100,-100,-87,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,955268371509
-77,-81,-72,-73,-73,-77,-77,-72,-72,-81,-100,-73,-77,-73,-68,-67,-65,-65,-65,-55,-58,-58,-75,-75,-68,-65,-59,-75,-82,-81,-65,-65,-65,-76,-66,-60,-58,-76,-77,-81,-61,-77,-76,-100,-89,-100,-74,-76,-91,-80,-100,-72,-100,-74,-75,-74,-85,-86,-74,-100,-76,-77,-82,-83,-100,-100,-88,-100,-77,-83,-87,-91,-100,-100,-100,-76,-72,-100,-100,-100,-100,-100,-77,-86,-86,-86,-84,-100,-100,-74,-87,-85,-88,-81,-100,-89,-100,-100,-100,-100,-84,-85,-100,-100,-100,-87,-86,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,959670444163
-79,-80,-72,-72,-72,-77,-76,-70,-70,-80,-100,-72,-77,-70,-67,-67,-62,-62,-62,-56,-59,-60,-75,-76,-68,-62,-59,-76,-82,-82,-65,-66,-65,-77,-65,-61,-61,-76,-75,-81,-62,-76,-76,-100,-90,-100,-100,-82,-90,-85,-100,-72,-100,-100,-77,-76,-100,-100,-76,-100,-76,-77,-83,-84,-100,-100,-88,-100,-77,-83,-87,-91,-100,-100,-100,-72,-73,-100,-100,-100,-100,-75,-77,-84,-88,-87,-100,-100,-100,-100,-88,-82,-100,-82,-90,-88,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,964317032859
-78,-83,-73,-72,-72,-77,-77,-70,-70,-84,-100,-72,-77,-70,-68,-68,-65,-65,-65,-55,-60,-60,-76,-76,-69,-65,-60,-76,-82,-81,-65,-60,-65,-75,-65,-61,-61,-78,-77,-83,-62,-77,-75,-84,-93,-100,-75,-72,-93,-85,-100,-72,-100,-75,-77,-75,-100,-84,-76,-100,-75,-76,-82,-83,-100,-100,-100,-100,-77,-83,-87,-91,-100,-75,-100,-73,-73,-100,-100,-100,-100,-75,-77,-85,-88,-87,-84,-100,-100,-75,-88,-84,-100,-81,-90,-88,-100,-100,-100,-100,-100,-84,-100,-90,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,659,968856356295
-73,-100,-73,-73,-73,-76,-76,-100,-100,-78,-86,-73,-76,-100,-66,-67,-63,-63,-63,-55,-61,-61,-71,-71,-67,-63,-61,-71,-100,-100,-69,-67,-70,-100,-70,-65,-66,-78,-77,-77,-65,-78,-75,-83,-93,-100,-77,-77,-88,-67,-84,-75,-83,-100,-75,-75,-100,-100,-75,-100,-75,-77,-82,-82,-100,-87,-100,-100,-77,-82,-100,-87,-100,-77,-77,-74,-74,-100,-100,-100,-82,-100,-76,-88,-83,-82,-83,-79,-88,-100,-82,-83,-100,-100,-100,-87,-87,-100,-100,-100,-83,-81,-82,-100,-100,-100,-100,-100,-100,-100,-82,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1027785815543
-72,-77,-73,-72,-73,-76,-76,-67,-68,-77,-87,-73,-76,-68,-66,-66,-64,-64,-64,-56,-61,-61,-72,-71,-67,-64,-61,-72,-80,-80,-71,-69,-71,-75,-70,-67,-67,-78,-77,-77,-66,-78,-75,-83,-91,-100,-76,-77,-87,-76,-83,-74,-82,-76,-75,-75,-100,-100,-75,-100,-75,-77,-82,-82,-100,-87,-87,-100,-77,-83,-100,-87,-78,-76,-77,-74,-74,-100,-100,-100,-82,-100,-77,-88,-82,-81,-83,-79,-90,-76,-82,-82,-100,-79,-100,-88,-87,-91,-100,-100,-82,-81,-82,-86,-100,-100,-100,-100,-100,-100,-82,-92,-87,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1032353651375
-71,-77,-73,-73,-73,-77,-77,-68,-68,-78,-86,-73,-77,-68,-65,-66,-63,-63,-63,-55,-61,-61,-71,-71,-66,-64,-60,-71,-79,-79,-71,-71,-70,-75,-70,-65,-65,-80,-77,-77,-65,-80,-74,-83,-88,-87,-77,-76,-86,-75,-83,-74,-83,-77,-75,-75,-86,-85,-75,-100,-74,-77,-82,-82,-80,-100,-87,-100,-77,-82,-89,-100,-78,-77,-100,-74,-74,-87,-100,-100,-100,-100,-76,-100,-82,-81,-83,-100,-90,-77,-100,-82,-100,-80,-100,-89,-100,-93,-88,-100,-84,-100,-100,-86,-100,-100,-100,-88,-100,-89,-100,-100,-87,-92,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1037086531738
-68,-79,-73,-73,-73,-75,-75,-68,-68,-79,-87,-73,-75,-68,-66,-66,-64,-64,-64,-57,-61,-61,-71,-71,-66,-64,-61,-71,-79,-79,-69,-71,-69,-73,-69,-65,-66,-79,-77,-79,-66,-80,-74,-83,-91,-85,-77,-76,-87,-61,-84,-74,-84,-77,-76,-75,-86,-86,-76,-90,-74,-77,-83,-82,-80,-100,-100,-100,-76,-83,-89,-100,-80,-77,-100,-74,-74,-88,-88,-89,-100,-100,-76,-100,-100,-100,-83,-100,-81,-77,-100,-83,-100,-80,-100,-87,-100,-90,-88,-90,-84,-100,-83,-86,-100,-100,-100,-88,-100,-89,-100,-100,-86,-92,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1041691046996
-68,-79,-73,-73,-72,-76,-75,-68,-68,-78,-89,-73,-76,-68,-66,-66,-64,-64,-64,-57,-61,-61,-71,-71,-66,-65,-61,-71,-80,-78,-69,-72,-69,-75,-70,-65,-66,-79,-79,-79,-66,-79,-74,-84,-86,-85,-77,-77,-86,-79,-84,-74,-84,-77,-75,-75,-100,-86,-76,-90,-75,-100,-82,-81,-100,-87,-100,-100,-76,-82,-87,-86,-80,-77,-100,-74,-74,-88,-88,-89,-100,-100,-76,-88,-82,-100,-83,-100,-87,-77,-100,-83,-100,-100,-100,-86,-89,-90,-100,-91,-100,-100,-83,-87,-100,-100,-100,-100,-100,-100,-100,-91,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1046544750588
-73,-81,-73,-73,-73,-76,-76,-68,-68,-80,-89,-73,-76,-68,-66,-66,-64,-64,-64,-55,-61,-61,-71,-71,-66,-65,-61,-71,-80,-79,-69,-71,-70,-75,-70,-65,-66,-78,-78,-81,-65,-79,-74,-83,-92,-100,-76,-75,-88,-77,-82,-74,-100,-77,-75,-75,-100,-84,-75,-100,-75,-75,-82,-81,-100,-86,-100,-100,-76,-82,-87,-86,-100,-77,-100,-74,-74,-100,-100,-100,-100,-100,-75,-87,-82,-100,-83,-79,-86,-77,-100,-81,-100,-100,-90,-85,-87,-91,-100,-91,-100,-100,-82,-88,-100,-100,-100,-100,-100,-89,-81,-91,-86,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,256,637,1051329793816
