b8:27:eb:9f:6b:77,80:8d:b7:55:3a:42,b0:be:76:f8:30:5e,80:8d:b7:55:25:f1,80:8d:b7:55:25:f3,80:8d:b7:55:25:f2,80:8d:b7:55:39:d2,80:8d:b7:55:39:d1,44:48:c1:a5:82:32,44:48:c1:a5:82:31,80:8d:b7:55:35:12,80:8d:b7:55:35:13,80:8d:b7:55:35:11,ea:9e:b4:53:24:54,80:8d:b7:55:35:03,38:17:c3:1f:0e:11,80:8d:b7:55:35:02,80:8d:b7:55:35:01,b4:5d:50:e1:92:33,80:8d:b7:55:25:f0,00:4e:35:df:06:52,80:8d:b7:55:39:d0,44:48:c1:a5:82:30,80:8d:b7:55:35:10,80:8d:b7:55:39:c0,38:17:c3:19:d7:70,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:19:d7:61,20:a6:cd:50:24:b2,ac:e2:d3:c4:08:e6,38:17:c3:1f:01:91,38:17:c3:1f:0e:10,38:17:c3:1f:0e:02,38:17:c3:1f:0e:01,38:17:c3:1f:01:92,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:d7:72,38:17:c3:19:d7:71,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,38:17:c3:1f:0e:00,38:17:c3:1f:01:90,80:8d:b7:55:35:00,38:17:c3:1e:ff:10,20:a6:cd:50:24:b0,38:17:c3:1f:01:81,80:8d:b7:55:39:c2,80:8d:b7:55:25:e3,80:8d:b7:55:3a:41,00:4e:35:df:06:51,00:4e:35:df:06:40,80:8d:b7:55:3a:40,00:4e:35:df:06:42,66:2a:2f:53:7c:99,80:8d:b7:55:3a:51,80:8d:b7:55:3a:52,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,38:17:c3:19:45:a1,00:4e:35:df:06:41,38:17:c3:1f:09:83,80:8d:b7:55:3a:50,80:8d:b7:55:25:e0,38:17:c3:19:45:a0,80:8d:b7:55:39:c1,72:32:b1:3e:1a:b7,68:ff:7b:e4:af:38,60:32:b1:3e:1a:b8,38:17:c3:19:45:a2,38:17:c3:19:45:b1,b4:5d:50:e1:92:23,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,38:17:c3:19:45:b0,38:17:c3:1f:09:90,20:a6:cd:50:24:a0,38:17:c3:19:55:50,38:17:c3:1f:01:82,60:32:b1:3e:1a:b7,44:48:c1:a5:82:22,44:48:c1:a5:82:21,00:4e:35:df:06:50,b4:5d:50:e1:92:22,72:32:b1:3e:1a:b8,38:17:c3:1f:01:80,38:17:c3:19:d7:60,44:48:c1:a5:82:20,38:17:c3:1e:ff:00,00:4e:35:de:e1:12,b4:5d:50:e1:92:31,b4:5d:50:e1:92:21,38:17:c3:1f:09:93,b4:5d:50:e1:96:43,38:17:c3:1e:ff:01,38:17:c3:1e:ff:02,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,38:17:c3:19:55:41,38:17:c3:19:55:42,38:17:c3:19:55:40,b4:5d:50:e1:96:50,38:17:c3:1f:22:31,38:17:c3:19:55:51,b4:5d:50:e1:92:20,38:17:c3:19:55:52,00:4e:35:de:e1:10,38:17:c3:1f:22:30,b4:5d:50:e1:96:52,00:4e:35:de:e1:11,b4:5d:50:e1:96:51,20:a6:cd:42:0b:e3,38:17:c3:19:71:90,38:17:c3:1f:22:32,38:17:c3:19:71:92,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,38:17:c3:1f:22:21,38:17:c3:1f:22:22,00:4e:35:de:e1:00,00:4e:35:de:e1:01,00:4e:35:de:e1:02,a8:bd:27:4c:bd:31,a8:bd:27:4c:bd:30,38:17:c3:1f:08:50,44:48:c1:91:95:b2,9c:d6:43:60:92:e0,38:17:c3:1f:08:51,44:48:c1:91:95:b3,44:48:c1:91:95:b0,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b1,00:4e:35:de:d7:50,00:4e:35:de:d7:51,38:17:c3:1f:08:42,38:17:c3:1f:08:40,00:4e:35:df:0e:12,38:17:c3:1f:08:41,38:17:c3:1f:22:20,a8:bd:27:4c:bd:32,00:4e:35:de:d7:43,00:4e:35:de:d7:40,38:17:c3:19:71:80,00:4e:35:de:d7:42,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:19:71:91,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:de:d7:41,38:17:c3:1f:08:52,38:17:c3:19:36:30,38:17:c3:19:36:32,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,00:4e:35:df:0e:00,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:12,00:4e:35:df:27:01,38:17:c3:24:4f:10,00:4e:35:df:27:02,38:17:c3:24:4f:11,38:17:c3:24:58:a2,00:4e:35:df:27:00,38:17:c3:24:4f:00,38:17:c3:24:4f:02,38:17:c3:24:4f:01,38:17:c3:24:58:a1,38:17:c3:1b:08:a1,38:17:c3:1b:08:a0,38:17:c3:24:58:a0,32:f7:72:50:57:3b,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,38:17:c3:1b:08:b0,38:17:c3:1b:08:a2,x,y,timestamp
-43,-76,-72,-72,-72,-72,-66,-66,-78,-78,-63,-62,-63,-59,-69,-57,-70,-70,-91,-72,-81,-67,-78,-63,-71,-73,-57,-80,-79,-88,-82,-75,-57,-58,-58,-75,-82,-81,-72,-73,-88,-84,-58,-76,-70,-81,-89,-70,-70,-74,-76,-80,-82,-76,-82,-82,-75,-75,-77,-100,-100,-82,-100,-75,-100,-100,-71,-86,-88,-85,-100,-100,-89,-100,-83,-100,-90,-100,-88,-70,-87,-76,-77,-81,-88,-100,-69,-83,-76,-100,-89,-100,-100,-88,-100,-79,-80,-100,-90,-85,-85,-84,-91,-100,-100,-87,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26811579138988
-41,-77,-74,-73,-73,-73,-68,-68,-79,-79,-61,-61,-61,-58,-67,-51,-69,-69,-91,-73,-82,-68,-79,-61,-73,-74,-51,-83,-84,-88,-82,-73,-51,-56,-56,-74,-81,-81,-74,-73,-88,-85,-56,-74,-69,-80,-87,-70,-72,-74,-77,-82,-81,-76,-82,-86,-74,-75,-76,-76,-100,-81,-100,-74,-77,-100,-73,-100,-88,-100,-84,-86,-89,-83,-83,-85,-90,-100,-90,-69,-87,-76,-77,-84,-100,-86,-69,-83,-76,-100,-88,-100,-100,-88,-100,-100,-100,-100,-89,-85,-85,-84,-89,-100,-91,-100,-88,-100,-86,-91,-88,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,648,26816084885288
-41,-81,-80,-72,-72,-72,-70,-70,-78,-78,-64,-64,-64,-53,-68,-57,-69,-70,-100,-72,-80,-70,-78,-64,-72,-72,-56,-75,-74,-83,-66,-74,-57,-61,-61,-74,-77,-77,-71,-71,-82,-84,-61,-74,-100,-77,-83,-100,-72,-72,-79,-80,-100,-79,-84,-88,-73,-73,-73,-74,-100,-85,-100,-73,-74,-100,-72,-100,-100,-85,-100,-84,-70,-100,-100,-100,-88,-100,-100,-100,-100,-75,-75,-81,-100,-100,-100,-75,-76,-100,-87,-100,-100,-88,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-84,-87,-100,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26856381806418
-41,-76,-76,-74,-75,-75,-68,-68,-79,-79,-64,-64,-64,-49,-69,-56,-69,-70,-100,-75,-81,-68,-79,-64,-72,-77,-56,-77,-77,-84,-64,-73,-56,-61,-60,-73,-83,-83,-77,-77,-84,-84,-60,-73,-70,-81,-84,-100,-71,-73,-79,-80,-100,-79,-85,-91,-76,-76,-76,-76,-100,-85,-100,-76,-76,-100,-72,-87,-88,-82,-100,-84,-70,-82,-81,-100,-88,-100,-92,-100,-100,-78,-75,-81,-100,-83,-78,-77,-76,-80,-86,-100,-77,-88,-100,-81,-81,-100,-90,-87,-86,-86,-100,-100,-100,-100,-100,-84,-87,-100,-87,-100,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26861012144437
-44,-76,-77,-74,-73,-74,-68,-68,-78,-78,-63,-63,-64,-52,-69,-64,-68,-68,-89,-74,-82,-68,-78,-64,-100,-76,-64,-77,-78,-83,-77,-72,-64,-70,-69,-72,-80,-79,-76,-75,-84,-100,-69,-72,-68,-81,-84,-100,-70,-77,-100,-81,-100,-76,-85,-91,-75,-75,-75,-75,-100,-84,-100,-76,-75,-100,-100,-86,-87,-83,-100,-100,-86,-82,-81,-100,-100,-100,-92,-76,-100,-78,-78,-81,-86,-83,-78,-78,-78,-81,-87,-100,-87,-100,-100,-81,-81,-92,-90,-87,-86,-86,-89,-100,-100,-86,-100,-100,-85,-90,-87,-91,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26865910259904
-43,-76,-75,-74,-74,-74,-69,-69,-81,-81,-62,-63,-63,-49,-68,-55,-68,-68,-90,-74,-81,-68,-81,-62,-71,-76,-55,-100,-77,-83,-74,-71,-55,-60,-60,-71,-79,-80,-76,-76,-82,-86,-60,-71,-67,-80,-83,-78,-70,-65,-76,-81,-100,-76,-85,-90,-75,-75,-75,-75,-100,-84,-100,-76,-75,-100,-71,-86,-87,-84,-100,-100,-82,-82,-81,-86,-100,-100,-100,-76,-86,-79,-78,-81,-86,-85,-100,-76,-79,-81,-87,-100,-87,-100,-91,-81,-81,-92,-90,-87,-100,-100,-89,-85,-100,-86,-100,-100,-86,-90,-100,-91,-100,-87,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26870687755788
-44,-76,-77,-75,-74,-74,-70,-70,-81,-81,-62,-62,-62,-50,-69,-56,-68,-68,-91,-74,-81,-70,-81,-62,-71,-76,-56,-78,-76,-84,-77,-74,-56,-60,-60,-75,-82,-82,-78,-76,-84,-87,-60,-75,-68,-82,-84,-78,-69,-70,-75,-81,-100,-100,-85,-90,-75,-76,-100,-100,-100,-85,-93,-76,-100,-100,-71,-87,-100,-86,-100,-100,-85,-82,-82,-86,-100,-80,-100,-100,-86,-78,-78,-80,-100,-88,-100,-78,-78,-81,-87,-100,-100,-100,-91,-80,-80,-100,-92,-87,-100,-100,-100,-85,-100,-100,-100,-88,-85,-100,-87,-100,-89,-87,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26875618100942
-43,-74,-72,-74,-74,-74,-69,-69,-81,-81,-61,-61,-61,-52,-68,-62,-68,-67,-89,-75,-80,-69,-81,-61,-71,-76,-62,-77,-77,-83,-75,-73,-62,-62,-63,-74,-80,-80,-76,-76,-84,-90,-63,-74,-68,-82,-84,-100,-71,-75,-75,-80,-100,-100,-85,-89,-74,-74,-100,-100,-100,-85,-93,-74,-100,-100,-71,-87,-87,-86,-100,-100,-87,-82,-81,-90,-100,-80,-89,-100,-100,-78,-78,-80,-100,-86,-100,-78,-78,-81,-87,-90,-100,-100,-100,-82,-82,-100,-92,-100,-100,-100,-100,-86,-88,-100,-88,-87,-86,-100,-87,-100,-90,-88,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,630,26880558005940
-42,-75,-72,-75,-75,-75,-72,-72,-72,-72,-59,-59,-59,-47,-65,-58,-63,-63,-90,-75,-80,-72,-72,-59,-72,-70,-58,-74,-74,-86,-68,-79,-58,-60,-60,-80,-79,-79,-69,-69,-86,-87,-61,-80,-64,-79,-87,-100,-72,-76,-75,-81,-100,-75,-100,-87,-79,-78,-100,-100,-100,-100,-90,-78,-100,-100,-73,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-100,-100,-100,-78,-78,-81,-88,-88,-100,-75,-78,-100,-85,-100,-88,-90,-100,-100,-100,-80,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-85,-100,-87,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26924467652069
-40,-76,-76,-74,-75,-75,-70,-70,-72,-72,-61,-61,-61,-50,-65,-58,-64,-62,-92,-75,-79,-70,-72,-61,-72,-70,-59,-74,-75,-85,-81,-78,-59,-61,-60,-78,-79,-79,-69,-69,-85,-87,-61,-78,-63,-79,-86,-100,-72,-77,-76,-80,-100,-77,-87,-88,-78,-78,-76,-75,-100,-85,-90,-79,-100,-100,-72,-84,-100,-100,-100,-86,-87,-100,-100,-86,-89,-100,-87,-100,-85,-76,-78,-80,-88,-88,-100,-75,-78,-100,-85,-100,-88,-90,-100,-100,-84,-89,-100,-100,-100,-100,-100,-85,-86,-100,-88,-100,-84,-100,-87,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26928834534359
-40,-76,-71,-74,-75,-75,-71,-71,-71,-72,-60,-60,-60,-49,-63,-58,-63,-63,-91,-75,-81,-71,-72,-60,-72,-70,-58,-75,-75,-86,-74,-78,-58,-61,-60,-78,-78,-79,-70,-70,-86,-87,-100,-78,-63,-79,-86,-100,-72,-72,-76,-81,-86,-77,-87,-91,-78,-78,-76,-75,-100,-85,-90,-79,-75,-100,-72,-85,-100,-100,-100,-86,-100,-100,-100,-86,-100,-86,-87,-63,-85,-77,-78,-81,-100,-100,-100,-75,-77,-84,-86,-100,-86,-100,-100,-100,-84,-85,-91,-100,-100,-100,-92,-85,-86,-86,-88,-100,-83,-100,-100,-100,-100,-91,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26933598618628
-39,-77,-73,-76,-75,-75,-71,-71,-72,-72,-60,-61,-61,-48,-63,-58,-63,-63,-89,-75,-80,-71,-72,-61,-71,-70,-58,-74,-74,-87,-80,-81,-59,-59,-59,-81,-79,-78,-69,-69,-87,-87,-60,-81,-63,-78,-86,-78,-71,-75,-76,-81,-86,-76,-86,-86,-79,-79,-100,-100,-100,-85,-90,-79,-75,-100,-71,-85,-100,-100,-100,-100,-88,-100,-100,-100,-100,-86,-86,-78,-100,-76,-77,-81,-100,-100,-79,-74,-76,-82,-88,-100,-86,-100,-100,-82,-82,-85,-91,-100,-100,-100,-92,-85,-86,-86,-86,-100,-83,-100,-100,-100,-100,-91,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26938521629199
-41,-76,-74,-76,-75,-75,-70,-70,-72,-72,-62,-62,-62,-49,-64,-58,-63,-63,-89,-75,-83,-71,-72,-62,-72,-70,-59,-75,-75,-87,-81,-80,-59,-59,-60,-80,-79,-78,-70,-70,-87,-100,-60,-80,-63,-77,-86,-78,-71,-74,-76,-83,-100,-77,-84,-89,-78,-78,-100,-100,-100,-83,-100,-79,-100,-100,-71,-84,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-86,-78,-100,-76,-76,-81,-100,-100,-79,-75,-76,-83,-88,-100,-100,-100,-100,-83,-82,-100,-100,-100,-100,-100,-100,-85,-86,-87,-86,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26943408226698
-41,-75,-73,-75,-75,-75,-69,-69,-72,-72,-57,-57,-57,-50,-64,-57,-63,-64,-90,-76,-83,-70,-72,-57,-72,-70,-57,-75,-74,-85,-77,-75,-58,-61,-61,-75,-78,-78,-70,-70,-86,-100,-61,-75,-64,-78,-87,-75,-71,-75,-76,-83,-100,-76,-86,-91,-77,-77,-74,-75,-100,-85,-88,-78,-75,-100,-100,-84,-100,-89,-100,-100,-100,-100,-85,-100,-100,-100,-100,-78,-100,-75,-75,-100,-100,-100,-76,-74,-75,-82,-100,-100,-100,-91,-100,-83,-81,-87,-100,-100,-100,-100,-100,-84,-100,-87,-100,-100,-84,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,612,26948175989404
-45,-73,-79,-73,-73,-73,-67,-67,-74,-74,-59,-59,-59,-51,-64,-60,-66,-67,-86,-73,-78,-67,-74,-59,-66,-69,-60,-100,-100,-78,-75,-73,-60,-61,-61,-74,-80,-80,-68,-69,-78,-84,-61,-74,-68,-80,-78,-77,-66,-71,-74,-78,-100,-73,-100,-89,-73,-75,-81,-100,-100,-100,-92,-73,-100,-100,-66,-100,-100,-100,-100,-100,-83,-100,-72,-100,-89,-100,-100,-78,-78,-72,-72,-78,-84,-100,-79,-100,-73,-100,-100,-87,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-87,-100,-100,-85,-100,-100,-100,-87,-100,-87,-87,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,594,26997651814594
-45,-73,-76,-74,-74,-74,-66,-61,-72,-72,-59,-59,-59,-52,-66,-59,-66,-67,-88,-75,-78,-66,-72,-58,-66,-67,-59,-76,-77,-80,-83,-72,-60,-62,-62,-73,-80,-80,-69,-68,-80,-82,-62,-72,-68,-80,-80,-77,-66,-71,-72,-78,-100,-73,-85,-91,-71,-70,-81,-79,-100,-86,-92,-72,-100,-100,-67,-100,-100,-88,-100,-82,-86,-100,-72,-100,-89,-100,-100,-78,-77,-71,-72,-78,-86,-79,-78,-77,-72,-100,-100,-89,-85,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-85,-100,-87,-100,-100,-85,-100,-91,-100,-87,-100,-88,-87,-87,-89,-86,-87,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,594,27002386800008
-44,-73,-75,-74,-75,-75,-69,-68,-73,-73,-60,-60,-60,-56,-56,-58,-56,-67,-87,-75,-78,-69,-73,-60,-66,-71,-58,-77,-76,-81,-83,-76,-58,-62,-62,-76,-81,-81,-70,-71,-80,-84,-63,-77,-69,-81,-81,-100,-66,-75,-72,-79,-84,-73,-85,-89,-76,-76,-100,-79,-100,-84,-100,-76,-100,-100,-66,-100,-100,-88,-100,-84,-86,-83,-100,-83,-100,-76,-100,-100,-83,-72,-73,-79,-86,-86,-76,-77,-73,-81,-89,-88,-85,-100,-100,-81,-81,-86,-91,-87,-86,-87,-100,-85,-100,-100,-100,-100,-85,-100,-100,-100,-91,-100,-85,-100,-87,-88,-100,-89,-81,-85,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,594,27007099261986
-43,-100,-76,-74,-74,-74,-68,-68,-74,-74,-59,-59,-59,-54,-66,-59,-56,-67,-87,-75,-77,-67,-74,-59,-65,-71,-59,-77,-77,-80,-75,-75,-59,-62,-62,-75,-81,-81,-71,-71,-79,-85,-62,-75,-69,-79,-81,-76,-65,-73,-73,-79,-84,-100,-84,-90,-76,-76,-81,-81,-100,-84,-100,-76,-81,-100,-65,-83,-89,-90,-87,-85,-86,-83,-82,-86,-100,-83,-88,-76,-83,-72,-73,-79,-85,-86,-76,-77,-73,-81,-87,-88,-100,-100,-100,-81,-81,-84,-91,-87,-86,-87,-92,-85,-90,-100,-90,-100,-85,-100,-100,-100,-100,-100,-85,-100,-87,-88,-88,-100,-81,-85,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,594,27012088274640
-43,-100,-77,-74,-74,-74,-67,-67,-74,-74,-59,-60,-59,-52,-64,-58,-69,-67,-86,-74,-78,-67,-74,-59,-66,-71,-58,-77,-77,-79,-82,-74,-58,-61,-60,-74,-100,-100,-71,-71,-79,-85,-61,-75,-67,-79,-80,-79,-66,-75,-73,-78,-100,-100,-86,-90,-74,-74,-81,-81,-100,-86,-92,-74,-81,-100,-53,-83,-89,-88,-87,-85,-100,-83,-82,-86,-100,-84,-88,-76,-84,-73,-73,-79,-85,-100,-100,-77,-100,-100,-87,-87,-86,-100,-100,-100,-100,-87,-100,-100,-100,-100,-92,-86,-90,-100,-90,-84,-86,-100,-87,-100,-100,-100,-86,-100,-87,-87,-88,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,258,594,27016880558180
