60:32:b1:3e:1a:b8,20:a6:cd:42:0a:c3,20:a6:cd:42:0a:c1,20:a6:cd:42:0a:c0,20:a6:cd:42:0a:c2,60:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,38:17:c3:1f:00:a1,38:17:c3:1f:00:a2,38:17:c3:1f:00:b0,38:17:c3:1f:00:b2,38:17:c3:1f:00:b1,b4:5d:50:e1:96:43,44:48:c1:91:d0:14,44:48:c1:91:d0:12,44:48:c1:91:d0:10,38:17:c3:1f:14:00,38:17:c3:1f:14:02,44:48:c1:91:d0:11,b4:5d:50:e1:96:42,38:17:c3:1f:14:12,b4:5d:50:e1:96:51,a8:bd:27:4c:aa:81,20:a6:cd:42:0a:d2,38:17:c3:1f:14:11,38:17:c3:1f:14:10,b4:5d:50:e1:96:50,a8:bd:27:4c:aa:82,20:a6:cd:42:0a:d1,44:48:c1:91:95:a0,9c:d6:43:60:92:e0,38:17:c3:1f:09:83,b4:5d:50:e1:96:53,b4:5d:50:e1:96:52,38:17:c3:1f:09:80,20:a6:cd:42:0a:d3,20:a6:cd:42:0a:d0,a8:bd:27:4c:aa:83,38:17:c3:1f:09:82,44:48:c1:91:95:a1,44:48:c1:91:95:b3,38:17:c3:1f:19:d1,44:48:c1:91:95:b1,44:48:c1:91:95:b0,44:48:c1:91:95:b2,38:17:c3:1f:19:d2,38:17:c3:1f:19:d0,20:a6:cd:42:13:f0,72:32:b1:3e:1a:b7,38:17:c3:1f:00:a0,44:48:c1:91:d0:02,44:48:c1:91:d0:04,44:48:c1:91:d0:01,44:48:c1:91:d0:00,38:17:c3:1f:14:01,b4:5d:50:e1:96:41,a8:bd:27:4c:aa:80,44:48:c1:91:95:a3,38:17:c3:1f:09:93,38:17:c3:1f:09:92,38:17:c3:1f:09:90,38:17:c3:1f:09:91,38:17:c3:19:45:a1,38:17:c3:19:45:a0,38:17:c3:19:45:a2,a8:bd:27:4c:aa:93,a8:bd:27:4c:aa:90,38:17:c3:19:45:b0,b4:5d:50:e1:96:40,44:48:c1:91:95:a2,38:17:c3:1f:09:81,20:a6:cd:42:13:f1,44:48:c1:91:aa:30,b6:e6:2d:69:d5:58,ac:e2:d3:c4:08:e6,38:17:c3:19:45:b1,a8:bd:27:4c:aa:92,38:17:c3:19:45:b2,a8:bd:27:4c:aa:91,38:17:c3:1f:19:f0,20:a6:cd:42:0b:e3,20:a6:cd:42:0b:e0,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f0,38:17:c3:19:d7:62,38:17:c3:19:d7:61,38:17:c3:19:d7:60,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f2,80:8d:b7:55:25:e3,80:8d:b7:55:25:e2,80:8d:b7:55:25:f3,80:8d:b7:55:25:f0,80:8d:b7:55:35:03,66:2a:2f:53:7c:99,80:8d:b7:55:25:f1,80:8d:b7:55:25:f2,80:8d:b7:55:25:e1,80:8d:b7:55:25:e0,80:8d:b7:55:35:01,80:8d:b7:55:35:13,80:8d:b7:55:35:10,80:8d:b7:55:3a:42,80:8d:b7:55:3a:41,b0:be:76:f8:30:5e,80:8d:b7:55:35:12,80:8d:b7:55:3a:50,80:8d:b7:55:3a:40,80:8d:b7:55:3a:52,80:8d:b7:55:3a:51,80:8d:b7:55:39:c2,38:17:c3:19:71:90,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,80:8d:b7:55:35:11,80:8d:b7:55:35:02,80:8d:b7:55:35:00,38:17:c3:1e:ff:12,38:17:c3:1e:ff:11,38:17:c3:19:71:80,38:17:c3:19:71:82,68:ff:7b:e4:af:39,38:17:c3:19:36:30,38:17:c3:1e:ff:00,38:17:c3:19:36:32,80:8d:b7:55:29:d0,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,80:8d:b7:55:39:c1,80:8d:b7:55:39:c0,80:8d:b7:55:29:d2,80:8d:b7:55:29:d1,20:a6:cd:50:24:a2,80:8d:b7:55:29:c1,80:8d:b7:55:29:c0,00:4e:35:df:06:42,80:8d:b7:55:39:d0,20:a6:cd:50:24:b0,38:17:c3:19:71:92,68:ff:7b:e4:af:38,38:17:c3:1f:22:30,80:8d:b7:55:29:c2,20:a6:cd:50:24:b2,20:a6:cd:50:24:b1,38:17:c3:1f:0e:00,38:17:c3:1f:22:22,38:17:c3:1f:0e:02,38:17:c3:1f:22:32,38:17:c3:1f:22:31,38:17:c3:1f:0e:01,x,y,timestamp
-75,-88,-100,-100,-100,-79,-76,-61,-60,-58,-59,-59,-100,-88,-100,-100,-77,-79,-100,-100,-75,-100,-85,-100,-75,-74,-100,-83,-100,-100,-87,-87,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-79,-61,-100,-100,-100,-100,-100,-100,-83,-100,-91,-100,-92,-100,-100,-100,-100,-86,-85,-100,-100,-100,-100,-100,-100,-100,-75,-100,-86,-100,-85,-100,-100,-100,-87,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,181,692,1034783557104
-76,-88,-100,-100,-100,-79,-76,-61,-60,-57,-57,-56,-100,-100,-100,-100,-81,-79,-100,-100,-78,-100,-85,-100,-79,-78,-100,-85,-100,-100,-100,-87,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-61,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-84,-84,-91,-100,-100,-100,-100,-100,-100,-78,-90,-83,-90,-100,-100,-100,-88,-86,-86,-87,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,181,692,1036556829499
-76,-83,-100,-100,-100,-79,-100,-61,-60,-57,-57,-56,-100,-91,-100,-100,-81,-80,-100,-100,-79,-100,-85,-100,-79,-80,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-61,-100,-100,-100,-100,-81,-100,-86,-100,-100,-100,-90,-100,-100,-100,-100,-86,-84,-89,-100,-100,-100,-100,-100,-100,-79,-90,-84,-90,-87,-100,-100,-88,-90,-86,-87,-86,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,181,692,1038327949186
-82,-100,-100,-100,-100,-86,-100,-58,-57,-54,-55,-55,-100,-100,-100,-100,-80,-79,-100,-100,-76,-100,-100,-100,-76,-76,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-57,-100,-100,-100,-100,-79,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-76,-84,-100,-88,-100,-100,-100,-100,-88,-88,-87,-100,-100,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1096646635518
-77,-100,-100,-100,-100,-86,-77,-59,-59,-56,-57,-57,-100,-90,-100,-100,-80,-79,-90,-100,-79,-100,-100,-100,-77,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-57,-100,-100,-100,-100,-79,-100,-86,-100,-100,-100,-100,-100,-78,-79,-78,-100,-100,-83,-100,-100,-100,-100,-100,-100,-76,-84,-100,-84,-100,-100,-100,-100,-88,-88,-87,-100,-100,-90,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1098353135726
-78,-82,-100,-100,-100,-86,-80,-61,-61,-55,-56,-55,-100,-90,-100,-100,-100,-100,-90,-100,-77,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-79,-78,-100,-100,-84,-100,-100,-100,-100,-100,-100,-78,-85,-100,-85,-100,-100,-85,-88,-100,-100,-100,-87,-100,-100,-100,-85,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1100112883537
-78,-82,-100,-100,-100,-87,-78,-60,-60,-54,-54,-54,-100,-89,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-77,-85,-100,-85,-100,-100,-82,-88,-100,-100,-100,-87,-100,-100,-100,-85,-85,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1101831176610
-77,-100,-100,-100,-100,-87,-78,-60,-61,-54,-54,-54,-100,-90,-100,-100,-100,-86,-90,-100,-77,-100,-100,-100,-77,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-89,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-79,-93,-100,-84,-100,-100,-100,-100,-100,-100,-86,-85,-100,-85,-100,-100,-82,-100,-88,-86,-86,-100,-100,-100,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1103540969786
-77,-88,-100,-100,-100,-87,-81,-60,-61,-56,-56,-56,-100,-90,-100,-100,-100,-86,-90,-100,-77,-100,-100,-100,-77,-77,-100,-100,-100,-100,-100,-87,-100,-100,-88,-100,-100,-83,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-88,-60,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-80,-79,-93,-94,-84,-100,-100,-87,-100,-100,-100,-77,-84,-100,-84,-100,-100,-100,-100,-88,-86,-86,-100,-100,-100,-100,-86,-86,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,196,692,1105264999890
-79,-100,-100,-100,-100,-89,-100,-49,-49,-50,-50,-50,-100,-91,-100,-100,-100,-100,-90,-100,-75,-100,-84,-100,-75,-76,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-93,-100,-79,-100,-100,-100,-100,-100,-100,-84,-79,-100,-79,-100,-100,-100,-100,-87,-100,-100,-100,-100,-88,-89,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1152442412945
-79,-100,-100,-100,-100,-85,-100,-48,-49,-50,-50,-50,-100,-91,-100,-100,-100,-100,-90,-100,-78,-100,-84,-100,-77,-77,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-48,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-80,-80,-100,-93,-90,-79,-100,-100,-100,-100,-100,-100,-83,-79,-100,-80,-100,-100,-100,-100,-89,-100,-100,-81,-100,-88,-89,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1154218752736
-83,-85,-100,-100,-100,-86,-100,-48,-47,-48,-48,-48,-100,-91,-100,-100,-81,-100,-90,-100,-84,-100,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-47,-100,-100,-100,-100,-81,-100,-100,-100,-87,-100,-90,-100,-81,-83,-100,-89,-90,-83,-100,-100,-100,-100,-100,-100,-84,-84,-100,-83,-100,-100,-100,-100,-85,-84,-100,-81,-100,-90,-92,-100,-100,-100,-87,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1156015411224
-80,-87,-100,-100,-100,-86,-77,-48,-48,-48,-47,-48,-100,-100,-100,-100,-81,-79,-100,-100,-83,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-48,-100,-100,-100,-100,-79,-100,-100,-100,-87,-100,-90,-100,-81,-81,-81,-89,-90,-88,-100,-100,-100,-100,-100,-100,-73,-84,-100,-83,-100,-100,-100,-100,-86,-87,-88,-100,-100,-90,-92,-100,-100,-87,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1157811895755
-76,-86,-100,-100,-100,-85,-77,-48,-48,-47,-47,-47,-100,-100,-100,-100,-100,-79,-100,-100,-83,-100,-100,-100,-82,-82,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-48,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-90,-100,-100,-81,-81,-88,-89,-89,-100,-100,-87,-100,-100,-100,-76,-90,-100,-90,-88,-100,-82,-83,-86,-86,-85,-82,-82,-100,-100,-100,-100,-87,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1159694402056
-75,-87,-100,-100,-100,-85,-100,-48,-48,-53,-53,-53,-100,-93,-100,-100,-80,-100,-90,-100,-83,-100,-100,-100,-82,-83,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-82,-83,-88,-87,-87,-100,-100,-87,-100,-100,-100,-74,-87,-100,-86,-88,-100,-81,-85,-89,-86,-85,-82,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,211,692,1161508064608
-76,-100,-100,-100,-100,-85,-100,-51,-49,-49,-50,-50,-100,-100,-100,-100,-100,-85,-100,-100,-87,-100,-87,-100,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-50,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-81,-81,-89,-100,-82,-100,-100,-100,-100,-100,-100,-83,-83,-100,-82,-100,-100,-80,-81,-100,-100,-100,-81,-81,-90,-90,-100,-100,-100,-90,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1213321192088
-76,-100,-100,-100,-100,-85,-100,-51,-50,-50,-50,-51,-100,-100,-100,-100,-100,-85,-100,-100,-86,-100,-87,-100,-87,-86,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-51,-100,-100,-100,-100,-100,-100,-75,-100,-100,-100,-92,-100,-84,-81,-85,-89,-100,-84,-100,-100,-100,-100,-100,-100,-76,-84,-100,-84,-100,-100,-82,-81,-100,-100,-100,-81,-81,-92,-90,-100,-100,-100,-90,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1214982271410
-76,-81,-100,-100,-80,-85,-100,-54,-54,-50,-50,-51,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-87,-87,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-51,-100,-100,-100,-100,-100,-100,-75,-100,-90,-100,-92,-100,-80,-79,-80,-100,-100,-85,-100,-100,-100,-100,-100,-100,-75,-84,-100,-85,-100,-100,-82,-100,-90,-89,-100,-100,-100,-90,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1216772432712
-74,-81,-100,-100,-80,-85,-76,-53,-54,-50,-50,-51,-100,-100,-100,-100,-84,-84,-100,-100,-85,-100,-91,-100,-85,-86,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-52,-100,-100,-100,-100,-84,-100,-100,-100,-90,-100,-90,-100,-82,-79,-80,-100,-100,-86,-100,-100,-100,-100,-100,-100,-72,-86,-100,-88,-100,-100,-81,-100,-88,-89,-89,-100,-100,-90,-90,-100,-100,-100,-89,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1218510950888
-82,-100,-100,-100,-100,-85,-76,-51,-51,-50,-50,-51,-100,-100,-100,-100,-83,-83,-100,-100,-85,-100,-91,-100,-85,-90,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-85,-51,-100,-100,-100,-100,-84,-100,-100,-100,-88,-100,-90,-100,-82,-84,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-72,-87,-100,-88,-100,-100,-79,-100,-88,-89,-89,-82,-100,-89,-90,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1220342076721
-80,-92,-100,-100,-100,-85,-76,-51,-51,-50,-49,-50,-100,-100,-100,-100,-83,-83,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-89,-100,-100,-90,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-50,-100,-100,-100,-100,-84,-100,-100,-100,-91,-100,-90,-100,-100,-84,-100,-88,-90,-88,-100,-100,-100,-100,-100,-100,-75,-87,-100,-88,-100,-100,-78,-100,-88,-89,-92,-82,-100,-88,-90,-100,-100,-100,-89,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,226,692,1222131391772
-84,-100,-100,-100,-100,-86,-80,-53,-53,-49,-49,-49,-100,-100,-100,-100,-100,-100,-100,-100,-88,-100,-100,-100,-88,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-82,-100,-100,-100,-100,-100,-100,-88,-82,-100,-83,-100,-100,-75,-78,-100,-100,-100,-100,-78,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,241,692,1268459535088
-82,-100,-100,-100,-100,-85,-80,-53,-53,-48,-48,-48,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-100,-86,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-82,-100,-100,-100,-100,-100,-100,-83,-83,-100,-82,-100,-100,-80,-77,-86,-86,-85,-77,-77,-91,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,241,692,1270135599462
-82,-100,-100,-100,-100,-85,-88,-53,-53,-47,-47,-47,-100,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-87,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-86,-54,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-77,-77,-77,-100,-100,-83,-100,-100,-100,-100,-100,-100,-78,-83,-100,-83,-100,-100,-80,-77,-86,-86,-87,-77,-77,-91,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,241,692,1271785377743
