38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:1f:0e:12,38:17:c3:19:d7:62,38:17:c3:1f:0e:10,38:17:c3:19:d7:60,38:17:c3:1f:0e:11,38:17:c3:19:d7:61,44:48:c1:a5:82:30,80:8d:b7:55:25:f2,44:48:c1:a5:82:32,80:8d:b7:55:25:f3,44:48:c1:a5:82:31,80:8d:b7:55:25:f0,80:8d:b7:55:25:f1,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b1,38:17:c3:1e:ff:00,38:17:c3:19:d7:70,38:17:c3:19:d7:71,38:17:c3:19:d7:72,80:8d:b7:55:35:12,20:a6:cd:50:24:b0,80:8d:b7:55:35:13,44:48:c1:a5:82:21,44:48:c1:a5:82:20,44:48:c1:a5:82:22,80:8d:b7:55:35:10,20:a6:cd:50:24:b2,80:8d:b7:55:35:11,20:a6:cd:50:24:b1,38:17:c3:1f:09:92,38:17:c3:1f:09:93,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,ea:9e:b4:53:24:54,38:17:c3:1f:01:92,38:17:c3:1f:22:30,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,60:32:b1:3e:1a:b7,60:32:b1:3e:1a:b8,38:17:c3:1f:01:90,38:17:c3:1f:01:91,20:a6:cd:50:24:a1,38:17:c3:1f:09:90,38:17:c3:19:55:52,38:17:c3:19:45:b2,38:17:c3:19:45:b0,38:17:c3:19:45:b1,38:17:c3:19:55:50,38:17:c3:19:55:51,38:17:c3:1f:01:81,38:17:c3:1f:01:82,38:17:c3:1e:ff:12,38:17:c3:1f:01:80,b4:5d:50:e1:92:32,b4:5d:50:e1:92:33,b4:5d:50:e1:92:30,b4:5d:50:e1:92:31,80:8d:b7:55:39:c2,80:8d:b7:55:39:c0,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,00:4e:35:df:06:40,b0:be:76:f8:30:5e,00:4e:35:df:06:41,38:17:c3:1f:00:b0,00:4e:35:de:e1:12,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,00:4e:35:df:06:50,00:4e:35:df:06:51,00:4e:35:df:06:52,66:2a:2f:53:7c:99,68:ff:7b:e4:af:38,b4:5d:50:e1:96:52,68:ff:7b:e4:af:39,b4:5d:50:e1:96:53,20:a6:cd:42:0b:f3,20:a6:cd:42:0b:f2,20:a6:cd:42:0b:f1,20:a6:cd:42:0b:f0,80:8d:b7:55:35:01,80:8d:b7:55:35:02,80:8d:b7:55:35:03,80:8d:b7:55:3a:52,38:17:c3:24:58:b0,72:32:b1:3e:1a:b7,38:17:c3:24:58:b1,38:17:c3:24:58:b2,80:8d:b7:55:3a:50,80:8d:b7:55:3a:51,80:8d:b7:55:35:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:02,80:8d:b7:55:39:d1,80:8d:b7:55:39:d2,ac:e2:d3:c4:08:e6,38:17:c3:1f:0e:00,80:8d:b7:55:3a:41,80:8d:b7:55:25:e1,80:8d:b7:55:25:e2,80:8d:b7:55:25:e0,80:8d:b7:55:3a:40,80:8d:b7:55:25:e3,00:4e:35:df:06:42,80:8d:b7:55:3a:42,38:17:c3:19:55:40,38:17:c3:1f:22:32,38:17:c3:1f:22:31,b4:5d:50:e1:92:23,38:17:c3:19:71:92,00:4e:35:de:e1:11,72:32:b1:3e:1a:b8,00:4e:35:de:e1:10,38:17:c3:1f:08:50,20:a6:cd:50:24:a2,38:17:c3:19:45:a2,38:17:c3:19:45:a0,20:a6:cd:50:24:a0,38:17:c3:1f:09:83,38:17:c3:19:45:a1,38:17:c3:1f:09:91,a8:bd:27:4c:bd:30,20:a6:cd:42:0b:e3,38:17:c3:19:55:41,38:17:c3:19:55:42,44:48:c1:91:95:b2,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,00:4e:35:de:d7:53,00:4e:35:de:d7:52,44:48:c1:91:95:b3,b4:5d:50:e1:92:20,00:4e:35:de:e1:00,00:4e:35:de:e1:01,38:17:c3:1f:08:52,00:4e:35:de:e1:02,b4:5d:50:e1:92:21,b4:5d:50:e1:92:22,38:17:c3:1f:08:51,44:48:c1:91:95:b0,44:48:c1:91:95:b1,38:17:c3:1f:08:42,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,00:4e:35:de:d7:51,00:4e:35:de:d7:50,00:4e:35:df:0e:12,00:4e:35:de:d7:43,38:17:c3:19:36:30,38:17:c3:1f:08:41,00:4e:35:df:0e:10,38:17:c3:1f:08:40,38:17:c3:19:71:82,38:17:c3:19:71:81,00:4e:35:df:0e:11,a8:bd:27:4c:bd:22,00:4e:35:df:0e:02,00:4e:35:df:0e:01,00:4e:35:df:0e:00,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:4f:12,38:17:c3:24:4f:10,38:17:c3:24:4f:11,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:1f:0f:90,38:17:c3:1b:08:b0,38:17:c3:1b:08:b2,38:17:c3:1b:08:b1,00:4e:35:df:27:12,38:17:c3:19:71:80,00:4e:35:de:d7:42,00:4e:35:de:d7:40,00:4e:35:de:d7:41,x,y,label
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-91,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-73,-63,-72,-100,-75,-100,-100,-71,-71,-71,-87,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-89,-85,-100,-84,-84,-88,-86,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-87,-100,-73,-88,-100,-100,-100,-100,-100,-75,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-41,-100,-100,-100,-100,-42,-42,-100,-100,-100,-100,-81,-82,-100,-82,-100,-100,-100,-100,-100,-100,-50,-49,-100,-100,-90,-100,-100,-100,-100,-100,-90,-92,-87,-48,-100,-100,-100,-100,-100,-100,-86,-88,-93,-90,-88,-100,-91,-100,-92,-90,-90,-100,-100,-100,-100,-100,388.8,799.6000000000007,49
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-75,-55,-76,-100,-73,-100,-100,-76,-75,-75,-92,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-82,-81,-87,-86,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-86,-100,-76,-88,-100,-100,-100,-100,-100,-74,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100,-100,-100,-100,-46,-44,-100,-100,-100,-100,-81,-80,-100,-80,-100,-100,-100,-100,-100,-100,-60,-58,-100,-100,-90,-100,-100,-100,-100,-100,-90,-92,-87,-60,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-91,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-73,-53,-73,-100,-71,-100,-100,-78,-78,-79,-90,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-81,-81,-87,-86,-100,-100,-100,-100,-100,-100,-100,-86,-100,-100,-100,-85,-100,-75,-84,-100,-100,-100,-100,-100,-73,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-45,-45,-100,-100,-100,-100,-81,-79,-100,-79,-100,-100,-100,-100,-100,-100,-56,-57,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-56,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-90,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-74,-54,-75,-100,-72,-100,-100,-75,-75,-75,-92,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-87,-81,-100,-81,-80,-88,-85,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-86,-100,-73,-86,-100,-100,-100,-100,-100,-74,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100,-100,-100,-100,-44,-44,-100,-100,-100,-100,-86,-78,-100,-79,-100,-100,-100,-100,-100,-100,-58,-58,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-57,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-90,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-77,-53,-74,-100,-74,-100,-100,-71,-73,-72,-92,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-85,-81,-100,-81,-82,-85,-85,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-73,-86,-100,-100,-100,-100,-100,-75,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-45,-45,-100,-100,-100,-100,-82,-79,-100,-79,-100,-100,-100,-100,-100,-100,-58,-57,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-58,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-90,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-74,-54,-75,-100,-67,-100,-100,-78,-76,-78,-89,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-84,-81,-100,-80,-79,-85,-85,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-73,-86,-100,-100,-100,-100,-100,-65,-100,-65,-100,-100,-100,-100,-100,-100,-100,-100,-44,-100,-100,-100,-100,-43,-43,-100,-100,-100,-100,-79,-78,-100,-80,-100,-100,-100,-100,-100,-100,-58,-57,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-57,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-90,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-74,-54,-75,-100,-70,-100,-100,-76,-77,-75,-88,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-80,-100,-79,-80,-86,-85,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-75,-86,-100,-100,-100,-100,-100,-69,-100,-68,-100,-100,-100,-100,-100,-100,-100,-100,-42,-100,-100,-100,-100,-42,-42,-100,-100,-100,-100,-80,-84,-100,-79,-100,-100,-100,-100,-100,-100,-58,-56,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-58,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-90,-90,-90,-100,-100,-100,-100,-100,374.6,799.6000000000007,50
-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-79,-56,-79,-100,-82,-100,-100,-79,-78,-78,-84,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-82,-81,-87,-87,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-77,-86,-100,-100,-100,-100,-100,-78,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-45,-45,-100,-100,-100,-100,-79,-82,-100,-80,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-87,-100,-100,-100,-88,-100,-90,-92,-87,-62,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-91,-90,-90,-100,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-78,-59,-77,-100,-77,-100,-100,-78,-79,-78,-80,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-81,-82,-86,-87,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-75,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-49,-100,-100,-100,-100,-49,-49,-100,-100,-100,-100,-79,-77,-100,-81,-100,-100,-100,-100,-100,-100,-61,-63,-100,-100,-88,-100,-100,-100,-88,-100,-90,-92,-87,-62,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-91,-90,-90,-92,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-93,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-81,-59,-79,-100,-73,-100,-100,-78,-77,-78,-90,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-85,-80,-100,-81,-81,-85,-86,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-48,-48,-100,-100,-100,-100,-79,-80,-100,-81,-100,-100,-100,-100,-100,-100,-61,-62,-100,-100,-91,-100,-100,-100,-88,-100,-90,-92,-87,-59,-100,-100,-100,-100,-100,-100,-82,-100,-93,-100,-88,-100,-91,-100,-91,-90,-90,-92,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-92,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-81,-59,-80,-100,-75,-100,-100,-80,-80,-78,-83,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-82,-100,-83,-81,-85,-86,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-80,-86,-100,-100,-100,-100,-100,-75,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-46,-46,-100,-100,-100,-100,-80,-81,-100,-83,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-91,-100,-100,-100,-88,-100,-90,-92,-87,-71,-100,-100,-100,-100,-100,-100,-84,-100,-93,-100,-88,-100,-91,-100,-92,-90,-100,-92,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-94,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-81,-59,-81,-100,-75,-100,-100,-77,-79,-77,-84,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-86,-81,-100,-81,-82,-86,-86,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-84,-86,-100,-100,-100,-100,-100,-75,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-45,-45,-100,-100,-100,-100,-80,-80,-100,-81,-100,-100,-100,-100,-100,-100,-62,-62,-100,-100,-91,-100,-100,-100,-88,-100,-90,-92,-87,-62,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-91,-100,-91,-90,-100,-92,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-91,-100,-100,-100,-94,-91,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-81,-59,-78,-100,-74,-100,-100,-79,-79,-79,-83,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-85,-82,-100,-81,-82,-85,-85,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-84,-86,-100,-100,-100,-100,-100,-73,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-47,-45,-100,-100,-100,-100,-80,-80,-100,-81,-100,-100,-100,-100,-100,-100,-63,-64,-100,-100,-91,-100,-100,-100,-88,-100,-90,-92,-87,-63,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-91,-100,-90,-90,-100,-92,-100,-100,-100,-100,360.40000000000003,799.6000000000007,51
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-95,-81,-58,-78,-100,-73,-100,-100,-77,-76,-77,-84,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-82,-85,-100,-85,-85,-83,-81,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-73,-100,-72,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-44,-45,-100,-100,-100,-100,-80,-80,-100,-80,-100,-100,-100,-100,-100,-100,-64,-63,-100,-100,-90,-100,-100,-100,-88,-100,-90,-92,-87,-61,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-91,-100,-87,-87,-88,-92,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-94,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-80,-57,-79,-100,-67,-100,-100,-78,-77,-76,-89,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-84,-85,-100,-84,-84,-85,-84,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-67,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-46,-46,-100,-100,-100,-100,-79,-83,-100,-80,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-90,-100,-100,-100,-88,-100,-90,-92,-87,-63,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-91,-100,-87,-89,-88,-92,-100,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-79,-57,-77,-100,-75,-100,-100,-73,-72,-74,-90,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-85,-84,-82,-82,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-74,-100,-76,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-46,-45,-100,-100,-100,-100,-79,-80,-100,-79,-100,-100,-100,-100,-100,-100,-63,-63,-100,-100,-90,-100,-100,-100,-88,-100,-87,-92,-87,-63,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-100,-100,-89,-89,-88,-92,-89,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-79,-58,-76,-100,-74,-100,-100,-73,-73,-75,-93,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-83,-83,-82,-81,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-80,-86,-100,-100,-100,-100,-100,-75,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-45,-100,-100,-100,-100,-45,-45,-100,-100,-100,-100,-79,-80,-100,-80,-100,-100,-100,-100,-100,-100,-60,-63,-100,-100,-90,-100,-100,-100,-88,-100,-88,-92,-87,-62,-100,-100,-100,-100,-100,-100,-84,-100,-92,-100,-88,-100,-100,-100,-87,-87,-89,-92,-89,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-78,-54,-77,-100,-73,-100,-100,-74,-73,-73,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-83,-100,-85,-83,-81,-81,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-73,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-48,-100,-100,-100,-100,-47,-47,-100,-100,-100,-100,-82,-79,-100,-80,-100,-100,-100,-100,-100,-100,-63,-62,-100,-100,-90,-100,-100,-100,-88,-100,-88,-100,-87,-63,-100,-100,-100,-100,-100,-100,-91,-100,-92,-100,-100,-100,-100,-100,-89,-87,-89,-92,-89,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-79,-56,-79,-100,-73,-100,-100,-75,-74,-74,-86,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-84,-100,-84,-85,-82,-81,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-78,-86,-100,-100,-100,-100,-100,-73,-100,-73,-100,-100,-100,-100,-100,-100,-100,-100,-47,-100,-100,-100,-100,-47,-47,-100,-100,-100,-100,-82,-75,-100,-78,-100,-100,-100,-100,-100,-100,-65,-65,-100,-100,-90,-100,-100,-100,-88,-100,-88,-100,-87,-63,-100,-100,-100,-100,-100,-100,-86,-100,-92,-100,-88,-90,-100,-100,-90,-87,-89,-92,-89,-100,-100,-100,346.20000000000005,799.6000000000007,52
-100,-92,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-93,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-92,-82,-62,-82,-100,-70,-100,-100,-83,-85,-83,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-87,-84,-100,-84,-85,-88,-89,-100,-100,-100,-100,-100,-100,-100,-87,-100,-100,-100,-89,-100,-82,-86,-100,-100,-100,-100,-100,-71,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-58,-100,-100,-100,-100,-57,-57,-100,-100,-100,-100,-79,-77,-100,-76,-100,-100,-100,-100,-100,-100,-75,-75,-100,-100,-88,-100,-100,-100,-88,-100,-88,-100,-87,-74,-100,-100,-100,-100,-100,-100,-86,-100,-92,-100,-88,-90,-100,-100,-87,-87,-86,-92,-89,-100,-100,-100,332.00000000000006,799.6000000000007,53
